,# Links,# VB,"Max
 In-degree","Max
 Out-degree",app,backend
0,118,61,6,28,BlackScholes,Asic
1,35,20,3,8,DotProduct,Asic
2,224,84,12,36,GDA,Asic
3,179,73,27,31,GEMM,Asic
4,263,115,8,50,GRU,Asic
5,247,93,16,26,Kmeans,Asic
6,212,101,12,54,LSTM,Asic
7,94,41,10,14,Lattice,Asic
8,301,129,12,45,LeNet,Asic
9,272,109,8,46,LogReg,Asic
10,96,48,4,18,OuterProduct,Asic
11,174,65,15,31,SGD,Asic
12,100,53,4,24,TPCHQ6,Asic
13,324,123,6,28,BlackScholes,H14x14v3s4c4w
14,35,20,3,8,DotProduct,H14x14v3s4c4w
15,392,108,12,36,GDA,H14x14v3s4c4w
16,317,91,14,31,GEMM,H14x14v3s4c4w
17,282,122,8,50,GRU,H14x14v3s4c4w
18,434,124,10,26,Kmeans,H14x14v3s4c4w
19,241,112,10,54,LSTM,H14x14v3s4c4w
20,233,75,9,14,Lattice,H14x14v3s4c4w
21,336,141,9,47,LeNet,H14x14v3s4c4w
22,464,132,8,46,LogReg,H14x14v3s4c4w
23,96,48,4,18,OuterProduct,H14x14v3s4c4w
24,320,90,11,31,SGD,H14x14v3s4c4w
25,122,60,6,24,TPCHQ6,H14x14v3s4c4w
26,356,151,4,28,BlackScholes,P14x14
27,35,20,3,8,DotProduct,P14x14
28,471,180,5,36,GDA,P14x14
29,390,147,5,31,GEMM,P14x14
30,372,172,4,50,GRU,P14x14
31,533,200,8,26,Kmeans,P14x14
32,296,146,4,54,LSTM,P14x14
33,281,113,4,14,Lattice,P14x14
34,387,171,5,47,LeNet,P14x14
35,589,222,8,46,LogReg,P14x14
36,96,48,4,18,OuterProduct,P14x14
37,390,149,8,31,SGD,P14x14
38,128,63,4,24,TPCHQ6,P14x14
