link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9]
1622,677,3,1,1,1605,,,,,,,,,
1623,677,3,1,1,1618,,,,,,,,,
1624,677,3,1,1,1614,,,,,,,,,
1625,677,3,1,1,1608,,,,,,,,,
1626,677,3,1,1,1611,,,,,,,,,
1627,677,3,1,1,1600,1603,1606,1609,1612,1615,1619,,,
1628,677,3,1,1,1602,,,,,,,,,
1629,677,3,1,1,1599,,,,,,,,,
1633,682,681,2,65536,5930,,,,,,,,,
1637,695,694,2,65536,5882,5884,5919,,,,,,,
1641,708,707,2,65536,5897,5919,,,,,,,,
1645,721,720,2,65536,5904,5920,,,,,,,,
1649,734,733,2,65536,5920,5921,,,,,,,,
1653,747,746,2,65536,5901,5903,5916,5922,5923,5925,5926,5927,5928,5929
1657,760,759,2,65536,1617,,,,,,,,,
1660,654,1598,2,65536,681,,,,,,,,,
1662,655,1599,1,32,1598,,,,,,,,,
1663,655,1599,1,32,1598,,,,,,,,,
1665,656,1600,2,65536,681,,,,,,,,,
1666,656,1600,2,65536,681,,,,,,,,,
1669,657,1601,2,65536,694,,,,,,,,,
1671,658,1602,1,32,1601,,,,,,,,,
1672,658,1602,1,32,1601,,,,,,,,,
1674,659,1603,2,65536,694,,,,,,,,,
1675,659,1603,2,65536,694,,,,,,,,,
1678,660,1604,2,65536,707,,,,,,,,,
1680,661,1605,1,32,1604,,,,,,,,,
1681,661,1605,1,32,1604,,,,,,,,,
1683,662,1606,2,65536,707,,,,,,,,,
1684,662,1606,2,65536,707,,,,,,,,,
1687,663,1607,2,65536,720,,,,,,,,,
1689,664,1608,1,32,1607,,,,,,,,,
1690,664,1608,1,32,1607,,,,,,,,,
1692,665,1609,2,65536,720,,,,,,,,,
1693,665,1609,2,65536,720,,,,,,,,,
1696,666,1610,2,65536,733,,,,,,,,,
1698,667,1611,1,32,1610,,,,,,,,,
1699,667,1611,1,32,1610,,,,,,,,,
1701,668,1612,2,65536,733,,,,,,,,,
1702,668,1612,2,65536,733,,,,,,,,,
1705,669,1613,2,65536,746,,,,,,,,,
1707,670,1614,1,32,1613,,,,,,,,,
1708,670,1614,1,32,1613,,,,,,,,,
1710,671,1615,2,65536,746,,,,,,,,,
1711,671,1615,2,65536,746,,,,,,,,,
1725,673,1617,1,32,1620,,,,,,,,,
1727,674,1618,1,32,1617,,,,,,,,,
1728,674,1618,1,32,1617,,,,,,,,,
1730,675,1619,2,65536,1617,,,,,,,,,
1732,676,1620,1,1,3,,,,,,,,,
1720,5073,5881,2,65536,759,,,,,,,,,
5937,5074,5882,2,65536,5881,,,,,,,,,
5941,5075,5883,2,65536,5882,,,,,,,,,
5942,5075,5883,2,65536,5882,,,,,,,,,
5946,5076,5884,2,65536,5881,,,,,,,,,
5950,5077,5885,2,65536,5883,5884,,,,,,,,
5953,5078,5886,2,65536,5885,,,,,,,,,
5954,5078,5886,2,65536,5885,,,,,,,,,
5959,5079,5887,2,65536,5886,,,,,,,,,
5963,5080,5888,2,65536,5887,,,,,,,,,
5968,5081,5889,2,65536,5888,,,,,,,,,
5969,5081,5889,2,65536,5888,,,,,,,,,
5972,5082,5890,2,65536,5889,,,,,,,,,
5975,5083,5891,2,65536,5889,,,,,,,,,
5976,5083,5891,2,65536,5889,,,,,,,,,
5978,5084,5892,2,65536,5887,,,,,,,,,
5979,5084,5892,2,65536,5887,,,,,,,,,
5980,5084,5892,2,65536,5890,5891,,,,,,,,
5985,5085,5893,2,65536,5890,,,,,,,,,
5986,5085,5893,2,65536,5888,5889,5891,5892,,,,,,
5987,5085,5893,2,65536,5887,,,,,,,,,
5988,5085,5893,2,65536,5886,,,,,,,,,
5993,5086,5894,2,65536,5893,,,,,,,,,
5994,5086,5894,2,65536,5893,,,,,,,,,
5996,5087,5895,2,65536,5894,,,,,,,,,
5997,5087,5895,2,65536,5894,,,,,,,,,
5998,5087,5895,2,65536,5893,5894,,,,,,,,
5999,5087,5895,2,65536,5894,,,,,,,,,
6003,5088,5896,2,65536,5893,5895,,,,,,,,
6004,5088,5896,2,65536,5884,,,,,,,,,
6008,5089,5897,2,65536,5883,5896,,,,,,,,
6012,5090,5898,2,65536,5897,,,,,,,,,
6017,5091,5899,2,65536,5898,,,,,,,,,
6020,5092,5900,2,65536,5899,,,,,,,,,
6025,5093,5901,2,65536,5900,,,,,,,,,
6026,5093,5901,2,65536,5899,,,,,,,,,
6027,5093,5901,2,65536,5899,,,,,,,,,
6029,5094,5902,2,65536,5901,,,,,,,,,
6030,5094,5902,2,65536,5901,,,,,,,,,
6031,5094,5902,2,65536,5900,,,,,,,,,
6032,5094,5902,2,65536,5899,,,,,,,,,
6035,5095,5903,2,65536,5898,,,,,,,,,
6036,5095,5903,2,65536,5897,5898,5902,,,,,,,
6041,5096,5904,2,65536,5883,5896,,,,,,,,
6042,5096,5904,2,65536,5901,5903,,,,,,,,
6046,5097,5905,2,65536,5904,,,,,,,,,
6047,5097,5905,2,65536,5904,,,,,,,,,
6052,5098,5906,2,65536,5905,,,,,,,,,
6057,5099,5907,2,65536,5906,,,,,,,,,
6058,5099,5907,2,65536,5906,,,,,,,,,
6061,5100,5908,2,65536,5907,,,,,,,,,
6062,5100,5908,2,65536,5907,,,,,,,,,
6063,5100,5908,2,65536,5907,,,,,,,,,
6065,5101,5909,2,65536,5906,5907,5908,,,,,,,
6066,5101,5909,2,65536,5905,,,,,,,,,
6067,5101,5909,2,65536,5908,,,,,,,,,
6068,5101,5909,2,65536,5906,,,,,,,,,
6072,5102,5910,2,65536,5905,,,,,,,,,
6076,5103,5911,2,65536,5910,,,,,,,,,
6079,5104,5912,2,65536,5911,,,,,,,,,
6080,5104,5912,2,65536,5910,,,,,,,,,
6082,5105,5913,2,65536,5911,5912,,,,,,,,
6083,5105,5913,2,65536,5910,5912,,,,,,,,
6084,5105,5913,2,65536,5911,,,,,,,,,
6086,5106,5914,2,65536,5909,,,,,,,,,
6087,5106,5914,2,65536,5913,,,,,,,,,
6090,5107,5915,2,65536,5904,5914,,,,,,,,
6095,5108,5916,2,65536,5885,5896,5915,,,,,,,
6100,5109,5917,2,65536,5916,,,,,,,,,
6102,5110,5918,2,65536,5917,,,,,,,,,
6103,5110,5918,2,65536,5917,,,,,,,,,
6104,5110,5918,2,65536,5917,,,,,,,,,
6107,5111,5919,2,65536,5917,5918,,,,,,,,
6111,5112,5920,2,65536,5916,,,,,,,,,
6112,5112,5920,2,65536,5916,,,,,,,,,
6117,5113,5921,2,65536,5915,5920,,,,,,,,
6121,5114,5922,2,65536,5921,,,,,,,,,
6122,5114,5922,2,65536,5921,,,,,,,,,
6126,5115,5923,2,65536,5922,,,,,,,,,
6130,5116,5924,2,65536,5923,,,,,,,,,
6134,5117,5925,2,65536,5924,,,,,,,,,
6136,5118,5926,2,65536,5925,,,,,,,,,
6137,5118,5926,2,65536,5925,,,,,,,,,
6139,5119,5927,2,65536,5923,,,,,,,,,
6140,5119,5927,2,65536,5924,,,,,,,,,
6141,5119,5927,2,65536,5924,,,,,,,,,
6146,5120,5928,2,65536,5922,,,,,,,,,
6147,5120,5928,2,65536,5921,,,,,,,,,
6149,5121,5929,2,65536,5928,,,,,,,,,
6150,5121,5929,2,65536,5928,,,,,,,,,
6151,5121,5929,2,65536,5928,,,,,,,,,
1718,5122,5930,2,65536,759,,,,,,,,,
1719,5122,5930,2,65536,759,,,,,,,,,
6153,5122,5930,2,65536,5881,,,,,,,,,
