link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
3622,1323,3,1,1,3578,3596,,,,,,,,,,,,
3623,1323,3,1,1,3587,3605,,,,,,,,,,,,
3624,1323,3,1,1,3576,3579,3582,3585,3588,3591,3594,3597,3600,3603,3606,3609,3614,3618
3625,1323,3,1,1,3581,3599,,,,,,,,,,,,
3626,1323,3,1,1,3613,3617,,,,,,,,,,,,
3627,1323,3,1,1,3584,3602,,,,,,,,,,,,
3628,1323,3,1,1,3590,3608,,,,,,,,,,,,
3629,1323,3,1,1,3575,3593,,,,,,,,,,,,
3633,1330,1329,2,32768,7979,,,,,,,,,,,,,
3637,1343,1342,2,32768,9087,,,,,,,,,,,,,
3641,1356,1355,2,32768,7980,7982,8007,,,,,,,,,,,
3645,1369,1368,2,32768,9085,9088,9124,,,,,,,,,,,
3649,1382,1381,2,32768,8007,8016,,,,,,,,,,,,
3653,1395,1394,2,32768,9124,9125,,,,,,,,,,,,
3657,1408,1407,2,32768,8004,8022,,,,,,,,,,,,
3661,1421,1420,2,32768,9121,9131,,,,,,,,,,,,
3665,1434,1433,2,32768,8004,8007,,,,,,,,,,,,
3669,1447,1446,2,32768,9112,9122,,,,,,,,,,,,
3673,1460,1459,2,32768,8003,8008,8010,8011,8012,8013,8015,8018,8021,,,,,
3677,1473,1472,2,32768,9115,9117,9118,9119,9120,9121,9127,9130,,,,,,
3681,1486,1485,2,32768,3612,,,,,,,,,,,,,
3685,1499,1498,2,32768,3616,,,,,,,,,,,,,
3688,1274,3574,2,32768,1329,,,,,,,,,,,,,
3690,1275,3575,1,16,3574,,,,,,,,,,,,,
3691,1275,3575,1,16,3574,,,,,,,,,,,,,
3693,1276,3576,2,32768,1329,,,,,,,,,,,,,
3694,1276,3576,2,32768,1329,,,,,,,,,,,,,
3697,1277,3577,2,32768,1355,,,,,,,,,,,,,
3699,1278,3578,1,16,3577,,,,,,,,,,,,,
3700,1278,3578,1,16,3577,,,,,,,,,,,,,
3702,1279,3579,2,32768,1355,,,,,,,,,,,,,
3703,1279,3579,2,32768,1355,,,,,,,,,,,,,
3706,1280,3580,2,32768,1381,,,,,,,,,,,,,
3708,1281,3581,1,16,3580,,,,,,,,,,,,,
3709,1281,3581,1,16,3580,,,,,,,,,,,,,
3711,1282,3582,2,32768,1381,,,,,,,,,,,,,
3712,1282,3582,2,32768,1381,,,,,,,,,,,,,
3715,1283,3583,2,32768,1407,,,,,,,,,,,,,
3717,1284,3584,1,16,3583,,,,,,,,,,,,,
3718,1284,3584,1,16,3583,,,,,,,,,,,,,
3720,1285,3585,2,32768,1407,,,,,,,,,,,,,
3721,1285,3585,2,32768,1407,,,,,,,,,,,,,
3724,1286,3586,2,32768,1433,,,,,,,,,,,,,
3726,1287,3587,1,16,3586,,,,,,,,,,,,,
3727,1287,3587,1,16,3586,,,,,,,,,,,,,
3729,1288,3588,2,32768,1433,,,,,,,,,,,,,
3730,1288,3588,2,32768,1433,,,,,,,,,,,,,
3733,1289,3589,2,32768,1459,,,,,,,,,,,,,
3735,1290,3590,1,16,3589,,,,,,,,,,,,,
3736,1290,3590,1,16,3589,,,,,,,,,,,,,
3738,1291,3591,2,32768,1459,,,,,,,,,,,,,
3739,1291,3591,2,32768,1459,,,,,,,,,,,,,
3742,1293,3592,2,32768,1342,,,,,,,,,,,,,
3744,1294,3593,1,16,3592,,,,,,,,,,,,,
3745,1294,3593,1,16,3592,,,,,,,,,,,,,
3747,1295,3594,2,32768,1342,,,,,,,,,,,,,
3748,1295,3594,2,32768,1342,,,,,,,,,,,,,
3751,1296,3595,2,32768,1368,,,,,,,,,,,,,
3753,1297,3596,1,16,3595,,,,,,,,,,,,,
3754,1297,3596,1,16,3595,,,,,,,,,,,,,
3756,1298,3597,2,32768,1368,,,,,,,,,,,,,
3757,1298,3597,2,32768,1368,,,,,,,,,,,,,
3760,1299,3598,2,32768,1394,,,,,,,,,,,,,
3762,1300,3599,1,16,3598,,,,,,,,,,,,,
3763,1300,3599,1,16,3598,,,,,,,,,,,,,
3765,1301,3600,2,32768,1394,,,,,,,,,,,,,
3766,1301,3600,2,32768,1394,,,,,,,,,,,,,
3769,1302,3601,2,32768,1420,,,,,,,,,,,,,
3771,1303,3602,1,16,3601,,,,,,,,,,,,,
3772,1303,3602,1,16,3601,,,,,,,,,,,,,
3774,1304,3603,2,32768,1420,,,,,,,,,,,,,
3775,1304,3603,2,32768,1420,,,,,,,,,,,,,
3778,1305,3604,2,32768,1446,,,,,,,,,,,,,
3780,1306,3605,1,16,3604,,,,,,,,,,,,,
3781,1306,3605,1,16,3604,,,,,,,,,,,,,
3783,1307,3606,2,32768,1446,,,,,,,,,,,,,
3784,1307,3606,2,32768,1446,,,,,,,,,,,,,
3787,1308,3607,2,32768,1472,,,,,,,,,,,,,
3789,1309,3608,1,16,3607,,,,,,,,,,,,,
3790,1309,3608,1,16,3607,,,,,,,,,,,,,
3792,1310,3609,2,32768,1472,,,,,,,,,,,,,
3793,1310,3609,2,32768,1472,,,,,,,,,,,,,
3816,1315,3612,1,16,3615,,,,,,,,,,,,,
3818,1316,3613,1,16,3612,,,,,,,,,,,,,
3819,1316,3613,1,16,3612,,,,,,,,,,,,,
3821,1317,3614,2,32768,3612,,,,,,,,,,,,,
3823,1318,3615,1,1,3,,,,,,,,,,,,,
3828,1319,3616,1,16,3619,,,,,,,,,,,,,
3830,1320,3617,1,16,3616,,,,,,,,,,,,,
3831,1320,3617,1,16,3616,,,,,,,,,,,,,
3833,1321,3618,2,32768,3616,,,,,,,,,,,,,
3835,1322,3619,1,1,3,,,,,,,,,,,,,
3800,7176,7979,2,32768,1485,,,,,,,,,,,,,
8031,7177,7980,2,32768,7979,,,,,,,,,,,,,
8032,7177,7980,2,32768,7979,,,,,,,,,,,,,
8036,7178,7981,2,32768,7979,,,,,,,,,,,,,
8037,7178,7981,2,32768,7980,,,,,,,,,,,,,
8042,7179,7982,2,32768,7981,,,,,,,,,,,,,
8043,7179,7982,2,32768,7981,,,,,,,,,,,,,
8047,7180,7983,2,32768,7982,,,,,,,,,,,,,
8048,7180,7983,2,32768,7982,,,,,,,,,,,,,
8053,7181,7984,2,32768,7983,,,,,,,,,,,,,
8054,7181,7984,2,32768,7983,,,,,,,,,,,,,
8059,7182,7985,2,32768,7984,,,,,,,,,,,,,
8060,7182,7985,2,32768,7984,,,,,,,,,,,,,
8064,7183,7986,2,32768,7985,,,,,,,,,,,,,
8065,7183,7986,2,32768,7985,,,,,,,,,,,,,
8066,7183,7986,2,32768,7985,,,,,,,,,,,,,
8068,7184,7987,2,32768,7984,,,,,,,,,,,,,
8069,7184,7987,2,32768,7986,,,,,,,,,,,,,
8073,7185,7988,2,32768,7986,,,,,,,,,,,,,
8074,7185,7988,2,32768,7984,7985,7986,7987,,,,,,,,,,
8075,7185,7988,2,32768,7983,,,,,,,,,,,,,
8080,7186,7989,2,32768,7988,,,,,,,,,,,,,
8082,7187,7990,2,32768,7989,,,,,,,,,,,,,
8083,7187,7990,2,32768,7989,,,,,,,,,,,,,
8084,7187,7990,2,32768,7989,,,,,,,,,,,,,
8085,7187,7990,2,32768,7988,7989,,,,,,,,,,,,
8087,7188,7991,2,32768,7990,,,,,,,,,,,,,
8088,7188,7991,2,32768,7988,,,,,,,,,,,,,
8093,7189,7992,2,32768,7980,,,,,,,,,,,,,
8094,7189,7992,2,32768,7981,,,,,,,,,,,,,
8098,7190,7993,2,32768,7992,,,,,,,,,,,,,
8099,7190,7993,2,32768,7992,,,,,,,,,,,,,
8103,7191,7994,2,32768,7993,,,,,,,,,,,,,
8108,7192,7995,2,32768,7994,,,,,,,,,,,,,
8109,7192,7995,2,32768,7994,,,,,,,,,,,,,
8113,7193,7996,2,32768,7995,,,,,,,,,,,,,
8114,7193,7996,2,32768,7995,,,,,,,,,,,,,
8115,7193,7996,2,32768,7995,,,,,,,,,,,,,
8117,7194,7997,2,32768,7993,,,,,,,,,,,,,
8118,7194,7997,2,32768,7996,,,,,,,,,,,,,
8122,7195,7998,2,32768,7996,,,,,,,,,,,,,
8123,7195,7998,2,32768,7993,,,,,,,,,,,,,
8124,7195,7998,2,32768,7994,7995,7996,7997,,,,,,,,,,
8129,7196,7999,2,32768,7998,,,,,,,,,,,,,
8131,7197,8000,2,32768,7999,,,,,,,,,,,,,
8132,7197,8000,2,32768,7999,,,,,,,,,,,,,
8133,7197,8000,2,32768,7998,7999,,,,,,,,,,,,
8134,7197,8000,2,32768,7999,,,,,,,,,,,,,
8136,7198,8001,2,32768,7998,,,,,,,,,,,,,
8137,7198,8001,2,32768,8000,,,,,,,,,,,,,
8140,7199,8002,2,32768,7992,8001,,,,,,,,,,,,
8145,7200,8003,2,32768,7982,7991,8002,,,,,,,,,,,
8148,7201,8004,2,32768,8003,,,,,,,,,,,,,
8152,7202,8005,2,32768,8003,,,,,,,,,,,,,
8155,7203,8006,2,32768,8005,,,,,,,,,,,,,
8156,7203,8006,2,32768,8005,,,,,,,,,,,,,
8161,7204,8007,2,32768,8005,8006,,,,,,,,,,,,
8162,7204,8007,2,32768,8002,,,,,,,,,,,,,
8163,7204,8007,2,32768,8003,,,,,,,,,,,,,
8164,7204,8007,2,32768,8006,,,,,,,,,,,,,
8168,7205,8008,2,32768,8007,,,,,,,,,,,,,
8172,7206,8009,2,32768,8008,,,,,,,,,,,,,
8177,7207,8010,2,32768,8009,,,,,,,,,,,,,
8178,7207,8010,2,32768,8009,,,,,,,,,,,,,
8183,7208,8011,2,32768,8010,,,,,,,,,,,,,
8184,7208,8011,2,32768,8010,,,,,,,,,,,,,
8186,7209,8012,2,32768,8011,,,,,,,,,,,,,
8187,7209,8012,2,32768,8010,,,,,,,,,,,,,
8188,7209,8012,2,32768,8011,,,,,,,,,,,,,
8189,7209,8012,2,32768,8011,,,,,,,,,,,,,
8193,7210,8013,2,32768,8009,,,,,,,,,,,,,
8194,7210,8013,2,32768,8008,,,,,,,,,,,,,
8199,7211,8014,2,32768,8013,,,,,,,,,,,,,
8200,7211,8014,2,32768,8013,,,,,,,,,,,,,
8202,7212,8015,2,32768,8014,,,,,,,,,,,,,
8203,7212,8015,2,32768,8014,,,,,,,,,,,,,
