link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7]
2236,599,3,1,1,2210,2216,2222,2228,,,,
2237,599,3,1,1,2207,2213,2219,2225,,,,
2238,599,3,1,1,2208,2211,2214,2217,2220,2223,2226,2229
2242,608,607,2,16384,2230,,,,,,,
2246,621,620,2,16384,2231,,,,,,,
2250,634,633,2,16384,2232,,,,,,,
2254,647,646,2,16384,2233,,,,,,,
2258,660,659,2,16384,2230,,,,,,,
2262,673,672,2,16384,2231,,,,,,,
2266,686,685,2,16384,2232,,,,,,,
2270,699,698,2,16384,2233,,,,,,,
2273,565,2206,2,16384,607,,,,,,,
2275,566,2207,1,8,2206,,,,,,,
2276,566,2207,1,8,2206,,,,,,,
2278,567,2208,2,16384,607,,,,,,,
2279,567,2208,2,16384,607,,,,,,,
2282,568,2209,2,16384,659,,,,,,,
2284,569,2210,1,8,2209,,,,,,,
2285,569,2210,1,8,2209,,,,,,,
2287,570,2211,2,16384,659,,,,,,,
2288,570,2211,2,16384,659,,,,,,,
2291,572,2212,2,16384,620,,,,,,,
2293,573,2213,1,8,2212,,,,,,,
2294,573,2213,1,8,2212,,,,,,,
2296,574,2214,2,16384,620,,,,,,,
2297,574,2214,2,16384,620,,,,,,,
2300,575,2215,2,16384,672,,,,,,,
2302,576,2216,1,8,2215,,,,,,,
2303,576,2216,1,8,2215,,,,,,,
2305,577,2217,2,16384,672,,,,,,,
2306,577,2217,2,16384,672,,,,,,,
2309,579,2218,2,16384,633,,,,,,,
2311,580,2219,1,8,2218,,,,,,,
2312,580,2219,1,8,2218,,,,,,,
2314,581,2220,2,16384,633,,,,,,,
2315,581,2220,2,16384,633,,,,,,,
2318,582,2221,2,16384,685,,,,,,,
2320,583,2222,1,8,2221,,,,,,,
2321,583,2222,1,8,2221,,,,,,,
2323,584,2223,2,16384,685,,,,,,,
2324,584,2223,2,16384,685,,,,,,,
2327,586,2224,2,16384,646,,,,,,,
2329,587,2225,1,8,2224,,,,,,,
2330,587,2225,1,8,2224,,,,,,,
2332,588,2226,2,16384,646,,,,,,,
2333,588,2226,2,16384,646,,,,,,,
2336,589,2227,2,16384,698,,,,,,,
2338,590,2228,1,8,2227,,,,,,,
2339,590,2228,1,8,2227,,,,,,,
2341,591,2229,2,16384,698,,,,,,,
2342,591,2229,2,16384,698,,,,,,,
2345,592,2230,2,8,5759,,,,,,,
2348,593,2231,2,8,5759,,,,,,,
2351,594,2232,2,8,5759,,,,,,,
2354,595,2233,2,8,5759,,,,,,,
2359,5700,5758,1,1,3,,,,,,,
5767,5701,5759,1,8,5758,,,,,,,
5768,5701,5759,1,8,5758,,,,,,,
5769,5701,5759,1,8,5758,,,,,,,
