link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
2476,563,3,1,1,2445,2446,2448,2449,2453,2456,2464,2467,2468,2469,2471,2472,2473
2477,563,3,1,1,2463,,,,,,,,,,,,
2478,563,3,1,1,2447,,,,,,,,,,,,
2479,563,3,1,1,2444,,,,,,,,,,,,
2480,563,3,1,1,2452,,,,,,,,,,,,
2481,563,3,1,1,2455,,,,,,,,,,,,
2485,568,567,2,8192,2458,,,,,,,,,,,,
2489,581,580,2,8192,2458,,,,,,,,,,,,
2493,615,611,2,4096,2450,,,,,,,,,,,,
2494,612,611,2,1024,2462,,,,,,,,,,,,
2498,632,631,2,8192,2458,,,,,,,,,,,,
2502,645,644,2,8192,2458,,,,,,,,,,,,
2506,676,675,2,1048576,6659,6663,,,,,,,,,,,
2510,689,688,2,4096,2450,,,,,,,,,,,,
2516,709,698,2,352256,2459,,,,,,,,,,,,
2517,709,698,2,44032,2460,2461,,,,,,,,,,,
2523,750,739,2,352256,2459,,,,,,,,,,,,
2524,750,739,2,44032,2460,2461,,,,,,,,,,,
2531,536,2444,2,8,567,,,,,,,,,,,,
2533,537,2445,1,1,2444,,,,,,,,,,,,
2535,538,2446,2,8,567,,,,,,,,,,,,
2536,538,2446,2,8,567,,,,,,,,,,,,
2539,539,2447,2,8,580,,,,,,,,,,,,
2541,540,2448,1,1,2447,,,,,,,,,,,,
2543,541,2449,2,8,580,,,,,,,,,,,,
2544,541,2449,2,8,580,,,,,,,,,,,,
2547,543,2450,2,4096,611,,,,,,,,,,,,
2548,543,2450,2,4096,611,,,,,,,,,,,,
2549,543,2450,2,4096,611,,,,,,,,,,,,
2552,545,2451,2,64,631,,,,,,,,,,,,
2554,546,2452,1,4,2451,,,,,,,,,,,,
2555,546,2452,1,4,2451,,,,,,,,,,,,
2557,547,2453,2,64,631,,,,,,,,,,,,
2558,547,2453,2,64,631,,,,,,,,,,,,
2561,548,2454,2,8192,644,,,,,,,,,,,,
2563,549,2455,1,1024,2454,,,,,,,,,,,,
2564,549,2455,1,1024,2454,,,,,,,,,,,,
2566,550,2456,2,8192,644,,,,,,,,,,,,
2567,550,2456,2,8192,644,,,,,,,,,,,,
2577,553,2458,2,8192,698,739,,,,,,,,,,,
2578,553,2458,2,8192,698,739,,,,,,,,,,,
2579,553,2458,2,8192,698,739,,,,,,,,,,,
2582,555,2459,2,352256,7344,,,,,,,,,,,,
2583,555,2459,2,352256,7346,,,,,,,,,,,,
2584,555,2459,2,352256,7347,,,,,,,,,,,,
2587,556,2460,2,352256,7347,,,,,,,,,,,,
2588,556,2460,2,352256,7343,,,,,,,,,,,,
2589,556,2460,2,352256,7345,,,,,,,,,,,,
2592,557,2461,2,352256,7347,,,,,,,,,,,,
2593,557,2461,2,352256,7344,,,,,,,,,,,,
2594,557,2461,2,352256,7346,,,,,,,,,,,,
2599,559,2462,1,128,2465,,,,,,,,,,,,
2601,560,2463,1,128,2462,,,,,,,,,,,,
2602,560,2463,1,128,2462,,,,,,,,,,,,
2604,561,2464,2,1024,2462,,,,,,,,,,,,
2606,562,2465,1,1,3,,,,,,,,,,,,
2616,700,2467,2,352256,6841,,,,,,,,,,,,
2617,700,2467,2,352256,6840,,,,,,,,,,,,
2619,703,2468,2,352256,6840,,,,,,,,,,,,
