link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8]
3256,733,3,1,1,3234,3240,,,,,,,
3257,733,3,1,1,3227,3228,3230,3231,3235,3238,3241,3244,3253
3258,733,3,1,1,3252,,,,,,,,
3259,733,3,1,1,3237,3243,,,,,,,
3260,733,3,1,1,3226,,,,,,,,
3261,733,3,1,1,3229,,,,,,,,
3265,738,737,2,4096,3247,,,,,,,,
3269,751,750,2,4096,3249,,,,,,,,
3273,761,760,2,4096,3247,,,,,,,,
3277,774,773,2,4096,3249,,,,,,,,
3281,805,801,2,2048,6855,6856,,,,,,,
3282,802,801,2,1024,3251,,,,,,,,
3286,822,821,2,4096,3247,,,,,,,,
3290,835,834,2,4096,3249,,,,,,,,
3294,848,847,2,4096,3247,,,,,,,,
3298,861,860,2,4096,3249,,,,,,,,
3302,908,907,2,524288,3245,,,,,,,,
3306,921,920,2,2048,6855,,,,,,,,
3310,931,930,2,524288,3246,,,,,,,,
3314,944,943,2,2048,6855,,,,,,,,
3318,954,953,2,524288,3248,,,,,,,,
3322,967,966,2,524288,3248,,,,,,,,
3326,977,976,2,524288,3245,,,,,,,,
3330,990,989,2,524288,3250,,,,,,,,
3334,1003,1002,2,524288,3250,,,,,,,,
3338,1013,1012,2,524288,3246,,,,,,,,
3341,695,3226,2,8,737,750,,,,,,,
3343,696,3227,1,1,3226,,,,,,,,
3345,697,3228,2,8,737,750,,,,,,,
3346,697,3228,2,8,737,750,,,,,,,
3349,698,3229,2,8,760,773,,,,,,,
3351,699,3230,1,1,3229,,,,,,,,
3353,700,3231,2,8,760,773,,,,,,,
3354,700,3231,2,8,760,773,,,,,,,
3363,705,3233,2,32,821,,,,,,,,
3365,706,3234,1,2,3233,,,,,,,,
3366,706,3234,1,2,3233,,,,,,,,
3368,707,3235,2,32,821,,,,,,,,
3369,707,3235,2,32,821,,,,,,,,
3372,708,3236,2,4096,847,,,,,,,,
3374,709,3237,1,512,3236,,,,,,,,
3375,709,3237,1,512,3236,,,,,,,,
3377,710,3238,2,4096,847,,,,,,,,
3378,710,3238,2,4096,847,,,,,,,,
3381,712,3239,2,32,834,,,,,,,,
3383,713,3240,1,2,3239,,,,,,,,
3384,713,3240,1,2,3239,,,,,,,,
3386,714,3241,2,32,834,,,,,,,,
3387,714,3241,2,32,834,,,,,,,,
3390,715,3242,2,4096,860,,,,,,,,
3392,716,3243,1,512,3242,,,,,,,,
3393,716,3243,1,512,3242,,,,,,,,
3395,717,3244,2,4096,860,,,,,,,,
3396,717,3244,2,4096,860,,,,,,,,
3399,720,3245,2,524288,907,920,,,,,,,
3400,720,3245,2,524288,907,920,,,,,,,
3401,720,3245,2,524288,907,920,,,,,,,
3404,721,3246,2,524288,930,943,,,,,,,
3405,721,3246,2,524288,930,943,,,,,,,
3406,721,3246,2,524288,930,943,,,,,,,
3411,723,3247,2,4096,953,966,,,,,,,
3412,723,3247,2,4096,953,966,,,,,,,
3413,723,3247,2,4096,953,966,,,,,,,
3416,725,3248,2,524288,976,,,,,,,,
3417,725,3248,2,524288,976,,,,,,,,
3418,725,3248,2,524288,976,,,,,,,,
3423,726,3249,2,4096,989,1002,,,,,,,
3424,726,3249,2,4096,989,1002,,,,,,,
3425,726,3249,2,4096,989,1002,,,,,,,
3428,728,3250,2,524288,1012,,,,,,,,
3429,728,3250,2,524288,1012,,,,,,,,
3430,728,3250,2,524288,1012,,,,,,,,
3435,729,3251,1,128,3254,,,,,,,,
3437,730,3252,1,128,3251,,,,,,,,
3438,730,3252,1,128,3251,,,,,,,,
3440,731,3253,2,1024,3251,,,,,,,,
3442,732,3254,1,1,3,,,,,,,,
3358,6783,6855,2,2048,801,,,,,,,,
3359,6784,6856,2,2048,801,,,,,,,,
3360,6784,6856,2,2048,801,,,,,,,,
6862,6784,6856,2,2048,6855,,,,,,,,
