link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22]
4471,742,3,1,1,4435,,,,,,,,,,,,,,,,,,,,,,
4472,742,3,1,1,4424,,,,,,,,,,,,,,,,,,,,,,
4473,742,3,1,1,4447,,,,,,,,,,,,,,,,,,,,,,
4474,742,3,1,1,4432,,,,,,,,,,,,,,,,,,,,,,
4475,742,3,1,1,4425,4426,4428,4429,4433,4436,4448,4451,4452,4453,4454,4456,4457,4458,4459,4461,4462,4463,4464,4466,4467,4468,4469
4476,742,3,1,1,4427,,,,,,,,,,,,,,,,,,,,,,
4482,760,746,2,2048,9167,9171,,,,,,,,,,,,,,,,,,,,,
4483,760,746,2,256,9425,9717,9721,9975,,,,,,,,,,,,,,,,,,,
4489,809,795,2,256,9425,9717,9975,,,,,,,,,,,,,,,,,,,,
4490,809,795,2,2048,9167,,,,,,,,,,,,,,,,,,,,,,
4494,863,862,2,1024,4446,,,,,,,,,,,,,,,,,,,,,,
4495,866,862,2,4096,4430,,,,,,,,,,,,,,,,,,,,,,
4501,896,882,2,2048,9168,,,,,,,,,,,,,,,,,,,,,,
4502,896,882,2,256,9425,9718,9975,,,,,,,,,,,,,,,,,,,,
4513,1009,1008,2,262144,8857,8862,8863,,,,,,,,,,,,,,,,,,,,
4517,1022,1021,2,4096,4430,,,,,,,,,,,,,,,,,,,,,,
4521,1032,1031,2,262144,4442,,,,,,,,,,,,,,,,,,,,,,
4525,1045,1044,2,262144,4442,,,,,,,,,,,,,,,,,,,,,,
4529,1055,1054,2,262144,4443,,,,,,,,,,,,,,,,,,,,,,
4533,1068,1067,2,262144,4443,,,,,,,,,,,,,,,,,,,,,,
4537,1078,1077,2,262144,4444,,,,,,,,,,,,,,,,,,,,,,
4541,1091,1090,2,262144,4444,,,,,,,,,,,,,,,,,,,,,,
4545,1101,1100,2,262144,4445,,,,,,,,,,,,,,,,,,,,,,
4549,1114,1113,2,262144,4445,,,,,,,,,,,,,,,,,,,,,,
4553,1124,1123,2,262144,8859,8860,,,,,,,,,,,,,,,,,,,,,
4557,1137,1136,2,262144,8860,,,,,,,,,,,,,,,,,,,,,,
4561,1150,1149,2,262144,8861,,,,,,,,,,,,,,,,,,,,,,
4565,1163,1162,2,262144,8861,,,,,,,,,,,,,,,,,,,,,,
4568,707,4424,2,8,746,,,,,,,,,,,,,,,,,,,,,,
4570,708,4425,1,1,4424,,,,,,,,,,,,,,,,,,,,,,
4572,709,4426,2,8,746,,,,,,,,,,,,,,,,,,,,,,
4573,709,4426,2,8,746,,,,,,,,,,,,,,,,,,,,,,
4576,710,4427,2,8,795,,,,,,,,,,,,,,,,,,,,,,
4578,711,4428,1,1,4427,,,,,,,,,,,,,,,,,,,,,,
4580,712,4429,2,8,795,,,,,,,,,,,,,,,,,,,,,,
4581,712,4429,2,8,795,,,,,,,,,,,,,,,,,,,,,,
4584,714,4430,2,4096,862,,,,,,,,,,,,,,,,,,,,,,
4585,714,4430,2,4096,862,,,,,,,,,,,,,,,,,,,,,,
4586,714,4430,2,4096,862,,,,,,,,,,,,,,,,,,,,,,
4589,716,4431,2,64,882,,,,,,,,,,,,,,,,,,,,,,
4591,717,4432,1,4,4431,,,,,,,,,,,,,,,,,,,,,,
4592,717,4432,1,4,4431,,,,,,,,,,,,,,,,,,,,,,
4594,718,4433,2,64,882,,,,,,,,,,,,,,,,,,,,,,
4595,718,4433,2,64,882,,,,,,,,,,,,,,,,,,,,,,
4598,719,4434,2,8192,8101,8195,8289,8383,,,,,,,,,,,,,,,,,,,
4600,720,4435,1,1024,4434,,,,,,,,,,,,,,,,,,,,,,
4601,720,4435,1,1024,4434,,,,,,,,,,,,,,,,,,,,,,
4603,721,4436,2,8192,8101,8195,8289,8383,,,,,,,,,,,,,,,,,,,
4604,721,4436,2,8192,8101,8195,8289,8383,,,,,,,,,,,,,,,,,,,
4643,734,4442,2,262144,1123,,,,,,,,,,,,,,,,,,,,,,
4644,734,4442,2,262144,1123,,,,,,,,,,,,,,,,,,,,,,
4645,734,4442,2,262144,1123,,,,,,,,,,,,,,,,,,,,,,
4648,735,4443,2,262144,1136,,,,,,,,,,,,,,,,,,,,,,
4649,735,4443,2,262144,1136,,,,,,,,,,,,,,,,,,,,,,
4650,735,4443,2,262144,1136,,,,,,,,,,,,,,,,,,,,,,
4653,736,4444,2,262144,1149,,,,,,,,,,,,,,,,,,,,,,
4654,736,4444,2,262144,1149,,,,,,,,,,,,,,,,,,,,,,
4655,736,4444,2,262144,1149,,,,,,,,,,,,,,,,,,,,,,
4658,737,4445,2,262144,1162,,,,,,,,,,,,,,,,,,,,,,
4659,737,4445,2,262144,1162,,,,,,,,,,,,,,,,,,,,,,
4660,737,4445,2,262144,1162,,,,,,,,,,,,,,,,,,,,,,
4665,738,4446,1,128,4449,,,,,,,,,,,,,,,,,,,,,,
4667,739,4447,1,128,4446,,,,,,,,,,,,,,,,,,,,,,
4668,739,4447,1,128,4446,,,,,,,,,,,,,,,,,,,,,,
4670,740,4448,2,1024,4446,,,,,,,,,,,,,,,,,,,,,,
4672,741,4449,1,1,3,,,,,,,,,,,,,,,,,,,,,,
4684,748,4451,2,2048,10190,,,,,,,,,,,,,,,,,,,,,,
4685,748,4451,2,2048,10933,,,,,,,,,,,,,,,,,,,,,,
4687,751,4452,2,2048,10190,,,,,,,,,,,,,,,,,,,,,,
4688,751,4452,2,2048,10933,,,,,,,,,,,,,,,,,,,,,,
4690,754,4453,2,2048,10188,,,,,,,,,,,,,,,,,,,,,,
4691,754,4453,2,2048,10190,,,,,,,,,,,,,,,,,,,,,,
4693,757,4454,2,2048,10190,,,,,,,,,,,,,,,,,,,,,,
4694,757,4454,2,2048,10188,,,,,,,,,,,,,,,,,,,,,,
4706,797,4456,2,2048,10413,,,,,,,,,,,,,,,,,,,,,,
4707,797,4456,2,2048,10411,,,,,,,,,,,,,,,,,,,,,,
4709,800,4457,2,2048,10411,,,,,,,,,,,,,,,,,,,,,,
4710,800,4457,2,2048,10413,,,,,,,,,,,,,,,,,,,,,,
4712,803,4458,2,2048,10999,,,,,,,,,,,,,,,,,,,,,,
4713,803,4458,2,2048,10413,,,,,,,,,,,,,,,,,,,,,,
4715,806,4459,2,2048,10999,,,,,,,,,,,,,,,,,,,,,,
4716,806,4459,2,2048,10413,,,,,,,,,,,,,,,,,,,,,,
4728,884,4461,2,2048,11065,,,,,,,,,,,,,,,,,,,,,,
4729,884,4461,2,2048,10636,,,,,,,,,,,,,,,,,,,,,,
4731,887,4462,2,2048,11065,,,,,,,,,,,,,,,,,,,,,,
4732,887,4462,2,2048,10636,,,,,,,,,,,,,,,,,,,,,,
4734,890,4463,2,2048,10636,,,,,,,,,,,,,,,,,,,,,,
4735,890,4463,2,2048,10634,,,,,,,,,,,,,,,,,,,,,,
4737,893,4464,2,2048,10636,,,,,,,,,,,,,,,,,,,,,,
4738,893,4464,2,2048,10634,,,,,,,,,,,,,,,,,,,,,,
4750,943,4466,2,2048,10853,,,,,,,,,,,,,,,,,,,,,,
4751,943,4466,2,2048,10854,,,,,,,,,,,,,,,,,,,,,,
4753,946,4467,2,2048,10854,,,,,,,,,,,,,,,,,,,,,,
4754,946,4467,2,2048,10853,,,,,,,,,,,,,,,,,,,,,,
4756,949,4468,2,2048,10855,,,,,,,,,,,,,,,,,,,,,,
4757,949,4468,2,2048,10855,,,,,,,,,,,,,,,,,,,,,,
4759,952,4469,2,2048,10855,,,,,,,,,,,,,,,,,,,,,,
4760,952,4469,2,2048,10855,,,,,,,,,,,,,,,,,,,,,,
8194,8103,8101,2,2048,9169,,,,,,,,,,,,,,,,,,,,,,
8193,8103,8101,2,256,9424,9720,9974,,,,,,,,,,,,,,,,,,,,
8551,8103,8101,2,256,9424,9720,9974,,,,,,,,,,,,,,,,,,,,
8552,8103,8101,2,2048,9169,,,,,,,,,,,,,,,,,,,,,,
8288,8197,8195,2,2048,9169,,,,,,,,,,,,,,,,,,,,,,
8287,8197,8195,2,256,9424,9720,9974,,,,,,,,,,,,,,,,,,,,
8553,8197,8195,2,2048,9168,,,,,,,,,,,,,,,,,,,,,,
8554,8197,8195,2,256,9422,9718,9972,,,,,,,,,,,,,,,,,,,,
8382,8291,8289,2,2048,9170,,,,,,,,,,,,,,,,,,,,,,
8381,8291,8289,2,256,9423,9719,9973,,,,,,,,,,,,,,,,,,,,
8555,8291,8289,2,2048,9170,,,,,,,,,,,,,,,,,,,,,,
8556,8291,8289,2,256,9423,9719,9973,,,,,,,,,,,,,,,,,,,,
8476,8385,8383,2,2048,9170,,,,,,,,,,,,,,,,,,,,,,
8475,8385,8383,2,256,9423,9719,9973,,,,,,,,,,,,,,,,,,,,
4612,8557,8857,2,262144,1008,1021,,,,,,,,,,,,,,,,,,,,,
8870,8558,8858,2,262144,8857,,,,,,,,,,,,,,,,,,,,,,
8875,8559,8859,2,262144,8858,,,,,,,,,,,,,,,,,,,,,,
8876,8559,8859,2,262144,8858,,,,,,,,,,,,,,,,,,,,,,
8880,8560,8860,2,262144,8859,,,,,,,,,,,,,,,,,,,,,,
8881,8560,8860,2,262144,8859,,,,,,,,,,,,,,,,,,,,,,
8886,8561,8861,2,262144,8858,,,,,,,,,,,,,,,,,,,,,,
8887,8561,8861,2,262144,8859,,,,,,,,,,,,,,,,,,,,,,
8889,8562,8862,2,262144,8861,,,,,,,,,,,,,,,,,,,,,,
8890,8562,8862,2,262144,8860,,,,,,,,,,,,,,,,,,,,,,
8891,8562,8862,2,262144,8861,,,,,,,,,,,,,,,,,,,,,,
4611,8563,8863,2,262144,1008,1021,,,,,,,,,,,,,,,,,,,,,
4610,8563,8863,2,262144,1008,1021,,,,,,,,,,,,,,,,,,,,,
8893,8563,8863,2,262144,8857,,,,,,,,,,,,,,,,,,,,,,
4619,8894,9166,2,2048,1031,1044,,,,,,,,,,,,,,,,,,,,,
9177,8895,9167,2,2048,9166,,,,,,,,,,,,,,,,,,,,,,
9182,8896,9168,2,2048,9166,,,,,,,,,,,,,,,,,,,,,,
9183,8896,9168,2,2048,9167,,,,,,,,,,,,,,,,,,,,,,
9187,8897,9169,2,2048,9168,,,,,,,,,,,,,,,,,,,,,,
4618,8898,9170,2,2048,1031,1044,,,,,,,,,,,,,,,,,,,,,
9192,8898,9170,2,2048,9168,,,,,,,,,,,,,,,,,,,,,,
4617,8899,9171,2,2048,1031,1044,,,,,,,,,,,,,,,,,,,,,
9194,8899,9171,2,2048,9170,,,,,,,,,,,,,,,,,,,,,,
4624,9195,9421,2,2048,1054,1067,,,,,,,,,,,,,,,,,,,,,
