link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
2602,586,3,1,1,2577,,,,,,,,,,,,,
2603,586,3,1,1,2570,2571,2573,2574,2578,2581,2590,2593,2594,2595,2596,2597,2598,2599
2604,586,3,1,1,2580,,,,,,,,,,,,,
2605,586,3,1,1,2569,,,,,,,,,,,,,
2606,586,3,1,1,2589,,,,,,,,,,,,,
2607,586,3,1,1,2572,,,,,,,,,,,,,
2611,591,590,2,8192,2583,,,,,,,,,,,,,
2615,604,603,2,8192,2583,,,,,,,,,,,,,
2619,635,634,2,1024,2588,,,,,,,,,,,,,
2620,638,634,2,4096,2575,,,,,,,,,,,,,
2624,655,654,2,8192,2583,,,,,,,,,,,,,
2628,668,667,2,8192,2583,,,,,,,,,,,,,
2632,699,698,2,1048576,6806,6810,,,,,,,,,,,,
2636,712,711,2,4096,2575,,,,,,,,,,,,,
2640,722,721,2,262144,6939,,,,,,,,,,,,,
2646,757,734,2,262144,6939,,,,,,,,,,,,,
2647,757,734,2,32768,7054,7168,7282,,,,,,,,,,,
2654,558,2569,2,8,590,,,,,,,,,,,,,
2656,559,2570,1,1,2569,,,,,,,,,,,,,
2658,560,2571,2,8,590,,,,,,,,,,,,,
2659,560,2571,2,8,590,,,,,,,,,,,,,
2662,561,2572,2,8,603,,,,,,,,,,,,,
2664,562,2573,1,1,2572,,,,,,,,,,,,,
2666,563,2574,2,8,603,,,,,,,,,,,,,
2667,563,2574,2,8,603,,,,,,,,,,,,,
2670,565,2575,2,4096,634,,,,,,,,,,,,,
2671,565,2575,2,4096,634,,,,,,,,,,,,,
2672,565,2575,2,4096,634,,,,,,,,,,,,,
2675,567,2576,2,64,654,,,,,,,,,,,,,
2677,568,2577,1,4,2576,,,,,,,,,,,,,
2678,568,2577,1,4,2576,,,,,,,,,,,,,
2680,569,2578,2,64,654,,,,,,,,,,,,,
2681,569,2578,2,64,654,,,,,,,,,,,,,
2684,570,2579,2,8192,667,,,,,,,,,,,,,
2686,571,2580,1,1024,2579,,,,,,,,,,,,,
2687,571,2580,1,1024,2579,,,,,,,,,,,,,
2689,572,2581,2,8192,667,,,,,,,,,,,,,
2690,572,2581,2,8192,667,,,,,,,,,,,,,
2700,575,2583,2,8192,721,734,,,,,,,,,,,,
2701,575,2583,2,8192,721,734,,,,,,,,,,,,
2702,575,2583,2,8192,721,734,,,,,,,,,,,,
2724,582,2588,1,128,2591,,,,,,,,,,,,,
2726,583,2589,1,128,2588,,,,,,,,,,,,,
2727,583,2589,1,128,2588,,,,,,,,,,,,,
2729,584,2590,2,1024,2588,,,,,,,,,,,,,
2731,585,2591,1,1,3,,,,,,,,,,,,,
2749,736,2593,2,262144,7742,,,,,,,,,,,,,
2750,736,2593,2,262144,7739,,,,,,,,,,,,,
2752,739,2594,2,262144,7742,,,,,,,,,,,,,
2753,739,2594,2,262144,7739,,,,,,,,,,,,,
2755,742,2595,2,262144,7738,,,,,,,,,,,,,
2756,742,2595,2,262144,7742,,,,,,,,,,,,,
2758,745,2596,2,262144,7738,,,,,,,,,,,,,
2759,745,2596,2,262144,7742,,,,,,,,,,,,,
2761,748,2597,2,262144,7736,,,,,,,,,,,,,
2762,748,2597,2,262144,7741,,,,,,,,,,,,,
2764,751,2598,2,262144,7741,,,,,,,,,,,,,
2765,751,2598,2,262144,7736,,,,,,,,,,,,,
2767,754,2599,2,262144,7735,,,,,,,,,,,,,
2768,754,2599,2,262144,7740,,,,,,,,,,,,,
6235,6126,6124,2,1048576,6809,,,,,,,,,,,,,
6592,6126,6124,2,1048576,6809,,,,,,,,,,,,,
6347,6238,6236,2,1048576,6809,,,,,,,,,,,,,
6593,6238,6236,2,1048576,6807,,,,,,,,,,,,,
6459,6350,6348,2,1048576,6808,,,,,,,,,,,,,
6594,6350,6348,2,1048576,6808,,,,,,,,,,,,,
6571,6462,6460,2,1048576,6808,,,,,,,,,,,,,
2695,6595,6806,2,1048576,698,711,,,,,,,,,,,,
6817,6596,6807,2,1048576,6806,,,,,,,,,,,,,
6821,6597,6808,2,1048576,6807,,,,,,,,,,,,,
6825,6598,6809,2,1048576,6807,,,,,,,,,,,,,
2693,6599,6810,2,1048576,698,711,,,,,,,,,,,,
2694,6599,6810,2,1048576,698,711,,,,,,,,,,,,
6827,6599,6810,2,1048576,6806,,,,,,,,,,,,,
2707,6828,6938,2,262144,8125,,,,,,,,,,,,,
2706,6828,6938,2,262144,8130,,,,,,,,,,,,,
2705,6829,6939,2,262144,8128,,,,,,,,,,,,,
6943,6829,6939,2,262144,6938,,,,,,,,,,,,,
2709,6944,7053,2,262144,8125,,,,,,,,,,,,,
2710,6944,7053,2,262144,8130,,,,,,,,,,,,,
2711,6945,7054,2,262144,8128,,,,,,,,,,,,,
7057,6945,7054,2,262144,7053,,,,,,,,,,,,,
2713,7058,7167,2,262144,8130,,,,,,,,,,,,,
2715,7058,7167,2,262144,8126,,,,,,,,,,,,,
2714,7059,7168,2,262144,8129,,,,,,,,,,,,,
7171,7059,7168,2,262144,7167,,,,,,,,,,,,,
2719,7172,7281,2,262144,8130,,,,,,,,,,,,,
2717,7172,7281,2,262144,8126,,,,,,,,,,,,,
2718,7173,7282,2,262144,8129,,,,,,,,,,,,,
7285,7173,7282,2,262144,7281,,,,,,,,,,,,,
2746,7286,7734,2,262144,734,,,,,,,,,,,,,
2747,7286,7734,2,262144,734,,,,,,,,,,,,,
7750,7287,7735,2,262144,7734,,,,,,,,,,,,,
7754,7288,7736,2,262144,7735,,,,,,,,,,,,,
7758,7289,7737,2,262144,7734,,,,,,,,,,,,,
7762,7290,7738,2,262144,7737,,,,,,,,,,,,,
7766,7291,7739,2,262144,7737,,,,,,,,,,,,,
7770,7292,7740,2,262144,7734,,,,,,,,,,,,,
7771,7292,7740,2,262144,7735,,,,,,,,,,,,,
7772,7292,7740,2,262144,7734,,,,,,,,,,,,,
7777,7293,7741,2,262144,7736,,,,,,,,,,,,,
7778,7293,7741,2,262144,7737,,,,,,,,,,,,,
7779,7293,7741,2,262144,7740,,,,,,,,,,,,,
7780,7293,7741,2,262144,7740,,,,,,,,,,,,,
7785,7294,7742,2,262144,7741,,,,,,,,,,,,,
7786,7294,7742,2,262144,7738,,,,,,,,,,,,,
7787,7294,7742,2,262144,7741,,,,,,,,,,,,,
7788,7294,7742,2,262144,7739,,,,,,,,,,,,,
2781,7789,8124,2,262144,6124,6236,6348,6460,,,,,,,,,,
2782,7789,8124,2,262144,6124,6236,6348,6460,,,,,,,,,,
8138,7790,8125,2,262144,8124,,,,,,,,,,,,,
2783,7791,8126,2,262144,6124,6236,6348,6460,,,,,,,,,,
8143,7791,8126,2,262144,8124,,,,,,,,,,,,,
8147,7792,8127,2,262144,8126,,,,,,,,,,,,,
8151,7793,8128,2,262144,8127,,,,,,,,,,,,,
8155,7794,8129,2,262144,8127,,,,,,,,,,,,,
8160,7795,8130,2,262144,8125,8128,,,,,,,,,,,,
8161,7795,8130,2,262144,8126,8129,,,,,,,,,,,,
