link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9]
2148,524,3,1,1,2121,,,,,,,,,
2149,524,3,1,1,2132,,,,,,,,,
2150,524,3,1,1,2129,,,,,,,,,
2151,524,3,1,1,2124,,,,,,,,,
2152,524,3,1,1,2139,,,,,,,,,
2153,524,3,1,1,2122,2123,2125,2126,2130,2133,2140,2143,2144,2145
2157,529,528,2,8192,2135,,,,,,,,,
2161,542,541,2,8192,2135,,,,,,,,,
2165,576,572,2,4096,2127,,,,,,,,,
2166,573,572,2,1024,2138,,,,,,,,,
2170,593,592,2,8192,2135,,,,,,,,,
2174,606,605,2,8192,2135,,,,,,,,,
2178,637,636,2,1048576,5944,5945,,,,,,,,
2182,650,649,2,4096,2127,,,,,,,,,
2186,660,659,2,524288,6054,,,,,,,,,
2192,683,672,2,65536,6161,,,,,,,,,
2193,683,672,2,524288,6054,,,,,,,,,
2200,498,2121,2,8,528,,,,,,,,,
2202,499,2122,1,1,2121,,,,,,,,,
2204,500,2123,2,8,528,,,,,,,,,
2205,500,2123,2,8,528,,,,,,,,,
2208,501,2124,2,8,541,,,,,,,,,
2210,502,2125,1,1,2124,,,,,,,,,
2212,503,2126,2,8,541,,,,,,,,,
2213,503,2126,2,8,541,,,,,,,,,
2216,505,2127,2,4096,572,,,,,,,,,
2217,505,2127,2,4096,572,,,,,,,,,
2218,505,2127,2,4096,572,,,,,,,,,
2221,507,2128,2,64,592,,,,,,,,,
2223,508,2129,1,4,2128,,,,,,,,,
2224,508,2129,1,4,2128,,,,,,,,,
2226,509,2130,2,64,592,,,,,,,,,
2227,509,2130,2,64,592,,,,,,,,,
2230,510,2131,2,8192,605,,,,,,,,,
2232,511,2132,1,1024,2131,,,,,,,,,
2233,511,2132,1,1024,2131,,,,,,,,,
2235,512,2133,2,8192,605,,,,,,,,,
2236,512,2133,2,8192,605,,,,,,,,,
2246,515,2135,2,8192,659,672,,,,,,,,
2247,515,2135,2,8192,659,672,,,,,,,,
2248,515,2135,2,8192,659,672,,,,,,,,
2262,520,2138,1,128,2141,,,,,,,,,
2264,521,2139,1,128,2138,,,,,,,,,
2265,521,2139,1,128,2138,,,,,,,,,
2267,522,2140,2,1024,2138,,,,,,,,,
2269,523,2141,1,1,3,,,,,,,,,
2279,674,2143,2,524288,6319,,,,,,,,,
2280,674,2143,2,524288,6319,,,,,,,,,
2282,677,2144,2,524288,6319,,,,,,,,,
2283,677,2144,2,524288,6319,,,,,,,,,
2285,680,2145,2,524288,6318,,,,,,,,,
2286,680,2145,2,524288,6317,,,,,,,,,
5743,5638,5636,2,1048576,5944,,,,,,,,,
5860,5638,5636,2,1048576,5944,,,,,,,,,
5851,5746,5744,2,1048576,5944,,,,,,,,,
2239,5861,5944,2,1048576,636,649,,,,,,,,
2240,5862,5945,2,1048576,636,649,,,,,,,,
2241,5862,5945,2,1048576,636,649,,,,,,,,
2251,5951,6053,2,524288,6437,,,,,,,,,
2253,5951,6053,2,524288,6436,,,,,,,,,
2252,5952,6054,2,524288,6437,,,,,,,,,
6058,5952,6054,2,524288,6053,,,,,,,,,
2257,6059,6160,2,524288,6437,,,,,,,,,
2255,6059,6160,2,524288,6436,,,,,,,,,
2256,6060,6161,2,524288,6437,,,,,,,,,
6164,6060,6161,2,524288,6160,,,,,,,,,
2277,6165,6317,2,524288,672,,,,,,,,,
2276,6165,6317,2,524288,672,,,,,,,,,
6326,6166,6318,2,524288,6317,,,,,,,,,
6327,6166,6318,2,524288,6317,,,,,,,,,
6332,6167,6319,2,524288,6317,,,,,,,,,
6333,6167,6319,2,524288,6318,,,,,,,,,
2294,6334,6436,2,524288,5636,5744,,,,,,,,
2293,6334,6436,2,524288,5636,5744,,,,,,,,
2295,6335,6437,2,524288,5636,5744,,,,,,,,
6446,6335,6437,2,524288,6436,,,,,,,,,
6447,6335,6437,2,524288,6436,,,,,,,,,
