link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25]
6745,971,3,1,1,6683,,,,,,,,,,,,,,,,,,,,,,,,,
6746,971,3,1,1,6716,,,,,,,,,,,,,,,,,,,,,,,,,
6747,971,3,1,1,6689,6692,6695,,,,,,,,,,,,,,,,,,,,,,,
6748,971,3,1,1,6684,6685,6686,6687,6690,6693,6696,6717,6721,6722,6723,6725,6726,6727,6729,6730,6731,6733,6734,6735,6737,6738,6739,6741,6742,6743
6752,976,975,2,4096,6715,,,,,,,,,,,,,,,,,,,,,,,,,
6756,989,988,2,8192,12994,,,,,,,,,,,,,,,,,,,,,,,,,
6787,1228,1217,2,118336,13311,,,,,,,,,,,,,,,,,,,,,,,,,
6788,1228,1217,2,14792,13625,13942,,,,,,,,,,,,,,,,,,,,,,,,
6794,1269,1258,2,14792,14576,14893,,,,,,,,,,,,,,,,,,,,,,,,
6795,1269,1258,2,118336,14259,,,,,,,,,,,,,,,,,,,,,,,,,
6801,1310,1299,2,118336,15210,,,,,,,,,,,,,,,,,,,,,,,,,
6802,1310,1299,2,14792,15526,15839,,,,,,,,,,,,,,,,,,,,,,,,
6810,921,6682,2,8192,10943,11078,11213,11348,11546,11681,11816,11951,12149,12284,12419,12554,,,,,,,,,,,,,,
6812,922,6683,1,1024,6682,,,,,,,,,,,,,,,,,,,,,,,,,
6813,922,6683,1,1024,6682,,,,,,,,,,,,,,,,,,,,,,,,,
6815,923,6684,2,8192,10943,11078,11213,11348,11546,11681,11816,11951,12149,12284,12419,12554,,,,,,,,,,,,,,
6816,923,6684,2,8192,10943,11078,11213,11348,11546,11681,11816,11951,12149,12284,12419,12554,,,,,,,,,,,,,,
6818,926,6685,1,344,6689,,,,,,,,,,,,,,,,,,,,,,,,,
6820,927,6686,1,344,6692,,,,,,,,,,,,,,,,,,,,,,,,,
6822,928,6687,1,344,6695,,,,,,,,,,,,,,,,,,,,,,,,,
6825,930,6688,2,2752,1217,,,,,,,,,,,,,,,,,,,,,,,,,
6828,931,6689,1,344,6688,,,,,,,,,,,,,,,,,,,,,,,,,
6829,931,6689,1,344,6688,,,,,,,,,,,,,,,,,,,,,,,,,
6831,932,6690,2,2752,1217,,,,,,,,,,,,,,,,,,,,,,,,,
6832,932,6690,2,2752,1217,,,,,,,,,,,,,,,,,,,,,,,,,
6835,933,6691,2,2752,1258,,,,,,,,,,,,,,,,,,,,,,,,,
6838,934,6692,1,344,6691,,,,,,,,,,,,,,,,,,,,,,,,,
6839,934,6692,1,344,6691,,,,,,,,,,,,,,,,,,,,,,,,,
6841,935,6693,2,2752,1258,,,,,,,,,,,,,,,,,,,,,,,,,
6842,935,6693,2,2752,1258,,,,,,,,,,,,,,,,,,,,,,,,,
6845,936,6694,2,2752,1299,,,,,,,,,,,,,,,,,,,,,,,,,
6848,937,6695,1,344,6694,,,,,,,,,,,,,,,,,,,,,,,,,
6849,937,6695,1,344,6694,,,,,,,,,,,,,,,,,,,,,,,,,
6851,938,6696,2,2752,1299,,,,,,,,,,,,,,,,,,,,,,,,,
6852,938,6696,2,2752,1299,,,,,,,,,,,,,,,,,,,,,,,,,
6863,948,6700,1,14792,16861,,,,,,,,,,,,,,,,,,,,,,,,,
6864,948,6700,1,14792,16868,,,,,,,,,,,,,,,,,,,,,,,,,
6865,948,6700,1,14792,16875,,,,,,,,,,,,,,,,,,,,,,,,,
6867,949,6701,1,14792,16872,,,,,,,,,,,,,,,,,,,,,,,,,
6868,949,6701,1,14792,16863,,,,,,,,,,,,,,,,,,,,,,,,,
6869,949,6701,1,14792,16876,,,,,,,,,,,,,,,,,,,,,,,,,
6871,950,6702,1,14792,16869,,,,,,,,,,,,,,,,,,,,,,,,,
