link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
4601,688,3,1,1,4556,4557,4560,4579,4583,4584,4585,4586,4587,4588,4589,4590,4592,4593,4594,4595,4596,4597,4598,4599
4602,688,3,1,1,4555,,,,,,,,,,,,,,,,,,,
4603,688,3,1,1,4578,,,,,,,,,,,,,,,,,,,
4604,688,3,1,1,4559,,,,,,,,,,,,,,,,,,,
4608,693,692,2,4096,4577,,,,,,,,,,,,,,,,,,,
4612,706,705,2,8192,4553,,,,,,,,,,,,,,,,,,,
4616,716,715,2,8192,4553,,,,,,,,,,,,,,,,,,,
4629,915,889,2,131072,10144,,,,,,,,,,,,,,,,,,,
4630,915,889,2,16384,10719,11447,12029,12604,13332,13914,14642,,,,,,,,,,,,,
4633,656,4553,2,8192,692,705,,,,,,,,,,,,,,,,,,
4634,656,4553,2,8192,692,705,,,,,,,,,,,,,,,,,,
4635,656,4553,2,8192,692,705,,,,,,,,,,,,,,,,,,
4638,657,4554,2,8192,8176,8314,8452,8590,8728,8866,9004,9142,,,,,,,,,,,,
4640,658,4555,1,1024,4554,,,,,,,,,,,,,,,,,,,
4641,658,4555,1,1024,4554,,,,,,,,,,,,,,,,,,,
4643,659,4556,2,8192,8176,8314,8452,8590,8728,8866,9004,9142,,,,,,,,,,,,
4644,659,4556,2,8192,8176,8314,8452,8590,8728,8866,9004,9142,,,,,,,,,,,,
4646,661,4557,1,1024,4559,,,,,,,,,,,,,,,,,,,
4649,662,4558,2,8192,889,,,,,,,,,,,,,,,,,,,
4652,663,4559,1,1024,4558,,,,,,,,,,,,,,,,,,,
4653,663,4559,1,1024,4558,,,,,,,,,,,,,,,,,,,
4655,664,4560,2,8192,889,,,,,,,,,,,,,,,,,,,
4656,664,4560,2,8192,889,,,,,,,,,,,,,,,,,,,
4682,676,4569,1,16384,15582,,,,,,,,,,,,,,,,,,,
4683,676,4569,1,16384,15588,,,,,,,,,,,,,,,,,,,
4684,676,4569,1,16384,15590,,,,,,,,,,,,,,,,,,,
4686,677,4570,1,16384,15582,,,,,,,,,,,,,,,,,,,
4687,677,4570,1,16384,15588,,,,,,,,,,,,,,,,,,,
4688,677,4570,1,16384,15590,,,,,,,,,,,,,,,,,,,
4690,678,4571,1,16384,15593,,,,,,,,,,,,,,,,,,,
4691,678,4571,1,16384,15580,,,,,,,,,,,,,,,,,,,
4692,678,4571,1,16384,15594,,,,,,,,,,,,,,,,,,,
4694,679,4572,1,16384,15587,,,,,,,,,,,,,,,,,,,
4695,679,4572,1,16384,15590,,,,,,,,,,,,,,,,,,,
4696,679,4572,1,16384,15583,,,,,,,,,,,,,,,,,,,
4698,680,4573,1,16384,15590,,,,,,,,,,,,,,,,,,,
4699,680,4573,1,16384,15587,,,,,,,,,,,,,,,,,,,
4700,680,4573,1,16384,15583,,,,,,,,,,,,,,,,,,,
4702,681,4574,1,16384,15592,,,,,,,,,,,,,,,,,,,
4703,681,4574,1,16384,15594,,,,,,,,,,,,,,,,,,,
4704,681,4574,1,16384,15579,,,,,,,,,,,,,,,,,,,
4706,682,4575,1,16384,15579,,,,,,,,,,,,,,,,,,,
4707,682,4575,1,16384,15594,,,,,,,,,,,,,,,,,,,
4708,682,4575,1,16384,15592,,,,,,,,,,,,,,,,,,,
4710,683,4576,1,16384,15580,,,,,,,,,,,,,,,,,,,
4711,683,4576,1,16384,15594,,,,,,,,,,,,,,,,,,,
4712,683,4576,1,16384,15593,,,,,,,,,,,,,,,,,,,
4717,684,4577,1,512,4580,,,,,,,,,,,,,,,,,,,
4719,685,4578,1,512,4577,,,,,,,,,,,,,,,,,,,
4720,685,4578,1,512,4577,,,,,,,,,,,,,,,,,,,
4722,686,4579,2,4096,4577,,,,,,,,,,,,,,,,,,,
4724,687,4580,1,1,3,,,,,,,,,,,,,,,,,,,
4771,801,4583,2,131072,16087,,,,,,,,,,,,,,,,,,,
4772,801,4583,2,131072,16087,,,,,,,,,,,,,,,,,,,
4774,804,4584,2,131072,16087,,,,,,,,,,,,,,,,,,,
4775,804,4584,2,131072,16087,,,,,,,,,,,,,,,,,,,
4777,807,4585,2,131072,16086,,,,,,,,,,,,,,,,,,,
4778,807,4585,2,131072,16086,,,,,,,,,,,,,,,,,,,
4780,810,4586,2,131072,16086,,,,,,,,,,,,,,,,,,,
4781,810,4586,2,131072,16086,,,,,,,,,,,,,,,,,,,
4783,813,4587,2,131072,16083,,,,,,,,,,,,,,,,,,,
4784,813,4587,2,131072,16083,,,,,,,,,,,,,,,,,,,
4786,816,4588,2,131072,16083,,,,,,,,,,,,,,,,,,,
4787,816,4588,2,131072,16083,,,,,,,,,,,,,,,,,,,
4789,819,4589,2,131072,16084,,,,,,,,,,,,,,,,,,,
4790,819,4589,2,131072,16084,,,,,,,,,,,,,,,,,,,
4792,822,4590,2,131072,16084,,,,,,,,,,,,,,,,,,,
4793,822,4590,2,131072,16084,,,,,,,,,,,,,,,,,,,
4813,891,4592,2,131072,16623,,,,,,,,,,,,,,,,,,,
4814,891,4592,2,131072,16623,,,,,,,,,,,,,,,,,,,
4816,894,4593,2,131072,16623,,,,,,,,,,,,,,,,,,,
4817,894,4593,2,131072,16623,,,,,,,,,,,,,,,,,,,
4819,897,4594,2,131072,16622,,,,,,,,,,,,,,,,,,,
4820,897,4594,2,131072,16622,,,,,,,,,,,,,,,,,,,
4822,900,4595,2,131072,16622,,,,,,,,,,,,,,,,,,,
4823,900,4595,2,131072,16622,,,,,,,,,,,,,,,,,,,
4825,903,4596,2,131072,16618,,,,,,,,,,,,,,,,,,,
4826,903,4596,2,131072,16620,,,,,,,,,,,,,,,,,,,
4828,906,4597,2,131072,16618,,,,,,,,,,,,,,,,,,,
4829,906,4597,2,131072,16620,,,,,,,,,,,,,,,,,,,
4831,909,4598,2,131072,16620,,,,,,,,,,,,,,,,,,,
4832,909,4598,2,131072,16757,,,,,,,,,,,,,,,,,,,
4834,912,4599,2,131072,16757,,,,,,,,,,,,,,,,,,,
4835,912,4599,2,131072,16620,,,,,,,,,,,,,,,,,,,
8313,8178,8176,2,131072,10150,,,,,,,,,,,,,,,,,,,
8312,8178,8176,2,16384,10722,11453,12034,12610,13335,13917,14646,,,,,,,,,,,,,
9590,8178,8176,2,131072,10150,,,,,,,,,,,,,,,,,,,
9591,8178,8176,2,16384,10722,11453,12034,12610,13335,13917,14646,,,,,,,,,,,,,
8451,8316,8314,2,131072,10150,,,,,,,,,,,,,,,,,,,
8450,8316,8314,2,16384,10722,11453,12034,12610,13335,13917,14646,,,,,,,,,,,,,
9592,8316,8314,2,131072,10148,,,,,,,,,,,,,,,,,,,
9593,8316,8314,2,16384,10720,11452,12033,12608,13334,13915,14644,,,,,,,,,,,,,
8589,8454,8452,2,131072,10149,,,,,,,,,,,,,,,,,,,
8588,8454,8452,2,16384,10721,11454,12035,12609,13336,13916,14645,,,,,,,,,,,,,
9594,8454,8452,2,16384,10721,11454,12035,12609,13336,13916,14645,,,,,,,,,,,,,
9595,8454,8452,2,131072,10149,,,,,,,,,,,,,,,,,,,
8727,8592,8590,2,131072,10149,,,,,,,,,,,,,,,,,,,
8726,8592,8590,2,16384,10721,11454,12035,12609,13336,13916,14645,,,,,,,,,,,,,
9596,8592,8590,2,131072,10144,,,,,,,,,,,,,,,,,,,
9597,8592,8590,2,16384,10719,11448,12029,12604,13333,13914,14643,,,,,,,,,,,,,
8865,8730,8728,2,131072,10147,,,,,,,,,,,,,,,,,,,
8864,8730,8728,2,16384,10724,11450,12031,12606,13339,13919,14648,,,,,,,,,,,,,
9598,8730,8728,2,131072,10147,,,,,,,,,,,,,,,,,,,
9599,8730,8728,2,16384,10724,11450,12031,12606,13339,13919,14648,,,,,,,,,,,,,
9003,8868,8866,2,131072,10147,,,,,,,,,,,,,,,,,,,
9002,8868,8866,2,16384,10724,11450,12031,12606,13339,13919,14648,,,,,,,,,,,,,
9600,8868,8866,2,16384,10723,11449,12030,12605,13337,13918,14647,,,,,,,,,,,,,
9601,8868,8866,2,131072,10145,,,,,,,,,,,,,,,,,,,
9141,9006,9004,2,131072,10146,,,,,,,,,,,,,,,,,,,
9140,9006,9004,2,16384,10725,11451,12032,12607,13338,13920,14649,,,,,,,,,,,,,
9602,9006,9004,2,131072,10146,,,,,,,,,,,,,,,,,,,
9603,9006,9004,2,16384,10725,11451,12032,12607,13338,13920,14649,,,,,,,,,,,,,
9279,9144,9142,2,131072,10146,,,,,,,,,,,,,,,,,,,
9278,9144,9142,2,16384,10725,11451,12032,12607,13338,13920,14649,,,,,,,,,,,,,
4659,9604,10144,2,16384,4569,,,,,,,,,,,,,,,,,,,
10158,9605,10145,2,131072,10144,,,,,,,,,,,,,,,,,,,
10162,9606,10146,2,131072,10145,,,,,,,,,,,,,,,,,,,
10166,9607,10147,2,131072,10145,,,,,,,,,,,,,,,,,,,
10170,9608,10148,2,131072,10144,,,,,,,,,,,,,,,,,,,
10174,9609,10149,2,131072,10148,,,,,,,,,,,,,,,,,,,
10178,9610,10150,2,131072,10148,,,,,,,,,,,,,,,,,,,
4662,10179,10719,2,16384,4570,,,,,,,,,,,,,,,,,,,
10733,10180,10720,2,131072,10719,,,,,,,,,,,,,,,,,,,
10737,10181,10721,2,131072,10720,,,,,,,,,,,,,,,,,,,
10741,10182,10722,2,131072,10720,,,,,,,,,,,,,,,,,,,
10745,10183,10723,2,131072,10719,,,,,,,,,,,,,,,,,,,
10749,10184,10724,2,131072,10723,,,,,,,,,,,,,,,,,,,
10753,10185,10725,2,131072,10723,,,,,,,,,,,,,,,,,,,
4665,10754,11446,2,16384,4571,,,,,,,,,,,,,,,,,,,
11459,10755,11447,2,131072,11446,,,,,,,,,,,,,,,,,,,
11463,10756,11448,2,131072,11447,,,,,,,,,,,,,,,,,,,
11467,10757,11449,2,131072,11448,,,,,,,,,,,,,,,,,,,
11471,10758,11450,2,131072,11449,,,,,,,,,,,,,,,,,,,
11475,10759,11451,2,131072,11449,,,,,,,,,,,,,,,,,,,
11479,10760,11452,2,131072,11448,,,,,,,,,,,,,,,,,,,
11483,10761,11453,2,131072,11452,,,,,,,,,,,,,,,,,,,
11487,10762,11454,2,131072,11452,,,,,,,,,,,,,,,,,,,
11488,10762,11454,2,131072,11446,,,,,,,,,,,,,,,,,,,
4668,11489,12029,2,16384,4572,,,,,,,,,,,,,,,,,,,
12043,11490,12030,2,131072,12029,,,,,,,,,,,,,,,,,,,
12047,11491,12031,2,131072,12030,,,,,,,,,,,,,,,,,,,
12051,11492,12032,2,131072,12030,,,,,,,,,,,,,,,,,,,
12055,11493,12033,2,131072,12029,,,,,,,,,,,,,,,,,,,
12059,11494,12034,2,131072,12033,,,,,,,,,,,,,,,,,,,
12063,11495,12035,2,131072,12033,,,,,,,,,,,,,,,,,,,
4671,12064,12604,2,16384,4573,,,,,,,,,,,,,,,,,,,
12618,12065,12605,2,131072,12604,,,,,,,,,,,,,,,,,,,
12622,12066,12606,2,131072,12605,,,,,,,,,,,,,,,,,,,
12626,12067,12607,2,131072,12605,,,,,,,,,,,,,,,,,,,
12630,12068,12608,2,131072,12604,,,,,,,,,,,,,,,,,,,
12634,12069,12609,2,131072,12608,,,,,,,,,,,,,,,,,,,
12638,12070,12610,2,131072,12608,,,,,,,,,,,,,,,,,,,
4674,12639,13331,2,16384,4574,,,,,,,,,,,,,,,,,,,
13344,12640,13332,2,131072,13331,,,,,,,,,,,,,,,,,,,
13348,12641,13333,2,131072,13332,,,,,,,,,,,,,,,,,,,
13352,12642,13334,2,131072,13333,,,,,,,,,,,,,,,,,,,
13356,12643,13335,2,131072,13334,,,,,,,,,,,,,,,,,,,
13360,12644,13336,2,131072,13334,,,,,,,,,,,,,,,,,,,
13364,12645,13337,2,131072,13333,,,,,,,,,,,,,,,,,,,
13368,12646,13338,2,131072,13337,,,,,,,,,,,,,,,,,,,
13372,12647,13339,2,131072,13331,,,,,,,,,,,,,,,,,,,
13373,12647,13339,2,131072,13337,,,,,,,,,,,,,,,,,,,
4677,13374,13914,2,16384,4575,,,,,,,,,,,,,,,,,,,
13928,13375,13915,2,131072,13914,,,,,,,,,,,,,,,,,,,
13932,13376,13916,2,131072,13915,,,,,,,,,,,,,,,,,,,
13936,13377,13917,2,131072,13915,,,,,,,,,,,,,,,,,,,
13940,13378,13918,2,131072,13914,,,,,,,,,,,,,,,,,,,
13944,13379,13919,2,131072,13918,,,,,,,,,,,,,,,,,,,
13948,13380,13920,2,131072,13918,,,,,,,,,,,,,,,,,,,
4680,13949,14641,2,16384,4576,,,,,,,,,,,,,,,,,,,
14654,13950,14642,2,131072,14641,,,,,,,,,,,,,,,,,,,
14658,13951,14643,2,131072,14642,,,,,,,,,,,,,,,,,,,
14662,13952,14644,2,131072,14643,,,,,,,,,,,,,,,,,,,
14666,13953,14645,2,131072,14644,,,,,,,,,,,,,,,,,,,
14670,13954,14646,2,131072,14644,,,,,,,,,,,,,,,,,,,
14674,13955,14647,2,131072,14643,,,,,,,,,,,,,,,,,,,
14678,13956,14648,2,131072,14647,,,,,,,,,,,,,,,,,,,
14682,13957,14649,2,131072,14647,,,,,,,,,,,,,,,,,,,
14683,13957,14649,2,131072,14641,,,,,,,,,,,,,,,,,,,
4750,14684,15577,1,16384,715,,,,,,,,,,,,,,,,,,,
4751,14684,15577,1,16384,715,,,,,,,,,,,,,,,,,,,
15602,14685,15578,1,16384,15577,,,,,,,,,,,,,,,,,,,
15606,14686,15579,1,16384,15578,,,,,,,,,,,,,,,,,,,
15610,14687,15580,1,16384,15578,,,,,,,,,,,,,,,,,,,
15614,14688,15581,1,16384,15577,,,,,,,,,,,,,,,,,,,
15618,14689,15582,1,16384,15581,,,,,,,,,,,,,,,,,,,
15622,14690,15583,1,16384,15581,,,,,,,,,,,,,,,,,,,
4749,14691,15584,1,16384,715,,,,,,,,,,,,,,,,,,,
15627,14692,15585,1,16384,15584,,,,,,,,,,,,,,,,,,,
15631,14693,15586,1,16384,15585,,,,,,,,,,,,,,,,,,,
15635,14694,15587,1,16384,15586,,,,,,,,,,,,,,,,,,,
15639,14695,15588,1,16384,15586,,,,,,,,,,,,,,,,,,,
15642,14696,15589,1,16384,15577,,,,,,,,,,,,,,,,,,,
15643,14696,15589,1,16384,15577,15585,,,,,,,,,,,,,,,,,,
15648,14697,15590,1,16384,15581,15586,,,,,,,,,,,,,,,,,,
15649,14697,15590,1,16384,15582,15588,,,,,,,,,,,,,,,,,,
15650,14697,15590,1,16384,15589,,,,,,,,,,,,,,,,,,,
15651,14697,15590,1,16384,15583,15587,,,,,,,,,,,,,,,,,,
15655,14698,15591,1,16384,15585,,,,,,,,,,,,,,,,,,,
15659,14699,15592,1,16384,15591,,,,,,,,,,,,,,,,,,,
15663,14700,15593,1,16384,15591,,,,,,,,,,,,,,,,,,,
15668,14701,15594,1,16384,15578,15591,,,,,,,,,,,,,,,,,,
15669,14701,15594,1,16384,15589,,,,,,,,,,,,,,,,,,,
15670,14701,15594,1,16384,15579,15592,,,,,,,,,,,,,,,,,,
