link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5]
2484,507,3,1,1,2469,2472,,,,
2485,507,3,1,1,2465,2466,2467,2470,2473,2480
2486,507,3,1,1,2464,,,,,
2487,507,3,1,1,2479,,,,,
2491,512,511,2,4096,2478,,,,,
2495,525,524,2,8192,6275,6276,,,,
2503,565,564,2,524288,2474,,,,,
2507,578,577,2,524288,2476,,,,,
2511,597,596,2,524288,2474,,,,,
2515,610,609,2,524288,2476,,,,,
2523,482,2463,2,8192,564,577,,,,
2525,483,2464,1,1024,2463,,,,,
2526,483,2464,1,1024,2463,,,,,
2528,484,2465,2,8192,564,577,,,,
2529,484,2465,2,8192,564,577,,,,
2531,487,2466,1,512,2469,,,,,
2533,488,2467,1,512,2472,,,,,
2536,490,2468,2,4096,596,,,,,
2539,491,2469,1,512,2468,,,,,
2540,491,2469,1,512,2468,,,,,
2542,492,2470,2,4096,596,,,,,
2543,492,2470,2,4096,596,,,,,
2546,493,2471,2,4096,609,,,,,
2549,494,2472,1,512,2471,,,,,
2550,494,2472,1,512,2471,,,,,
2552,495,2473,2,4096,609,,,,,
2553,495,2473,2,4096,609,,,,,
2556,499,2474,2,65536,2475,,,,,
2558,500,2475,1,65536,6402,,,,,
2559,500,2475,1,65536,6403,,,,,
2560,500,2475,1,65536,6403,,,,,
2563,501,2476,2,65536,2477,,,,,
2565,502,2477,1,65536,6403,,,,,
2566,502,2477,1,65536,6402,,,,,
2567,502,2477,1,65536,6403,,,,,
2572,503,2478,1,512,2481,,,,,
2574,504,2479,1,512,2478,,,,,
2575,504,2479,1,512,2478,,,,,
2577,505,2480,2,4096,2478,,,,,
2579,506,2481,1,1,3,,,,,
6049,5931,5929,2,8192,6275,,,,,
6179,5931,5929,2,8192,6275,,,,,
6170,6052,6050,2,8192,6275,,,,,
2518,6180,6275,2,8192,511,524,,,,
2519,6181,6276,2,8192,511,524,,,,
2520,6181,6276,2,8192,511,524,,,,
2586,6282,6402,1,65536,5929,6050,,,,
2588,6282,6402,1,65536,5929,6050,,,,
2587,6283,6403,1,65536,5929,6050,,,,
6412,6283,6403,1,65536,6402,,,,,
6413,6283,6403,1,65536,6402,,,,,
