link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9]
2628,462,3,1,1,2615,,,,,,,,,
2629,462,3,1,1,2602,,,,,,,,,
2630,462,3,1,1,2606,,,,,,,,,
2631,462,3,1,1,2603,2604,2607,2616,2620,2621,2622,2624,2625,2626
2635,467,466,2,4096,2614,,,,,,,,,
2639,480,479,2,8192,2600,,,,,,,,,
2643,490,489,2,8192,2600,,,,,,,,,
2656,589,578,2,352256,6947,,,,,,,,,
2657,589,578,2,44032,7236,7524,,,,,,,,
2660,440,2600,2,8192,466,479,,,,,,,,
2661,440,2600,2,8192,466,479,,,,,,,,
2662,440,2600,2,8192,466,479,,,,,,,,
2665,441,2601,2,8192,6103,6231,6359,6487,,,,,,
2667,442,2602,1,1024,2601,,,,,,,,,
2668,442,2602,1,1024,2601,,,,,,,,,
2670,443,2603,2,8192,6103,6231,6359,6487,,,,,,
2671,443,2603,2,8192,6103,6231,6359,6487,,,,,,
2673,445,2604,1,1024,2606,,,,,,,,,
2676,446,2605,2,8192,578,,,,,,,,,
2679,447,2606,1,1024,2605,,,,,,,,,
2680,447,2606,1,1024,2605,,,,,,,,,
2682,448,2607,2,8192,578,,,,,,,,,
2683,448,2607,2,8192,578,,,,,,,,,
2694,455,2611,1,44032,7908,,,,,,,,,
2695,455,2611,1,44032,7910,,,,,,,,,
2696,455,2611,1,44032,7911,,,,,,,,,
2698,456,2612,1,44032,7910,,,,,,,,,
2699,456,2612,1,44032,7908,,,,,,,,,
2700,456,2612,1,44032,7911,,,,,,,,,
2702,457,2613,1,44032,7911,,,,,,,,,
2703,457,2613,1,44032,7907,,,,,,,,,
2704,457,2613,1,44032,7909,,,,,,,,,
2709,458,2614,1,512,2617,,,,,,,,,
2711,459,2615,1,512,2614,,,,,,,,,
2712,459,2615,1,512,2614,,,,,,,,,
2714,460,2616,2,4096,2614,,,,,,,,,
2716,461,2617,1,1,3,,,,,,,,,
2738,530,2620,2,352256,8140,,,,,,,,,
2739,530,2620,2,352256,8140,,,,,,,,,
2741,533,2621,2,352256,8140,,,,,,,,,
2742,533,2621,2,352256,8140,,,,,,,,,
2744,536,2622,2,352256,8139,,,,,,,,,
2745,536,2622,2,352256,8138,,,,,,,,,
2755,580,2624,2,352256,8360,,,,,,,,,
2756,580,2624,2,352256,8360,,,,,,,,,
2758,583,2625,2,352256,8360,,,,,,,,,
2759,583,2625,2,352256,8360,,,,,,,,,
2761,586,2626,2,352256,8359,,,,,,,,,
2762,586,2626,2,352256,8358,,,,,,,,,
6230,6105,6103,2,44032,7239,7525,,,,,,,,
6229,6105,6103,2,352256,6950,,,,,,,,,
6672,6105,6103,2,352256,6950,,,,,,,,,
6673,6105,6103,2,44032,7239,7525,,,,,,,,
6358,6233,6231,2,44032,7239,7525,,,,,,,,
6357,6233,6231,2,352256,6950,,,,,,,,,
6674,6233,6231,2,352256,6948,,,,,,,,,
6675,6233,6231,2,44032,7237,7524,,,,,,,,
6486,6361,6359,2,44032,7238,7526,,,,,,,,
6485,6361,6359,2,352256,6949,,,,,,,,,
6676,6361,6359,2,352256,6949,,,,,,,,,
6677,6361,6359,2,44032,7238,7526,,,,,,,,
6614,6489,6487,2,44032,7238,7526,,,,,,,,
6613,6489,6487,2,352256,6949,,,,,,,,,
2686,6678,6947,2,44032,2611,,,,,,,,,
6957,6679,6948,2,352256,6947,,,,,,,,,
6961,6680,6949,2,352256,6948,,,,,,,,,
6965,6681,6950,2,352256,6948,,,,,,,,,
6966,6681,6950,2,352256,6947,,,,,,,,,
2689,6967,7236,2,44032,2612,,,,,,,,,
7246,6968,7237,2,352256,7236,,,,,,,,,
7250,6969,7238,2,352256,7237,,,,,,,,,
7254,6970,7239,2,352256,7237,,,,,,,,,
7255,6970,7239,2,352256,7236,,,,,,,,,
2692,7256,7523,2,44032,2613,,,,,,,,,
7532,7257,7524,2,352256,7523,,,,,,,,,
7536,7258,7525,2,352256,7524,,,,,,,,,
7540,7259,7526,2,352256,7524,,,,,,,,,
2727,7541,7906,1,44032,489,,,,,,,,,
2728,7541,7906,1,44032,489,,,,,,,,,
7917,7542,7907,1,44032,7906,,,,,,,,,
7921,7543,7908,1,44032,7907,,,,,,,,,
2726,7544,7909,1,44032,489,,,,,,,,,
7928,7545,7910,1,44032,7909,,,,,,,,,
7932,7546,7911,1,44032,7908,7910,,,,,,,,
7933,7546,7911,1,44032,7907,7909,,,,,,,,
7934,7546,7911,1,44032,7906,,,,,,,,,
2735,7935,8138,2,352256,6103,6231,6359,6487,,,,,,
2736,7935,8138,2,352256,6103,6231,6359,6487,,,,,,
8147,7936,8139,2,352256,8138,,,,,,,,,
8148,7936,8139,2,352256,8138,,,,,,,,,
8153,7937,8140,2,352256,8139,,,,,,,,,
8154,7937,8140,2,352256,8138,,,,,,,,,
2752,8155,8358,2,352256,578,,,,,,,,,
2753,8155,8358,2,352256,578,,,,,,,,,
8367,8156,8359,2,352256,8358,,,,,,,,,
8368,8156,8359,2,352256,8358,,,,,,,,,
8373,8157,8360,2,352256,8359,,,,,,,,,
8374,8157,8360,2,352256,8358,,,,,,,,,
