link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
5310,871,3,1,1,5262,5287,5290,5291,5292,5293,5294,5295,5296,5297,5299,5300,5301,5302,5303,5304,5305,5306,11112
5311,871,3,1,1,5257,5261,,,,,,,,,,,,,,,,,
5312,871,3,1,1,5286,,,,,,,,,,,,,,,,,,
5319,876,875,2,256,5285,,,,,,,,,,,,,,,,,,
5333,1020,1019,2,512,17591,17592,,,,,,,,,,,,,,,,,
5334,1026,1019,2,4096,5259,,,,,,,,,,,,,,,,,,
5335,1023,1019,1,128,5283,,,,,,,,,,,,,,,,,,
5350,1143,1142,2,4194304,5263,,,,,,,,,,,,,,,,,,
5354,1156,1155,2,4096,5259,,,,,,,,,,,,,,,,,,
5358,1166,1165,2,65536,5280,,,,,,,,,,,,,,,,,,
5362,1250,1249,2,65536,5281,,,,,,,,,,,,,,,,,,
5366,1354,1353,2,4194304,5263,,,,,,,,,,,,,,,,,,
5369,831,5256,2,256,875,8986,9137,9288,9439,9590,9741,9892,10043,,,,,,,,,,
5371,832,5257,1,64,5256,,,,,,,,,,,,,,,,,,
5372,832,5257,1,64,5256,,,,,,,,,,,,,,,,,,
5380,836,5259,2,4096,1019,,,,,,,,,,,,,,,,,,
5381,836,5259,2,4096,1019,,,,,,,,,,,,,,,,,,
5382,836,5259,2,4096,1019,,,,,,,,,,,,,,,,,,
5385,837,5260,2,65536,10518,10644,10830,10936,,,,,,,,,,,,,,,
5387,838,5261,1,16384,5260,,,,,,,,,,,,,,,,,,
5388,838,5261,1,16384,5260,,,,,,,,,,,,,,,,,,
5390,839,5262,2,65536,10518,10644,10830,10936,,,,,,,,,,,,,,,
5391,839,5262,2,65536,10518,10644,10830,10936,,,,,,,,,,,,,,,
5394,841,5263,2,4194304,1142,1155,,,,,,,,,,,,,,,,,
5395,841,5263,2,4194304,1142,1155,,,,,,,,,,,,,,,,,
5396,841,5263,2,4194304,1142,1155,,,,,,,,,,,,,,,,,
5478,861,5280,2,16384,5281,,,,,,,,,,,,,,,,,,
5481,862,5281,2,16384,5282,,,,,,,,,,,,,,,,,,
5484,863,5282,2,4194304,1353,,,,,,,,,,,,,,,,,,
5485,863,5282,2,4194304,1353,,,,,,,,,,,,,,,,,,
5486,863,5282,2,4194304,1353,,,,,,,,,,,,,,,,,,
5488,865,5283,1,128,17591,,,,,,,,,,,,,,,,,,
5500,867,5285,1,64,5288,,,,,,,,,,,,,,,,,,
5502,868,5286,1,64,5285,,,,,,,,,,,,,,,,,,
5503,868,5286,1,64,5285,,,,,,,,,,,,,,,,,,
5505,869,5287,2,256,5285,,,,,,,,,,,,,,,,,,
5507,870,5288,1,1,3,,,,,,,,,,,,,,,,,,
5527,920,5290,2,524288,18139,,,,,,,,,,,,,,,,,,
5528,920,5290,2,524288,18136,,,,,,,,,,,,,,,,,,
5530,923,5291,2,524288,18139,,,,,,,,,,,,,,,,,,
5531,923,5291,2,524288,18136,,,,,,,,,,,,,,,,,,
5533,926,5292,2,524288,18137,,,,,,,,,,,,,,,,,,
5534,926,5292,2,524288,18139,,,,,,,,,,,,,,,,,,
5536,929,5293,2,524288,18137,,,,,,,,,,,,,,,,,,
5537,929,5293,2,524288,18139,,,,,,,,,,,,,,,,,,
5539,932,5294,2,524288,18143,,,,,,,,,,,,,,,,,,
5540,932,5294,2,524288,18141,,,,,,,,,,,,,,,,,,
5542,935,5295,2,524288,18141,,,,,,,,,,,,,,,,,,
5543,935,5295,2,524288,18143,,,,,,,,,,,,,,,,,,
5545,938,5296,2,524288,18143,,,,,,,,,,,,,,,,,,
5546,938,5296,2,524288,20787,,,,,,,,,,,,,,,,,,
5548,941,5297,2,524288,18143,,,,,,,,,,,,,,,,,,
5549,941,5297,2,524288,20787,,,,,,,,,,,,,,,,,,
5569,1046,5299,2,524288,18811,,,,,,,,,,,,,,,,,,
5570,1046,5299,2,524288,18807,,,,,,,,,,,,,,,,,,
5572,1049,5300,2,524288,18811,,,,,,,,,,,,,,,,,,
