link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
4983,843,3,1,1,4938,4942,,,,,,,,,,,
4984,843,3,1,1,4963,4966,4967,4968,4969,4971,4972,4973,4974,4976,4977,9505,9610
4985,843,3,1,1,4962,,,,,,,,,,,,
4992,848,847,2,256,4961,,,,,,,,,,,,
5007,956,952,1,128,4959,,,,,,,,,,,,
5008,953,952,2,512,11272,11273,,,,,,,,,,,
5009,959,952,2,4096,4940,,,,,,,,,,,,
5028,1082,1081,2,2097152,9837,9840,,,,,,,,,,,
5032,1095,1094,2,4096,4940,,,,,,,,,,,,
5036,1105,1104,2,32768,4953,,,,,,,,,,,,
5040,1135,1134,2,32768,4955,,,,,,,,,,,,
5044,1165,1164,2,32768,4954,,,,,,,,,,,,
5048,1195,1194,2,32768,4956,,,,,,,,,,,,
5052,1241,1240,2,2097152,9837,9839,,,,,,,,,,,
5056,1254,1253,2,2097152,9839,,,,,,,,,,,,
5059,801,4937,2,256,847,8602,8748,,,,,,,,,,
5061,802,4938,1,64,4937,,,,,,,,,,,,
5062,802,4938,1,64,4937,,,,,,,,,,,,
5070,806,4940,2,4096,952,,,,,,,,,,,,
5071,806,4940,2,4096,952,,,,,,,,,,,,
5072,806,4940,2,4096,952,,,,,,,,,,,,
5075,807,4941,2,65536,8928,9049,9204,9315,,,,,,,,,
5077,808,4942,1,16384,4941,,,,,,,,,,,,
5078,808,4942,1,16384,4941,,,,,,,,,,,,
5130,827,4953,2,8192,4955,,,,,,,,,,,,
5132,828,4954,2,8192,4956,,,,,,,,,,,,
5135,830,4955,2,8192,4957,,,,,,,,,,,,
5138,831,4956,2,8192,4958,,,,,,,,,,,,
5141,833,4957,2,2097152,1240,,,,,,,,,,,,
5142,833,4957,2,2097152,1240,,,,,,,,,,,,
5143,833,4957,2,2097152,1240,,,,,,,,,,,,
5146,834,4958,2,2097152,1253,,,,,,,,,,,,
5147,834,4958,2,2097152,1253,,,,,,,,,,,,
5148,834,4958,2,2097152,1253,,,,,,,,,,,,
5150,837,4959,1,128,11272,,,,,,,,,,,,
5162,839,4961,1,64,4964,,,,,,,,,,,,
5164,840,4962,1,64,4961,,,,,,,,,,,,
5165,840,4962,1,64,4961,,,,,,,,,,,,
5167,841,4963,2,256,4961,,,,,,,,,,,,
5169,842,4964,1,1,3,,,,,,,,,,,,
5181,884,4966,2,1048576,11547,,,,,,,,,,,,
5182,884,4966,2,1048576,11548,,,,,,,,,,,,
5184,887,4967,2,1048576,11548,,,,,,,,,,,,
5185,887,4967,2,1048576,11547,,,,,,,,,,,,
5187,890,4968,2,1048576,11549,,,,,,,,,,,,
5188,890,4968,2,1048576,11549,,,,,,,,,,,,
5190,893,4969,2,1048576,11549,,,,,,,,,,,,
5191,893,4969,2,1048576,11549,,,,,,,,,,,,
5203,989,4971,2,1048576,11770,,,,,,,,,,,,
5204,989,4971,2,1048576,11770,,,,,,,,,,,,
5206,992,4972,2,1048576,11770,,,,,,,,,,,,
5207,992,4972,2,1048576,11770,,,,,,,,,,,,
5209,995,4973,2,1048576,11769,,,,,,,,,,,,
5210,995,4973,2,1048576,11769,,,,,,,,,,,,
5212,998,4974,2,1048576,11769,,,,,,,,,,,,
5213,998,4974,2,1048576,11769,,,,,,,,,,,,
5218,1044,4975,2,2097152,9204,9315,,,,,,,,,,,
5219,1044,4975,2,2097152,9204,9315,,,,,,,,,,,
5221,1045,4976,2,2097152,4975,,,,,,,,,,,,
5222,1045,4976,2,2097152,4975,,,,,,,,,,,,
5224,1048,4977,2,2097152,4975,,,,,,,,,,,,
5225,1048,4977,2,2097152,4975,,,,,,,,,,,,
8747,8604,8602,2,1048576,10056,,,,,,,,,,,,
8746,8604,8602,2,262144,10263,,,,,,,,,,,,
8745,8604,8602,2,8192,10723,10930,,,,,,,,,,,
8925,8604,8602,2,1048576,10056,,,,,,,,,,,,
8926,8604,8602,2,262144,10263,,,,,,,,,,,,
8927,8604,8602,2,8192,10723,10930,,,,,,,,,,,
8893,8750,8748,2,1048576,10056,,,,,,,,,,,,
8892,8750,8748,2,262144,10263,,,,,,,,,,,,
8891,8750,8748,2,8192,10723,10930,,,,,,,,,,,
9048,8930,8928,2,262144,10264,,,,,,,,,,,,
9047,8930,8928,2,8192,10722,10931,,,,,,,,,,,
9046,8930,8928,2,1048576,10055,,,,,,,,,,,,
9201,8930,8928,2,8192,10722,10931,,,,,,,,,,,
9202,8930,8928,2,1048576,10055,,,,,,,,,,,,
9203,8930,8928,2,262144,10264,,,,,,,,,,,,
