link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
1166,355,3,1,1,361,367,373,379,385,389,393,397,401,405,409,413,417,1154
1168,364,361,2,131072,1155,,,,,,,,,,,,,
1170,370,367,2,131072,1156,,,,,,,,,,,,,
1172,376,373,2,131072,1157,,,,,,,,,,,,,
1174,382,379,2,131072,1158,,,,,,,,,,,,,
1176,386,385,1,1024,4633,,,,,,,,,,,,,
1178,390,389,1,1024,4633,,,,,,,,,,,,,
1180,394,393,1,1024,4634,,,,,,,,,,,,,
1182,398,397,1,1024,4634,,,,,,,,,,,,,
1184,402,401,2,131072,1155,,,,,,,,,,,,,
1186,406,405,2,131072,1156,,,,,,,,,,,,,
1188,410,409,2,131072,1157,,,,,,,,,,,,,
1190,414,413,2,131072,1158,,,,,,,,,,,,,
1192,418,417,2,1024,4782,,,,,,,,,,,,,
1196,422,421,1,1,1163,,,,,,,,,,,,,
1200,435,434,1,1,1163,,,,,,,,,,,,,
1202,447,446,2,1024,4782,,,,,,,,,,,,,
1204,451,450,2,1024,4782,,,,,,,,,,,,,
1206,455,454,2,1024,1162,,,,,,,,,,,,,
1208,337,1154,1,1024,421,434,,,,,,,,,,,,
1211,339,1155,2,1024,4633,,,,,,,,,,,,,
1214,342,1156,2,1024,4633,,,,,,,,,,,,,
1217,345,1157,2,1024,4634,,,,,,,,,,,,,
1220,348,1158,2,1024,4634,,,,,,,,,,,,,
1247,353,1162,2,1024,434,,,,,,,,,,,,,
1248,353,1162,2,1024,434,,,,,,,,,,,,,
1251,354,1163,1,1,3,,,,,,,,,,,,,
1252,354,1163,1,1,3,,,,,,,,,,,,,
1230,4593,4633,1,1024,4706,,,,,,,,,,,,,
1232,4593,4633,1,1024,4706,,,,,,,,,,,,,
1229,4594,4634,1,1024,4706,,,,,,,,,,,,,
1231,4594,4634,1,1024,4706,,,,,,,,,,,,,
1237,4643,4705,2,1024,446,450,,,,,,,,,,,,
4712,4644,4706,2,1024,4705,,,,,,,,,,,,,
1241,4713,4780,2,1024,421,,,,,,,,,,,,,
1242,4713,4780,2,1024,1162,,,,,,,,,,,,,
1244,4713,4780,2,1024,421,,,,,,,,,,,,,
1243,4713,4780,2,1024,454,,,,,,,,,,,,,
4787,4714,4781,2,1024,4780,,,,,,,,,,,,,
4791,4715,4782,2,1024,4780,4781,,,,,,,,,,,,
4792,4715,4782,2,1024,4780,,,,,,,,,,,,,
