link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9]
1402,409,3,1,1,1393,1396,1397,1398,1399,1400,,,,
1403,409,3,1,1,1392,,,,,,,,,
1406,430,413,2,65536,456,460,464,468,472,476,5251,5260,5261,5262
1408,457,456,2,65536,5246,,,,,,,,,
1410,461,460,2,65536,5241,,,,,,,,,
1412,465,464,2,65536,5235,,,,,,,,,
1414,469,468,2,65536,5238,,,,,,,,,
1416,473,472,2,65536,5245,,,,,,,,,
1418,477,476,2,65536,5237,,,,,,,,,
1422,481,480,2,65536,1391,,,,,,,,,
1437,405,1391,1,32,1394,,,,,,,,,
1439,406,1392,1,32,1391,,,,,,,,,
1440,406,1392,1,32,1391,,,,,,,,,
1442,407,1393,2,65536,1391,,,,,,,,,
1444,408,1394,1,1,3,,,,,,,,,
1458,415,1396,2,65536,5562,,,,,,,,,
1459,415,1396,2,65536,5560,,,,,,,,,
1461,418,1397,2,65536,5560,,,,,,,,,
1462,418,1397,2,65536,5562,,,,,,,,,
1464,421,1398,2,65536,5562,,,,,,,,,
1465,421,1398,2,65536,5559,,,,,,,,,
1467,424,1399,2,65536,5559,,,,,,,,,
1468,424,1399,2,65536,5562,,,,,,,,,
1470,427,1400,2,65536,5561,,,,,,,,,
1471,427,1400,2,65536,5557,,,,,,,,,
1432,4812,5235,2,65536,480,,,,,,,,,
5269,4813,5236,2,65536,5235,,,,,,,,,
5273,4814,5237,2,65536,5235,,,,,,,,,
5276,4815,5238,2,65536,5237,,,,,,,,,
5281,4816,5239,2,65536,5238,,,,,,,,,
5282,4816,5239,2,65536,5237,,,,,,,,,
5286,4817,5240,2,65536,5236,5239,,,,,,,,
5290,4818,5241,2,65536,5235,,,,,,,,,
5293,4819,5242,2,65536,5241,,,,,,,,,
5298,4820,5243,2,65536,5240,,,,,,,,,
5299,4820,5243,2,65536,5240,,,,,,,,,
5300,4820,5243,2,65536,5236,5242,,,,,,,,
5304,4821,5244,2,65536,5240,5243,,,,,,,,
5308,4822,5245,2,65536,5241,,,,,,,,,
5311,4823,5246,2,65536,5245,,,,,,,,,
5316,4824,5247,2,65536,5246,,,,,,,,,
5317,4824,5247,2,65536,5245,,,,,,,,,
5318,4824,5247,2,65536,5242,,,,,,,,,
5322,4825,5248,2,65536,5247,,,,,,,,,
5323,4825,5248,2,65536,5247,,,,,,,,,
5324,4825,5248,2,65536,5243,,,,,,,,,
5325,4825,5248,2,65536,5247,,,,,,,,,
5329,4826,5249,2,65536,5243,5248,,,,,,,,
5332,4827,5250,2,65536,5243,5248,,,,,,,,
5333,4827,5250,2,65536,5239,,,,,,,,,
5338,4828,5251,2,65536,5239,5250,,,,,,,,
5339,4828,5251,2,65536,5239,5250,,,,,,,,
5342,4829,5252,2,65536,5247,5248,,,,,,,,
5343,4829,5252,2,65536,5244,,,,,,,,,
5346,4830,5253,2,65536,5244,5252,,,,,,,,
5347,4830,5253,2,65536,5251,,,,,,,,,
5351,4831,5254,2,65536,5251,5253,,,,,,,,
5355,4832,5255,2,65536,5251,5253,,,,,,,,
5359,4833,5256,2,65536,5244,5252,,,,,,,,
5360,4833,5256,2,65536,5249,,,,,,,,,
5361,4833,5256,2,65536,5254,,,,,,,,,
5362,4833,5256,2,65536,5249,,,,,,,,,
5366,4834,5257,2,65536,5254,5256,,,,,,,,
5370,4835,5258,2,65536,5254,5256,,,,,,,,
5373,4836,5259,2,65536,5255,,,,,,,,,
5374,4836,5259,2,65536,5249,5256,,,,,,,,
5376,4837,5260,2,65536,5258,,,,,,,,,
5377,4837,5260,2,65536,5258,,,,,,,,,
5378,4837,5260,2,65536,5258,,,,,,,,,
5379,4837,5260,2,65536,5255,5259,,,,,,,,
5381,4838,5261,2,65536,5257,,,,,,,,,
5382,4838,5261,2,65536,5255,5259,,,,,,,,
5383,4838,5261,2,65536,5257,,,,,,,,,
5384,4838,5261,2,65536,5257,,,,,,,,,
1430,4839,5262,2,65536,480,,,,,,,,,
1431,4839,5262,2,65536,480,,,,,,,,,
1456,5386,5556,2,65536,413,,,,,,,,,
1455,5386,5556,2,65536,413,,,,,,,,,
5568,5387,5557,2,65536,5556,,,,,,,,,
5572,5388,5558,2,65536,5557,,,,,,,,,
5576,5389,5559,2,65536,5558,,,,,,,,,
5580,5390,5560,2,65536,5558,,,,,,,,,
5583,5391,5561,2,65536,5556,,,,,,,,,
5584,5391,5561,2,65536,5557,,,,,,,,,
5589,5392,5562,2,65536,5561,,,,,,,,,
5590,5392,5562,2,65536,5560,,,,,,,,,
5591,5392,5562,2,65536,5558,,,,,,,,,
5592,5392,5562,2,65536,5559,,,,,,,,,
