link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
4283,1227,3,1,1,4251,,,,,,,,,,,,
4284,1227,3,1,1,7951,7952,,,,,,,,,,,
4285,1227,3,1,1,4238,,,,,,,,,,,,
4286,1227,3,1,1,4261,,,,,,,,,,,,
4287,1227,3,1,1,4279,,,,,,,,,,,,
4288,1227,3,1,1,4274,,,,,,,,,,,,
4289,1227,3,1,1,4245,,,,,,,,,,,,
4290,1227,3,1,1,4239,4240,4242,4243,4246,4248,4249,4252,4255,4262,4270,4275,4280
4291,1227,3,1,1,4241,,,,,,,,,,,,
4292,1227,3,1,1,4247,,,,,,,,,,,,
4293,1227,3,1,1,4254,,,,,,,,,,,,
4297,1232,1231,2,23040,4258,,,,,,,,,,,,
4301,1254,1253,1,4096,4266,,,,,,,,,,,,
4305,1276,1275,1,2560,4272,,,,,,,,,,,,
4309,1298,1297,1,40,4277,,,,,,,,,,,,
4313,1320,1319,2,230400,4256,,,,,,,,,,,,
4317,1342,1341,2,1638400,4264,,,,,,,,,,,,
4321,1355,1354,2,230400,4256,,,,,,,,,,,,
4325,1377,1376,2,23040,4258,,,,,,,,,,,,
4329,1394,1393,2,512000,8079,,,,,,,,,,,,
4333,1407,1406,2,1638400,4264,,,,,,,,,,,,
4337,1429,1428,1,327680,4263,,,,,,,,,,,,
4341,1442,1441,1,4096,4266,,,,,,,,,,,,
4345,1453,1452,1,327680,4263,,,,,,,,,,,,
4349,1470,1469,1,1600,4276,,,,,,,,,,,,
4353,1483,1482,2,512000,8079,,,,,,,,,,,,
4357,1507,1506,2,8,4278,,,,,,,,,,,,
4361,1520,1519,1,1600,4276,,,,,,,,,,,,
4364,1171,4238,2,2,1231,,,,,,,,,,,,
4366,1172,4239,1,1,4238,,,,,,,,,,,,
4368,1173,4240,2,2,1231,,,,,,,,,,,,
4369,1173,4240,2,2,1231,,,,,,,,,,,,
4372,1174,4241,2,4,1253,,,,,,,,,,,,
4374,1175,4242,1,1,4241,,,,,,,,,,,,
4376,1176,4243,2,4,1253,,,,,,,,,,,,
4377,1176,4243,2,4,1253,,,,,,,,,,,,
4380,1177,4244,2,40,1275,,,,,,,,,,,,
4382,1178,4245,1,5,4244,,,,,,,,,,,,
4383,1178,4245,1,5,4244,,,,,,,,,,,,
4385,1179,4246,2,40,1275,,,,,,,,,,,,
4386,1179,4246,2,40,1275,,,,,,,,,,,,
4389,1180,4247,2,2,1297,,,,,,,,,,,,
4391,1181,4248,1,1,4247,,,,,,,,,,,,
4393,1182,4249,2,2,1297,,,,,,,,,,,,
4394,1182,4249,2,2,1297,,,,,,,,,,,,
4397,1184,4250,2,224,1319,,,,,,,,,,,,
4399,1185,4251,1,112,4250,,,,,,,,,,,,
4400,1185,4251,1,112,4250,,,,,,,,,,,,
4402,1186,4252,2,224,1319,,,,,,,,,,,,
4403,1186,4252,2,224,1319,,,,,,,,,,,,
4406,1187,4253,2,400,1354,,,,,,,,,,,,
4408,1188,4254,1,400,4253,,,,,,,,,,,,
4409,1188,4254,1,400,4253,,,,,,,,,,,,
4411,1189,4255,2,400,1354,,,,,,,,,,,,
4412,1189,4255,2,400,1354,,,,,,,,,,,,
4415,1193,4256,2,46080,4257,,,,,,,,,,,,
4417,1194,4257,1,46080,1376,,,,,,,,,,,,
4418,1194,4257,1,46080,1376,,,,,,,,,,,,
4419,1194,4257,1,46080,1376,,,,,,,,,,,,
4422,1196,4258,2,11520,4259,,,,,,,,,,,,
4424,1197,4259,1,11520,1341,,,,,,,,,,,,
4425,1197,4259,1,11520,1341,,,,,,,,,,,,
4426,1197,4259,1,11520,1341,,,,,,,,,,,,
4429,1198,4260,2,1000,1406,,,,,,,,,,,,
4431,1199,4261,1,1000,4260,,,,,,,,,,,,
4432,1199,4261,1,1000,4260,,,,,,,,,,,,
4434,1200,4262,2,1000,1406,,,,,,,,,,,,
4435,1200,4262,2,1000,1406,,,,,,,,,,,,
4438,1203,4263,1,327680,1428,1441,,,,,,,,,,,
4439,1203,4263,1,327680,1428,1441,,,,,,,,,,,
4440,1203,4263,1,327680,1441,,,,,,,,,,,,
4441,1203,4263,1,327680,1428,,,,,,,,,,,,
4444,1205,4264,2,327680,4265,,,,,,,,,,,,
4446,1206,4265,1,327680,1452,,,,,,,,,,,,
4447,1206,4265,1,327680,1452,,,,,,,,,,,,
