link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5]
1734,418,3,1,1,1714,1729,,,,
1735,418,3,1,1,1722,,,,,
1736,418,3,1,1,1715,1716,1720,1723,1730,1731
1737,418,3,1,1,1719,,,,,
1744,426,422,2,32,1728,,,,,
1745,423,422,2,8,1729,,,,,
1746,429,422,2,262144,1725,,,,,
1750,477,473,2,512,1717,,,,,
1751,474,473,2,32,1728,,,,,
1763,517,516,1,32768,1726,,,,,
1767,548,547,2,262144,1724,,,,,
1771,561,560,2,512,1717,,,,,
1775,575,574,2,262144,1724,,,,,
1778,395,1714,2,8,422,,,,,
1780,396,1715,1,1,1714,,,,,
1782,397,1716,2,8,422,,,,,
1783,397,1716,2,8,422,,,,,
1786,400,1717,2,512,473,,,,,
1787,400,1717,2,512,473,,,,,
1788,400,1717,2,512,473,,,,,
1791,402,1718,2,262144,5179,5282,5394,5497,,
1793,403,1719,1,32768,1718,,,,,
1794,403,1719,1,32768,1718,,,,,
1796,404,1720,2,262144,5179,5282,5394,5497,,
1797,404,1720,2,262144,5179,5282,5394,5497,,
1800,405,1721,2,2048,516,,,,,
1802,406,1722,1,64,1721,,,,,
1803,406,1722,1,64,1721,,,,,
1805,407,1723,2,2048,516,,,,,
1806,407,1723,2,2048,516,,,,,
1809,409,1724,2,262144,547,560,,,,
1810,409,1724,2,262144,547,560,,,,
1811,409,1724,2,262144,547,560,,,,
1814,410,1725,2,32768,1726,,,,,
1817,411,1726,1,32768,1727,,,,,
1820,412,1727,2,262144,574,,,,,
1821,412,1727,2,262144,574,,,,,
1822,412,1727,2,262144,574,,,,,
1825,413,1728,2,32,422,,,,,
1826,413,1728,2,32,422,,,,,
1827,413,1728,2,32,422,,,,,
1832,414,1729,1,1,1732,,,,,
1834,415,1730,1,1,1729,,,,,
1836,416,1731,2,8,1729,,,,,
1838,417,1732,1,1,3,,,,,
5281,5181,5179,2,262144,1725,,,,,
5393,5181,5179,2,262144,1725,,,,,
5384,5284,5282,2,262144,1725,,,,,
5496,5396,5394,2,262144,1727,,,,,
5608,5396,5394,2,262144,1727,,,,,
5599,5499,5497,2,262144,1727,,,,,
