link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
3475,617,3,1,1,3434,3435,3439,3442,3455,3456,3459,3460,3461,3463,3464,3465,3467,3468,3469,3471,3472,3473
3476,617,3,1,1,3438,,,,,,,,,,,,,,,,,
3477,617,3,1,1,3441,,,,,,,,,,,,,,,,,
3478,617,3,1,1,3433,3454,,,,,,,,,,,,,,,,
3487,622,621,2,8,3454,,,,,,,,,,,,,,,,,
3488,625,621,2,32,3453,,,,,,,,,,,,,,,,,
3489,638,621,2,10944,8706,8935,,,,,,,,,,,,,,,,
3490,638,621,2,87552,8477,,,,,,,,,,,,,,,,,
3494,701,700,2,32,3453,,,,,,,,,,,,,,,,,
3495,704,700,2,512,3436,,,,,,,,,,,,,,,,,
3515,810,799,1,10944,3448,3449,,,,,,,,,,,,,,,,
3516,810,799,1,10944,3447,,,,,,,,,,,,,,,,,
3520,859,858,2,87552,8243,8246,,,,,,,,,,,,,,,,
3524,872,871,2,512,3436,,,,,,,,,,,,,,,,,
3528,894,893,2,87552,8245,8247,,,,,,,,,,,,,,,,
3532,907,906,2,87552,8247,,,,,,,,,,,,,,,,,
3536,920,919,2,87552,8245,,,,,,,,,,,,,,,,,
3539,585,3433,2,8,621,,,,,,,,,,,,,,,,,
3541,586,3434,1,1,3433,,,,,,,,,,,,,,,,,
3543,587,3435,2,8,621,,,,,,,,,,,,,,,,,
3544,587,3435,2,8,621,,,,,,,,,,,,,,,,,
3547,590,3436,2,512,700,,,,,,,,,,,,,,,,,
3548,590,3436,2,512,700,,,,,,,,,,,,,,,,,
3549,590,3436,2,512,700,,,,,,,,,,,,,,,,,
3552,592,3437,2,262144,7032,7142,7252,7362,7535,7645,7755,7865,,,,,,,,,,
3554,593,3438,1,32768,3437,,,,,,,,,,,,,,,,,
3555,593,3438,1,32768,3437,,,,,,,,,,,,,,,,,
3557,594,3439,2,262144,7032,7142,7252,7362,7535,7645,7755,7865,,,,,,,,,,
3558,594,3439,2,262144,7032,7142,7252,7362,7535,7645,7755,7865,,,,,,,,,,
3561,595,3440,2,2048,799,,,,,,,,,,,,,,,,,
3563,596,3441,1,64,3440,,,,,,,,,,,,,,,,,
3564,596,3441,1,64,3440,,,,,,,,,,,,,,,,,
3566,597,3442,2,2048,799,,,,,,,,,,,,,,,,,
3567,597,3442,2,2048,799,,,,,,,,,,,,,,,,,
3586,605,3447,1,10944,9163,,,,,,,,,,,,,,,,,
3589,606,3448,1,10944,9389,,,,,,,,,,,,,,,,,
3592,607,3449,1,10944,9615,,,,,,,,,,,,,,,,,
3610,612,3453,2,32,621,,,,,,,,,,,,,,,,,
3611,612,3453,2,32,621,,,,,,,,,,,,,,,,,
3612,612,3453,2,32,621,,,,,,,,,,,,,,,,,
3617,613,3454,1,1,3457,,,,,,,,,,,,,,,,,
3619,614,3455,1,1,3454,,,,,,,,,,,,,,,,,
3621,615,3456,2,8,3454,,,,,,,,,,,,,,,,,
3623,616,3457,1,1,3,,,,,,,,,,,,,,,,,
3633,629,3459,2,87552,9793,,,,,,,,,,,,,,,,,
3634,629,3459,2,87552,9793,,,,,,,,,,,,,,,,,
3636,632,3460,2,87552,9793,,,,,,,,,,,,,,,,,
3637,632,3460,2,87552,9793,,,,,,,,,,,,,,,,,
3639,635,3461,2,87552,9792,,,,,,,,,,,,,,,,,
3640,635,3461,2,87552,9791,,,,,,,,,,,,,,,,,
3650,722,3463,2,87552,9968,,,,,,,,,,,,,,,,,
3651,722,3463,2,87552,9968,,,,,,,,,,,,,,,,,
3653,725,3464,2,87552,9968,,,,,,,,,,,,,,,,,
3654,725,3464,2,87552,9968,,,,,,,,,,,,,,,,,
3656,728,3465,2,87552,9967,,,,,,,,,,,,,,,,,
3657,728,3465,2,87552,9966,,,,,,,,,,,,,,,,,
3667,763,3467,2,87552,10143,,,,,,,,,,,,,,,,,
3668,763,3467,2,87552,10143,,,,,,,,,,,,,,,,,
3670,766,3468,2,87552,10143,,,,,,,,,,,,,,,,,
3671,766,3468,2,87552,10143,,,,,,,,,,,,,,,,,
3673,769,3469,2,87552,10141,,,,,,,,,,,,,,,,,
3674,769,3469,2,87552,10142,,,,,,,,,,,,,,,,,
3684,801,3471,1,10944,10300,,,,,,,,,,,,,,,,,
3685,801,3471,1,10944,10300,,,,,,,,,,,,,,,,,
3687,804,3472,1,10944,10300,,,,,,,,,,,,,,,,,
3688,804,3472,1,10944,10300,,,,,,,,,,,,,,,,,
3690,807,3473,1,10944,10298,,,,,,,,,,,,,,,,,
3691,807,3473,1,10944,10299,,,,,,,,,,,,,,,,,
7141,7034,7032,2,10944,8709,8937,,,,,,,,,,,,,,,,
7140,7034,7032,2,87552,8480,,,,,,,,,,,,,,,,,
7529,7034,7032,2,87552,8480,,,,,,,,,,,,,,,,,
7530,7034,7032,2,10944,8709,8937,,,,,,,,,,,,,,,,
7251,7144,7142,2,10944,8709,8937,,,,,,,,,,,,,,,,
7250,7144,7142,2,87552,8480,,,,,,,,,,,,,,,,,
7531,7144,7142,2,87552,8478,,,,,,,,,,,,,,,,,
7532,7144,7142,2,10944,8707,8936,,,,,,,,,,,,,,,,
7361,7254,7252,2,10944,8708,8938,,,,,,,,,,,,,,,,
7360,7254,7252,2,87552,8479,,,,,,,,,,,,,,,,,
7533,7254,7252,2,87552,8479,,,,,,,,,,,,,,,,,
7534,7254,7252,2,10944,8708,8938,,,,,,,,,,,,,,,,
7471,7364,7362,2,10944,8708,8938,,,,,,,,,,,,,,,,
7470,7364,7362,2,87552,8479,,,,,,,,,,,,,,,,,
7644,7537,7535,2,87552,9166,,,,,,,,,,,,,,,,,
7643,7537,7535,2,10944,9391,9618,,,,,,,,,,,,,,,,
8032,7537,7535,2,10944,9391,9618,,,,,,,,,,,,,,,,
8033,7537,7535,2,87552,9166,,,,,,,,,,,,,,,,,
7754,7647,7645,2,87552,9166,,,,,,,,,,,,,,,,,
7753,7647,7645,2,10944,9391,9618,,,,,,,,,,,,,,,,
8034,7647,7645,2,87552,9164,,,,,,,,,,,,,,,,,
8035,7647,7645,2,10944,9390,9616,,,,,,,,,,,,,,,,
7864,7757,7755,2,87552,9165,,,,,,,,,,,,,,,,,
7863,7757,7755,2,10944,9392,9617,,,,,,,,,,,,,,,,
8036,7757,7755,2,87552,9165,,,,,,,,,,,,,,,,,
8037,7757,7755,2,10944,9392,9617,,,,,,,,,,,,,,,,
7974,7867,7865,2,87552,9165,,,,,,,,,,,,,,,,,
