link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25]
4822,784,3,1,1,4766,4793,,,,,,,,,,,,,,,,,,,,,,,,
4823,784,3,1,1,4767,4768,4772,4775,4794,4795,4798,4799,4800,4801,4802,4804,4805,4806,4807,4808,4810,4811,4812,4813,4814,4816,4817,4818,4819,4820
4824,784,3,1,1,4771,,,,,,,,,,,,,,,,,,,,,,,,,
4825,784,3,1,1,4774,,,,,,,,,,,,,,,,,,,,,,,,,
4834,811,788,2,6592,10871,11177,11480,11785,,,,,,,,,,,,,,,,,,,,,,
4835,789,788,2,8,4793,,,,,,,,,,,,,,,,,,,,,,,,,
4836,792,788,2,32,4792,,,,,,,,,,,,,,,,,,,,,,,,,
4837,811,788,2,52736,10566,,,,,,,,,,,,,,,,,,,,,,,,,
4841,887,883,2,512,4769,,,,,,,,,,,,,,,,,,,,,,,,,
4842,884,883,2,32,4792,,,,,,,,,,,,,,,,,,,,,,,,,
4862,1031,1014,1,6592,4783,4784,4785,4786,,,,,,,,,,,,,,,,,,,,,,
4863,1031,1014,1,6592,4782,,,,,,,,,,,,,,,,,,,,,,,,,
4867,1090,1089,2,52736,10237,10245,,,,,,,,,,,,,,,,,,,,,,,,
4871,1103,1102,2,512,4769,,,,,,,,,,,,,,,,,,,,,,,,,
4875,1133,1132,2,52736,10239,10241,,,,,,,,,,,,,,,,,,,,,,,,
4879,1146,1145,2,52736,10241,,,,,,,,,,,,,,,,,,,,,,,,,
4883,1159,1158,2,52736,10242,,,,,,,,,,,,,,,,,,,,,,,,,
4887,1172,1171,2,52736,10242,,,,,,,,,,,,,,,,,,,,,,,,,
4891,1185,1184,2,52736,10238,,,,,,,,,,,,,,,,,,,,,,,,,
4894,746,4766,2,8,788,,,,,,,,,,,,,,,,,,,,,,,,,
4896,747,4767,1,1,4766,,,,,,,,,,,,,,,,,,,,,,,,,
4898,748,4768,2,8,788,,,,,,,,,,,,,,,,,,,,,,,,,
4899,748,4768,2,8,788,,,,,,,,,,,,,,,,,,,,,,,,,
4902,751,4769,2,512,883,,,,,,,,,,,,,,,,,,,,,,,,,
4903,751,4769,2,512,883,,,,,,,,,,,,,,,,,,,,,,,,,
4904,751,4769,2,512,883,,,,,,,,,,,,,,,,,,,,,,,,,
4907,753,4770,2,262144,8451,8565,8679,8793,8907,9147,9261,9375,9489,9603,,,,,,,,,,,,,,,,
4909,754,4771,1,32768,4770,,,,,,,,,,,,,,,,,,,,,,,,,
4910,754,4771,1,32768,4770,,,,,,,,,,,,,,,,,,,,,,,,,
4912,755,4772,2,262144,8451,8565,8679,8793,8907,9147,9261,9375,9489,9603,,,,,,,,,,,,,,,,
4913,755,4772,2,262144,8451,8565,8679,8793,8907,9147,9261,9375,9489,9603,,,,,,,,,,,,,,,,
4916,756,4773,2,2048,1014,,,,,,,,,,,,,,,,,,,,,,,,,
4918,757,4774,1,64,4773,,,,,,,,,,,,,,,,,,,,,,,,,
4919,757,4774,1,64,4773,,,,,,,,,,,,,,,,,,,,,,,,,
4921,758,4775,2,2048,1014,,,,,,,,,,,,,,,,,,,,,,,,,
4922,758,4775,2,2048,1014,,,,,,,,,,,,,,,,,,,,,,,,,
4949,768,4782,1,6592,12089,,,,,,,,,,,,,,,,,,,,,,,,,
4952,769,4783,1,6592,12392,,,,,,,,,,,,,,,,,,,,,,,,,
4955,770,4784,1,6592,12695,,,,,,,,,,,,,,,,,,,,,,,,,
4958,771,4785,1,6592,12998,,,,,,,,,,,,,,,,,,,,,,,,,
4961,772,4786,1,6592,13301,,,,,,,,,,,,,,,,,,,,,,,,,
4989,779,4792,2,32,788,,,,,,,,,,,,,,,,,,,,,,,,,
4990,779,4792,2,32,788,,,,,,,,,,,,,,,,,,,,,,,,,
4991,779,4792,2,32,788,,,,,,,,,,,,,,,,,,,,,,,,,
4996,780,4793,1,1,4796,,,,,,,,,,,,,,,,,,,,,,,,,
4998,781,4794,1,1,4793,,,,,,,,,,,,,,,,,,,,,,,,,
5000,782,4795,2,8,4793,,,,,,,,,,,,,,,,,,,,,,,,,
5002,783,4796,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
5016,796,4798,2,52736,13672,,,,,,,,,,,,,,,,,,,,,,,,,
5017,796,4798,2,52736,14957,,,,,,,,,,,,,,,,,,,,,,,,,
5019,799,4799,2,52736,13672,,,,,,,,,,,,,,,,,,,,,,,,,
5020,799,4799,2,52736,14957,,,,,,,,,,,,,,,,,,,,,,,,,
5022,802,4800,2,52736,13673,,,,,,,,,,,,,,,,,,,,,,,,,
5023,802,4800,2,52736,13673,,,,,,,,,,,,,,,,,,,,,,,,,
5025,805,4801,2,52736,13673,,,,,,,,,,,,,,,,,,,,,,,,,
5026,805,4801,2,52736,13673,,,,,,,,,,,,,,,,,,,,,,,,,
5028,808,4802,2,52736,13669,,,,,,,,,,,,,,,,,,,,,,,,,
5029,808,4802,2,52736,14881,,,,,,,,,,,,,,,,,,,,,,,,,
5043,905,4804,2,52736,14055,,,,,,,,,,,,,,,,,,,,,,,,,
5044,905,4804,2,52736,14055,,,,,,,,,,,,,,,,,,,,,,,,,
5046,908,4805,2,52736,14055,,,,,,,,,,,,,,,,,,,,,,,,,
5047,908,4805,2,52736,14055,,,,,,,,,,,,,,,,,,,,,,,,,
5049,911,4806,2,52736,15111,,,,,,,,,,,,,,,,,,,,,,,,,
5050,911,4806,2,52736,14054,,,,,,,,,,,,,,,,,,,,,,,,,
5052,914,4807,2,52736,14054,,,,,,,,,,,,,,,,,,,,,,,,,
5053,914,4807,2,52736,15111,,,,,,,,,,,,,,,,,,,,,,,,,
5055,917,4808,2,52736,14051,,,,,,,,,,,,,,,,,,,,,,,,,
5056,917,4808,2,52736,15035,,,,,,,,,,,,,,,,,,,,,,,,,
5070,962,4810,2,52736,14436,,,,,,,,,,,,,,,,,,,,,,,,,
5071,962,4810,2,52736,14438,,,,,,,,,,,,,,,,,,,,,,,,,
