link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7]
3288,660,3,1,1,3259,3260,3264,3267,3270,3273,3284,3285
3289,660,3,1,1,3258,3283,,,,,,
3290,660,3,1,1,3263,3269,,,,,,
3291,660,3,1,1,3266,3272,,,,,,
3298,665,664,2,8,3283,,,,,,,
3299,671,664,2,131072,3276,,,,,,,
3300,668,664,2,32,3282,,,,,,,
3307,706,705,2,131072,3279,,,,,,,
3311,735,734,2,32,3282,,,,,,,
3312,738,734,2,256,7816,7817,,,,,,
3332,801,800,1,16384,3277,,,,,,,
3336,814,813,1,16384,3280,,,,,,,
3340,861,860,2,131072,3274,,,,,,,
3344,874,873,2,256,7816,,,,,,,
3348,884,883,2,131072,3275,,,,,,,
3352,897,896,2,256,7816,,,,,,,
3356,911,910,2,131072,3274,,,,,,,
3360,928,927,2,131072,3275,,,,,,,
3363,623,3258,2,8,664,705,,,,,,
3365,624,3259,1,1,3258,,,,,,,
3367,625,3260,2,8,664,705,,,,,,
3368,625,3260,2,8,664,705,,,,,,
3377,631,3262,2,131072,6799,6912,7034,7147,,,,
3379,632,3263,1,16384,3262,,,,,,,
3380,632,3263,1,16384,3262,,,,,,,
3382,633,3264,2,131072,6799,6912,7034,7147,,,,
3383,633,3264,2,131072,6799,6912,7034,7147,,,,
3386,634,3265,2,1024,800,,,,,,,
3388,635,3266,1,32,3265,,,,,,,
3389,635,3266,1,32,3265,,,,,,,
3391,636,3267,2,1024,800,,,,,,,
3392,636,3267,2,1024,800,,,,,,,
3395,638,3268,2,131072,7269,7382,7504,7617,,,,
3397,639,3269,1,16384,3268,,,,,,,
3398,639,3269,1,16384,3268,,,,,,,
3400,640,3270,2,131072,7269,7382,7504,7617,,,,
3401,640,3270,2,131072,7269,7382,7504,7617,,,,
3404,641,3271,2,1024,813,,,,,,,
3406,642,3272,1,32,3271,,,,,,,
3407,642,3272,1,32,3271,,,,,,,
3409,643,3273,2,1024,813,,,,,,,
3410,643,3273,2,1024,813,,,,,,,
3413,646,3274,2,131072,860,873,,,,,,
3414,646,3274,2,131072,860,873,,,,,,
3415,646,3274,2,131072,860,873,,,,,,
3418,647,3275,2,131072,883,896,,,,,,
3419,647,3275,2,131072,883,896,,,,,,
3420,647,3275,2,131072,883,896,,,,,,
3423,649,3276,2,16384,3277,,,,,,,
3426,650,3277,1,16384,3278,,,,,,,
3429,651,3278,2,131072,910,,,,,,,
3430,651,3278,2,131072,910,,,,,,,
3431,651,3278,2,131072,910,,,,,,,
3434,652,3279,2,16384,3280,,,,,,,
3437,653,3280,1,16384,3281,,,,,,,
3440,654,3281,2,131072,927,,,,,,,
3441,654,3281,2,131072,927,,,,,,,
3442,654,3281,2,131072,927,,,,,,,
3445,655,3282,2,32,664,705,,,,,,
3446,655,3282,2,32,664,705,,,,,,
3447,655,3282,2,32,664,705,,,,,,
3452,656,3283,1,1,3286,,,,,,,
3454,657,3284,1,1,3283,,,,,,,
3456,658,3285,2,8,3283,,,,,,,
3458,659,3286,1,1,3,,,,,,,
6911,6801,6799,2,131072,3276,,,,,,,
7033,6801,6799,2,131072,3276,,,,,,,
7024,6914,6912,2,131072,3276,,,,,,,
7146,7036,7034,2,131072,3278,,,,,,,
7268,7036,7034,2,131072,3278,,,,,,,
7259,7149,7147,2,131072,3278,,,,,,,
7381,7271,7269,2,131072,3279,,,,,,,
7503,7271,7269,2,131072,3279,,,,,,,
7494,7384,7382,2,131072,3279,,,,,,,
7616,7506,7504,2,131072,3281,,,,,,,
7738,7506,7504,2,131072,3281,,,,,,,
7729,7619,7617,2,131072,3281,,,,,,,
3374,7739,7816,2,256,734,,,,,,,
3373,7740,7817,2,256,734,,,,,,,
3372,7740,7817,2,256,734,,,,,,,
7823,7740,7817,2,256,7816,,,,,,,
