link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
4384,691,3,1,1,4335,,,,,,,,,,,,,,,,,,,,,,,,,,
4385,691,3,1,1,4332,,,,,,,,,,,,,,,,,,,,,,,,,,
4386,691,3,1,1,4351,,,,,,,,,,,,,,,,,,,,,,,,,,
4387,691,3,1,1,4330,4333,4352,4353,4356,4357,4358,4359,4361,4362,4363,4364,4366,4367,4368,4369,4371,4372,4373,4374,4375,4377,4378,4379,4380,4381,9257
4393,709,695,1,8192,4341,,,,,,,,,,,,,,,,,,,,,,,,,,
4394,709,695,1,8192,4342,4343,4344,,,,,,,,,,,,,,,,,,,,,,,,
4403,764,744,2,8192,9691,9915,10137,,,,,,,,,,,,,,,,,,,,,,,,
4404,764,744,2,32768,9466,,,,,,,,,,,,,,,,,,,,,,,,,,
4405,748,744,1,419840,10527,10536,,,,,,,,,,,,,,,,,,,,,,,,,
4406,745,744,2,4,4351,,,,,,,,,,,,,,,,,,,,,,,,,,
4426,972,955,2,26240,10947,10952,,,,,,,,,,,,,,,,,,,,,,,,,
4427,972,955,2,6560,11346,11351,11745,11750,12144,12149,12543,12548,,,,,,,,,,,,,,,,,,,
4431,1056,1055,1,419840,10529,10531,,,,,,,,,,,,,,,,,,,,,,,,,
4435,1069,1068,1,419840,10531,,,,,,,,,,,,,,,,,,,,,,,,,,
4439,1082,1081,1,419840,10532,10533,,,,,,,,,,,,,,,,,,,,,,,,,
4443,1095,1094,1,419840,10533,,,,,,,,,,,,,,,,,,,,,,,,,,
4447,1108,1107,1,419840,10528,,,,,,,,,,,,,,,,,,,,,,,,,,
4449,660,4330,2,4,744,,,,,,,,,,,,,,,,,,,,,,,,,,
4450,660,4330,2,4,744,,,,,,,,,,,,,,,,,,,,,,,,,,
4451,660,4330,2,4,744,,,,,,,,,,,,,,,,,,,,,,,,,,
4454,662,4331,2,2048,695,,,,,,,,,,,,,,,,,,,,,,,,,,
4456,663,4332,1,32,4331,,,,,,,,,,,,,,,,,,,,,,,,,,
4457,663,4332,1,32,4331,,,,,,,,,,,,,,,,,,,,,,,,,,
4459,664,4333,2,2048,695,,,,,,,,,,,,,,,,,,,,,,,,,,
4460,664,4333,2,2048,695,,,,,,,,,,,,,,,,,,,,,,,,,,
4463,665,4334,2,131072,8024,8127,8230,8333,8516,8621,8726,8831,8936,,,,,,,,,,,,,,,,,,
4465,666,4335,1,32768,4334,,,,,,,,,,,,,,,,,,,,,,,,,,
4466,666,4335,1,32768,4334,,,,,,,,,,,,,,,,,,,,,,,,,,
4486,675,4341,1,8192,14170,,,,,,,,,,,,,,,,,,,,,,,,,,
4487,675,4341,1,8192,14165,,,,,,,,,,,,,,,,,,,,,,,,,,
4488,675,4341,1,8192,14170,,,,,,,,,,,,,,,,,,,,,,,,,,
4491,676,4342,1,8192,14169,,,,,,,,,,,,,,,,,,,,,,,,,,
4492,676,4342,1,8192,14483,,,,,,,,,,,,,,,,,,,,,,,,,,
4493,676,4342,1,8192,14166,,,,,,,,,,,,,,,,,,,,,,,,,,
4496,677,4343,1,8192,14483,,,,,,,,,,,,,,,,,,,,,,,,,,
4497,677,4343,1,8192,14166,,,,,,,,,,,,,,,,,,,,,,,,,,
4498,677,4343,1,8192,14169,,,,,,,,,,,,,,,,,,,,,,,,,,
