link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
2063,415,3,1,1,2037,,,,,,,,,,,
2064,415,3,1,1,2040,,,,,,,,,,,
2065,415,3,1,1,2048,,,,,,,,,,,
2066,415,3,1,1,2035,2038,2049,2050,2053,2054,2056,2057,2059,2060,5897,5898
2072,427,419,1,16384,2045,,,,,,,,,,,
2073,427,419,1,16384,2044,,,,,,,,,,,
2082,456,452,1,2097152,2046,,,,,,,,,,,
2083,466,452,2,65536,2042,,,,,,,,,,,
2084,466,452,2,16384,2043,,,,,,,,,,,
2085,453,452,2,4,2048,,,,,,,,,,,
2096,554,553,2,131072,2047,,,,,,,,,,,
2100,584,583,2,131072,2047,,,,,,,,,,,
2104,618,617,1,2097152,2046,,,,,,,,,,,
2106,393,2035,2,4,452,,,,,,,,,,,
2107,393,2035,2,4,452,,,,,,,,,,,
2108,393,2035,2,4,452,,,,,,,,,,,
2111,395,2036,2,2048,419,,,,,,,,,,,
2113,396,2037,1,32,2036,,,,,,,,,,,
2114,396,2037,1,32,2036,,,,,,,,,,,
2116,397,2038,2,2048,419,,,,,,,,,,,
2117,397,2038,2,2048,419,,,,,,,,,,,
2120,398,2039,2,131072,553,5551,5650,,,,,,,,,
2122,399,2040,1,32768,2039,,,,,,,,,,,
2123,399,2040,1,32768,2039,,,,,,,,,,,
2131,402,2042,2,16384,2044,,,,,,,,,,,
2134,403,2043,2,16384,2045,,,,,,,,,,,
2137,406,2044,1,16384,5991,,,,,,,,,,,
2138,406,2044,1,16384,5992,,,,,,,,,,,
2139,406,2044,1,16384,5992,,,,,,,,,,,
2142,407,2045,1,16384,5992,,,,,,,,,,,
2143,407,2045,1,16384,5991,,,,,,,,,,,
2144,407,2045,1,16384,5992,,,,,,,,,,,
2147,409,2046,1,2097152,452,,,,,,,,,,,
2148,409,2046,1,2097152,452,,,,,,,,,,,
2149,409,2046,1,2097152,452,,,,,,,,,,,
2152,410,2047,2,131072,617,,,,,,,,,,,
2153,410,2047,2,131072,617,,,,,,,,,,,
2154,410,2047,2,131072,617,,,,,,,,,,,
2159,411,2048,1,1,2051,,,,,,,,,,,
2161,412,2049,1,1,2048,,,,,,,,,,,
2163,413,2050,2,4,2048,,,,,,,,,,,
2165,414,2051,1,1,3,,,,,,,,,,,
2170,420,2052,1,16384,419,,,,,,,,,,,
2171,420,2052,1,16384,419,,,,,,,,,,,
2173,421,2053,1,16384,2052,,,,,,,,,,,
2174,421,2053,1,16384,2052,,,,,,,,,,,
2176,424,2054,1,16384,2052,,,,,,,,,,,
2177,424,2054,1,16384,2052,,,,,,,,,,,
2182,459,2055,2,65536,452,,,,,,,,,,,
2183,459,2055,2,65536,452,,,,,,,,,,,
2185,460,2056,2,65536,2055,,,,,,,,,,,
2186,460,2056,2,65536,2055,,,,,,,,,,,
2188,463,2057,2,65536,2055,,,,,,,,,,,
2189,463,2057,2,65536,2055,,,,,,,,,,,
2194,521,2058,2,65536,5551,5650,,,,,,,,,,
2195,521,2058,2,65536,5551,5650,,,,,,,,,,
2197,522,2059,2,65536,2058,,,,,,,,,,,
2198,522,2059,2,65536,2058,,,,,,,,,,,
2200,525,2060,2,65536,2058,,,,,,,,,,,
2201,525,2060,2,65536,2058,,,,,,,,,,,
5649,5553,5551,2,65536,2042,,,,,,,,,,,
5648,5553,5551,2,16384,2043,,,,,,,,,,,
5765,5553,5551,2,16384,2043,,,,,,,,,,,
5766,5553,5551,2,65536,2042,,,,,,,,,,,
5748,5652,5650,2,65536,2042,,,,,,,,,,,
5747,5652,5650,2,16384,2043,,,,,,,,,,,
2127,5767,5896,2,131072,5551,5650,,,,,,,,,,
2128,5767,5896,2,131072,5551,5650,,,,,,,,,,
2126,5768,5897,2,131072,553,,,,,,,,,,,
5903,5768,5897,2,131072,5896,,,,,,,,,,,
5904,5768,5897,2,131072,5896,,,,,,,,,,,
2125,5769,5898,2,131072,553,,,,,,,,,,,
5906,5769,5898,2,131072,5896,,,,,,,,,,,
2208,5907,5991,1,16384,583,,,,,,,,,,,
2210,5907,5991,1,16384,583,,,,,,,,,,,
2209,5908,5992,1,16384,583,,,,,,,,,,,
6001,5908,5992,1,16384,5991,,,,,,,,,,,
6002,5908,5992,1,16384,5991,,,,,,,,,,,
