link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
2569,468,3,1,1,2554,,,,,,,,,,,,
2570,468,3,1,1,2545,,,,,,,,,,,,
2571,468,3,1,1,2542,,,,,,,,,,,,
2572,468,3,1,1,2540,2543,2555,2556,2559,2560,2561,2562,2564,2565,2566,2567,6658
2576,473,472,1,32768,2548,,,,,,,,,,,,
2583,489,485,1,524288,6916,6921,,,,,,,,,,,
2584,492,485,2,131072,2547,,,,,,,,,,,,
2585,486,485,2,4,2554,,,,,,,,,,,,
2589,528,527,2,131072,2547,,,,,,,,,,,,
2602,630,616,2,32768,7203,,,,,,,,,,,,
2603,630,616,2,8192,7478,7753,8028,,,,,,,,,,
2607,668,667,1,524288,6918,6919,,,,,,,,,,,
2611,681,680,1,524288,6919,,,,,,,,,,,,
2615,694,693,1,524288,6917,,,,,,,,,,,,
2619,707,706,1,524288,6917,,,,,,,,,,,,
2621,446,2540,2,4,485,,,,,,,,,,,,
2622,446,2540,2,4,485,,,,,,,,,,,,
2623,446,2540,2,4,485,,,,,,,,,,,,
2626,448,2541,2,2048,472,,,,,,,,,,,,
2628,449,2542,1,32,2541,,,,,,,,,,,,
2629,449,2542,1,32,2541,,,,,,,,,,,,
2631,450,2543,2,2048,472,,,,,,,,,,,,
2632,450,2543,2,2048,472,,,,,,,,,,,,
2635,451,2544,2,131072,527,6075,6178,6281,6384,,,,,,,,
2637,452,2545,1,32768,2544,,,,,,,,,,,,
2638,452,2545,1,32768,2544,,,,,,,,,,,,
2646,455,2547,2,32768,2548,,,,,,,,,,,,
2649,456,2548,1,32768,616,,,,,,,,,,,,
2650,456,2548,1,32768,616,,,,,,,,,,,,
2651,456,2548,1,32768,616,,,,,,,,,,,,
2684,464,2554,1,1,2557,,,,,,,,,,,,
2686,465,2555,1,1,2554,,,,,,,,,,,,
2688,466,2556,2,4,2554,,,,,,,,,,,,
2690,467,2557,1,1,3,,,,,,,,,,,,
2702,552,2559,2,32768,8207,,,,,,,,,,,,
2703,552,2559,2,32768,8207,,,,,,,,,,,,
2705,555,2560,2,32768,8207,,,,,,,,,,,,
2706,555,2560,2,32768,8207,,,,,,,,,,,,
2708,558,2561,2,32768,8206,,,,,,,,,,,,
2709,558,2561,2,32768,8206,,,,,,,,,,,,
2711,561,2562,2,32768,8206,,,,,,,,,,,,
2712,561,2562,2,32768,8206,,,,,,,,,,,,
2724,618,2564,2,32768,8440,,,,,,,,,,,,
2725,618,2564,2,32768,8440,,,,,,,,,,,,
2727,621,2565,2,32768,8440,,,,,,,,,,,,
2728,621,2565,2,32768,8440,,,,,,,,,,,,
