link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
3236,557,3,1,1,3210,,,,,,,,,,,,,,,,,,,
3237,557,3,1,1,3195,,,,,,,,,,,,,,,,,,,
3238,557,3,1,1,3193,3196,3199,3211,3212,3215,3216,3217,3219,3220,3221,3223,3224,3225,3227,3228,3229,3231,3232,3233
3239,557,3,1,1,3198,,,,,,,,,,,,,,,,,,,
3245,572,561,1,10944,3204,3205,,,,,,,,,,,,,,,,,,
3246,572,561,1,10944,3203,,,,,,,,,,,,,,,,,,,
3255,606,602,1,700416,8341,8344,,,,,,,,,,,,,,,,,,
3256,619,602,2,43776,7755,,,,,,,,,,,,,,,,,,,
3257,619,602,2,10944,7968,8181,,,,,,,,,,,,,,,,,,
3258,603,602,2,4,3210,,,,,,,,,,,,,,,,,,,
3275,776,765,2,10944,8868,9133,,,,,,,,,,,,,,,,,,
3276,776,765,2,43776,8603,,,,,,,,,,,,,,,,,,,
3280,839,838,1,700416,8342,,,,,,,,,,,,,,,,,,,
3284,852,851,1,700416,8342,,,,,,,,,,,,,,,,,,,
3288,865,864,1,700416,8341,,,,,,,,,,,,,,,,,,,
3290,530,3193,2,4,602,,,,,,,,,,,,,,,,,,,
3291,530,3193,2,4,602,,,,,,,,,,,,,,,,,,,
3292,530,3193,2,4,602,,,,,,,,,,,,,,,,,,,
3295,532,3194,2,2048,561,,,,,,,,,,,,,,,,,,,
3297,533,3195,1,32,3194,,,,,,,,,,,,,,,,,,,
3298,533,3195,1,32,3194,,,,,,,,,,,,,,,,,,,
3300,534,3196,2,2048,561,,,,,,,,,,,,,,,,,,,
3301,534,3196,2,2048,561,,,,,,,,,,,,,,,,,,,
3304,535,3197,2,131072,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3306,536,3198,1,32768,3197,,,,,,,,,,,,,,,,,,,
3307,536,3198,1,32768,3197,,,,,,,,,,,,,,,,,,,
3309,537,3199,2,131072,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3310,537,3199,2,131072,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3322,544,3203,1,10944,10225,,,,,,,,,,,,,,,,,,,
3323,544,3203,1,10944,10223,,,,,,,,,,,,,,,,,,,
3324,544,3203,1,10944,10227,,,,,,,,,,,,,,,,,,,
3327,545,3204,1,10944,10227,,,,,,,,,,,,,,,,,,,
3328,545,3204,1,10944,10224,,,,,,,,,,,,,,,,,,,
3329,545,3204,1,10944,10226,,,,,,,,,,,,,,,,,,,
3332,546,3205,1,10944,10227,,,,,,,,,,,,,,,,,,,
3333,546,3205,1,10944,10224,,,,,,,,,,,,,,,,,,,
3334,546,3205,1,10944,10226,,,,,,,,,,,,,,,,,,,
3361,553,3210,1,1,3213,,,,,,,,,,,,,,,,,,,
3363,554,3211,1,1,3210,,,,,,,,,,,,,,,,,,,
3365,555,3212,2,4,3210,,,,,,,,,,,,,,,,,,,
3367,556,3213,1,1,3,,,,,,,,,,,,,,,,,,,
3377,563,3215,1,10944,9285,,,,,,,,,,,,,,,,,,,
3378,563,3215,1,10944,9286,,,,,,,,,,,,,,,,,,,
3380,566,3216,1,10944,9286,,,,,,,,,,,,,,,,,,,
3381,566,3216,1,10944,9285,,,,,,,,,,,,,,,,,,,
3383,569,3217,1,10944,9286,,,,,,,,,,,,,,,,,,,
3384,569,3217,1,10944,9284,,,,,,,,,,,,,,,,,,,
3394,610,3219,2,43776,9452,,,,,,,,,,,,,,,,,,,
3395,610,3219,2,43776,9452,,,,,,,,,,,,,,,,,,,
3397,613,3220,2,43776,9452,,,,,,,,,,,,,,,,,,,
3398,613,3220,2,43776,9452,,,,,,,,,,,,,,,,,,,
3400,616,3221,2,43776,9450,,,,,,,,,,,,,,,,,,,
3401,616,3221,2,43776,9451,,,,,,,,,,,,,,,,,,,
3411,674,3223,2,43776,9618,,,,,,,,,,,,,,,,,,,
3412,674,3223,2,43776,9618,,,,,,,,,,,,,,,,,,,
3414,677,3224,2,43776,9618,,,,,,,,,,,,,,,,,,,
3415,677,3224,2,43776,9618,,,,,,,,,,,,,,,,,,,
3417,680,3225,2,43776,9616,,,,,,,,,,,,,,,,,,,
3418,680,3225,2,43776,9617,,,,,,,,,,,,,,,,,,,
3428,705,3227,2,43776,9784,,,,,,,,,,,,,,,,,,,
3429,705,3227,2,43776,9784,,,,,,,,,,,,,,,,,,,
3431,708,3228,2,43776,9784,,,,,,,,,,,,,,,,,,,
3432,708,3228,2,43776,9784,,,,,,,,,,,,,,,,,,,
3434,711,3229,2,43776,9782,,,,,,,,,,,,,,,,,,,
3435,711,3229,2,43776,9783,,,,,,,,,,,,,,,,,,,
3445,767,3231,2,43776,9949,,,,,,,,,,,,,,,,,,,
3446,767,3231,2,43776,9950,,,,,,,,,,,,,,,,,,,
3448,770,3232,2,43776,9949,,,,,,,,,,,,,,,,,,,
3449,770,3232,2,43776,9950,,,,,,,,,,,,,,,,,,,
3451,773,3233,2,43776,9950,,,,,,,,,,,,,,,,,,,
3452,773,3233,2,43776,9948,,,,,,,,,,,,,,,,,,,
6961,6858,6805,2,10944,7970,8183,,,,,,,,,,,,,,,,,,
6960,6858,6805,2,43776,7757,,,,,,,,,,,,,,,,,,,
6959,6807,6805,2,10944,8871,9136,,,,,,,,,,,,,,,,,,
6958,6807,6805,2,43776,8605,,,,,,,,,,,,,,,,,,,
7547,6807,6805,2,43776,8605,,,,,,,,,,,,,,,,,,,
7548,6858,6805,2,43776,7757,,,,,,,,,,,,,,,,,,,
7549,6807,6805,2,10944,8871,9136,,,,,,,,,,,,,,,,,,
7550,6858,6805,2,10944,7970,8183,,,,,,,,,,,,,,,,,,
7118,7015,6962,2,10944,7970,8183,,,,,,,,,,,,,,,,,,
7117,7015,6962,2,43776,7757,,,,,,,,,,,,,,,,,,,
7116,6964,6962,2,10944,8871,9136,,,,,,,,,,,,,,,,,,
7115,6964,6962,2,43776,8605,,,,,,,,,,,,,,,,,,,
7551,7015,6962,2,10944,7968,8181,,,,,,,,,,,,,,,,,,
7552,7015,6962,2,43776,7755,,,,,,,,,,,,,,,,,,,
7553,6964,6962,2,10944,8869,9134,,,,,,,,,,,,,,,,,,
7554,6964,6962,2,43776,8604,,,,,,,,,,,,,,,,,,,
7275,7172,7119,2,10944,7969,8182,,,,,,,,,,,,,,,,,,
7274,7172,7119,2,43776,7756,,,,,,,,,,,,,,,,,,,
7273,7121,7119,2,10944,8870,9135,,,,,,,,,,,,,,,,,,
7272,7121,7119,2,43776,8606,,,,,,,,,,,,,,,,,,,
7555,7172,7119,2,10944,7969,8182,,,,,,,,,,,,,,,,,,
7556,7121,7119,2,10944,8870,9135,,,,,,,,,,,,,,,,,,
7557,7172,7119,2,43776,7756,,,,,,,,,,,,,,,,,,,
7558,7121,7119,2,43776,8606,,,,,,,,,,,,,,,,,,,
7432,7329,7276,2,10944,7969,8182,,,,,,,,,,,,,,,,,,
7431,7329,7276,2,43776,7756,,,,,,,,,,,,,,,,,,,
