link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
3303,535,3,1,1,3278,,,,,,,,,,,,,,,,,,
3304,535,3,1,1,3264,,,,,,,,,,,,,,,,,,
3305,535,3,1,1,3262,3265,3279,3280,3283,3284,3286,3287,3289,3290,3292,3293,3294,3295,3297,3298,3299,3300,7673
3306,535,3,1,1,3267,,,,,,,,,,,,,,,,,,
3312,547,539,1,16384,3271,,,,,,,,,,,,,,,,,,
3313,547,539,1,16384,3272,,,,,,,,,,,,,,,,,,
3322,573,572,2,4,3278,,,,,,,,,,,,,,,,,,
3323,586,572,2,65536,3269,,,,,,,,,,,,,,,,,,
3324,586,572,2,16384,3270,,,,,,,,,,,,,,,,,,
3325,576,572,1,524288,7934,7940,,,,,,,,,,,,,,,,,
3345,763,749,2,8192,8498,8773,9048,,,,,,,,,,,,,,,,
3346,763,749,2,32768,8223,,,,,,,,,,,,,,,,,,
3350,820,819,1,524288,7938,,,,,,,,,,,,,,,,,,
3354,833,832,1,524288,7938,,,,,,,,,,,,,,,,,,
3358,846,845,1,524288,7936,7937,,,,,,,,,,,,,,,,,
3362,859,858,1,524288,7937,,,,,,,,,,,,,,,,,,
3364,509,3262,2,4,572,,,,,,,,,,,,,,,,,,
3365,509,3262,2,4,572,,,,,,,,,,,,,,,,,,
3366,509,3262,2,4,572,,,,,,,,,,,,,,,,,,
3369,511,3263,2,2048,539,,,,,,,,,,,,,,,,,,
3371,512,3264,1,32,3263,,,,,,,,,,,,,,,,,,
3372,512,3264,1,32,3263,,,,,,,,,,,,,,,,,,
3374,513,3265,2,2048,539,,,,,,,,,,,,,,,,,,
3375,513,3265,2,2048,539,,,,,,,,,,,,,,,,,,
3378,514,3266,2,131072,6871,6970,7087,7190,7293,7396,,,,,,,,,,,,,
3380,515,3267,1,32768,3266,,,,,,,,,,,,,,,,,,
3381,515,3267,1,32768,3266,,,,,,,,,,,,,,,,,,
3389,518,3269,2,16384,3271,,,,,,,,,,,,,,,,,,
3392,519,3270,2,16384,3272,,,,,,,,,,,,,,,,,,
3395,522,3271,1,16384,9576,,,,,,,,,,,,,,,,,,
3396,522,3271,1,16384,9575,,,,,,,,,,,,,,,,,,
3397,522,3271,1,16384,9576,,,,,,,,,,,,,,,,,,
3400,523,3272,1,16384,9576,,,,,,,,,,,,,,,,,,
3401,523,3272,1,16384,9576,,,,,,,,,,,,,,,,,,
3402,523,3272,1,16384,9575,,,,,,,,,,,,,,,,,,
3435,531,3278,1,1,3281,,,,,,,,,,,,,,,,,,
3437,532,3279,1,1,3278,,,,,,,,,,,,,,,,,,
3439,533,3280,2,4,3278,,,,,,,,,,,,,,,,,,
3441,534,3281,1,1,3,,,,,,,,,,,,,,,,,,
3446,540,3282,1,16384,539,,,,,,,,,,,,,,,,,,
3447,540,3282,1,16384,539,,,,,,,,,,,,,,,,,,
3449,541,3283,1,16384,3282,,,,,,,,,,,,,,,,,,
3450,541,3283,1,16384,3282,,,,,,,,,,,,,,,,,,
3452,544,3284,1,16384,3282,,,,,,,,,,,,,,,,,,
3453,544,3284,1,16384,3282,,,,,,,,,,,,,,,,,,
3458,579,3285,2,65536,572,,,,,,,,,,,,,,,,,,
3459,579,3285,2,65536,572,,,,,,,,,,,,,,,,,,
3461,580,3286,2,65536,3285,,,,,,,,,,,,,,,,,,
3462,580,3286,2,65536,3285,,,,,,,,,,,,,,,,,,
3464,583,3287,2,65536,3285,,,,,,,,,,,,,,,,,,
3465,583,3287,2,65536,3285,,,,,,,,,,,,,,,,,,
3470,641,3288,2,65536,6871,6970,,,,,,,,,,,,,,,,,
3471,641,3288,2,65536,6871,6970,,,,,,,,,,,,,,,,,
3473,642,3289,2,65536,3288,,,,,,,,,,,,,,,,,,
3474,642,3289,2,65536,3288,,,,,,,,,,,,,,,,,,
3476,645,3290,2,65536,3288,,,,,,,,,,,,,,,,,,
3477,645,3290,2,65536,3288,,,,,,,,,,,,,,,,,,
3489,685,3292,2,32768,9288,,,,,,,,,,,,,,,,,,
3490,685,3292,2,32768,9648,,,,,,,,,,,,,,,,,,
3492,688,3293,2,32768,9288,,,,,,,,,,,,,,,,,,
3493,688,3293,2,32768,9648,,,,,,,,,,,,,,,,,,
3495,691,3294,2,32768,9286,,,,,,,,,,,,,,,,,,
3496,691,3294,2,32768,9288,,,,,,,,,,,,,,,,,,
3498,694,3295,2,32768,9286,,,,,,,,,,,,,,,,,,
3499,694,3295,2,32768,9288,,,,,,,,,,,,,,,,,,
3511,751,3297,2,32768,9474,,,,,,,,,,,,,,,,,,
3512,751,3297,2,32768,9474,,,,,,,,,,,,,,,,,,
