link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21]
3596,576,3,1,1,3555,,,,,,,,,,,,,,,,,,,,,
3597,576,3,1,1,3550,3553,3556,3569,3570,3573,3574,3575,3577,3578,3579,3581,3582,3583,3584,3586,3587,3588,3590,3591,3592,3593
3598,576,3,1,1,3568,,,,,,,,,,,,,,,,,,,,,
3599,576,3,1,1,3552,,,,,,,,,,,,,,,,,,,,,
3605,591,580,1,10944,3560,,,,,,,,,,,,,,,,,,,,,
3606,591,580,1,10944,3561,3562,,,,,,,,,,,,,,,,,,,,
3615,638,621,2,43776,8160,,,,,,,,,,,,,,,,,,,,,
3616,625,621,1,524288,8865,8871,,,,,,,,,,,,,,,,,,,,
3617,622,621,2,4,3568,,,,,,,,,,,,,,,,,,,,,
3618,638,621,2,10944,8374,8591,,,,,,,,,,,,,,,,,,,,
3635,822,808,2,8192,9430,9705,9980,,,,,,,,,,,,,,,,,,,
3636,822,808,2,32768,9155,,,,,,,,,,,,,,,,,,,,,
3640,890,889,1,524288,8867,8868,,,,,,,,,,,,,,,,,,,,
3644,903,902,1,524288,8868,,,,,,,,,,,,,,,,,,,,,
3648,916,915,1,524288,8869,,,,,,,,,,,,,,,,,,,,,
3652,929,928,1,524288,8869,,,,,,,,,,,,,,,,,,,,,
3654,548,3550,2,4,621,,,,,,,,,,,,,,,,,,,,,
3655,548,3550,2,4,621,,,,,,,,,,,,,,,,,,,,,
3656,548,3550,2,4,621,,,,,,,,,,,,,,,,,,,,,
3659,550,3551,2,2048,580,,,,,,,,,,,,,,,,,,,,,
3661,551,3552,1,32,3551,,,,,,,,,,,,,,,,,,,,,
3662,551,3552,1,32,3551,,,,,,,,,,,,,,,,,,,,,
3664,552,3553,2,2048,580,,,,,,,,,,,,,,,,,,,,,
3665,552,3553,2,2048,580,,,,,,,,,,,,,,,,,,,,,
3668,553,3554,2,131072,7185,7344,7503,7662,,,,,,,,,,,,,,,,,,
3670,554,3555,1,32768,3554,,,,,,,,,,,,,,,,,,,,,
3671,554,3555,1,32768,3554,,,,,,,,,,,,,,,,,,,,,
3673,555,3556,2,131072,7185,7344,7503,7662,,,,,,,,,,,,,,,,,,
3674,555,3556,2,131072,7185,7344,7503,7662,,,,,,,,,,,,,,,,,,
3686,562,3560,1,10944,11226,,,,,,,,,,,,,,,,,,,,,
3687,562,3560,1,10944,11228,,,,,,,,,,,,,,,,,,,,,
3688,562,3560,1,10944,11224,,,,,,,,,,,,,,,,,,,,,
3691,563,3561,1,10944,11228,,,,,,,,,,,,,,,,,,,,,
3692,563,3561,1,10944,11225,,,,,,,,,,,,,,,,,,,,,
3693,563,3561,1,10944,11227,,,,,,,,,,,,,,,,,,,,,
3696,564,3562,1,10944,11227,,,,,,,,,,,,,,,,,,,,,
3697,564,3562,1,10944,11225,,,,,,,,,,,,,,,,,,,,,
3698,564,3562,1,10944,11228,,,,,,,,,,,,,,,,,,,,,
3731,572,3568,1,1,3571,,,,,,,,,,,,,,,,,,,,,
3733,573,3569,1,1,3568,,,,,,,,,,,,,,,,,,,,,
3735,574,3570,2,4,3568,,,,,,,,,,,,,,,,,,,,,
3737,575,3571,1,1,3,,,,,,,,,,,,,,,,,,,,,
3747,582,3573,1,10944,10133,,,,,,,,,,,,,,,,,,,,,
3748,582,3573,1,10944,10133,,,,,,,,,,,,,,,,,,,,,
3750,585,3574,1,10944,10133,,,,,,,,,,,,,,,,,,,,,
3751,585,3574,1,10944,10133,,,,,,,,,,,,,,,,,,,,,
3753,588,3575,1,10944,10131,,,,,,,,,,,,,,,,,,,,,
3754,588,3575,1,10944,10132,,,,,,,,,,,,,,,,,,,,,
3764,629,3577,2,43776,10299,,,,,,,,,,,,,,,,,,,,,
3765,629,3577,2,43776,10298,,,,,,,,,,,,,,,,,,,,,
3767,632,3578,2,43776,10299,,,,,,,,,,,,,,,,,,,,,
3768,632,3578,2,43776,10298,,,,,,,,,,,,,,,,,,,,,
3770,635,3579,2,43776,10299,,,,,,,,,,,,,,,,,,,,,
3771,635,3579,2,43776,10297,,,,,,,,,,,,,,,,,,,,,
3783,709,3581,2,32768,10534,,,,,,,,,,,,,,,,,,,,,
3784,709,3581,2,32768,11313,,,,,,,,,,,,,,,,,,,,,
3786,712,3582,2,32768,10534,,,,,,,,,,,,,,,,,,,,,
3787,712,3582,2,32768,11313,,,,,,,,,,,,,,,,,,,,,
3789,715,3583,2,32768,10532,,,,,,,,,,,,,,,,,,,,,
3790,715,3583,2,32768,10534,,,,,,,,,,,,,,,,,,,,,
3792,718,3584,2,32768,10534,,,,,,,,,,,,,,,,,,,,,
3793,718,3584,2,32768,10532,,,,,,,,,,,,,,,,,,,,,
3803,748,3586,2,43776,10712,,,,,,,,,,,,,,,,,,,,,
