link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3]
882,310,3,1,1,874,,,
883,310,3,1,1,877,,,
884,310,3,1,1,871,,,
885,310,3,1,1,869,872,875,878
886,310,3,1,1,868,,,
890,319,318,2,65536,4381,,,
894,332,331,2,65536,4379,,,
898,345,344,2,65536,4380,4381,,
902,358,357,2,65536,4381,,,
905,295,867,2,65536,318,,,
907,296,868,1,32,867,,,
908,296,868,1,32,867,,,
910,297,869,2,65536,318,,,
911,297,869,2,65536,318,,,
914,298,870,2,65536,331,,,
916,299,871,1,32,870,,,
917,299,871,1,32,870,,,
919,300,872,2,65536,331,,,
920,300,872,2,65536,331,,,
923,301,873,2,65536,344,,,
925,302,874,1,32,873,,,
926,302,874,1,32,873,,,
928,303,875,2,65536,344,,,
929,303,875,2,65536,344,,,
932,304,876,2,65536,357,,,
934,305,877,1,32,876,,,
935,305,877,1,32,876,,,
937,306,878,2,65536,357,,,
938,306,878,2,65536,357,,,
945,308,880,1,1,3,,,
943,4286,4379,2,32,880,,,
4390,4287,4380,2,65536,4379,,,
4391,4287,4380,2,65536,4379,,,
4395,4288,4381,2,65536,4379,,,
4396,4288,4381,2,65536,4380,,,
4397,4288,4381,2,65536,4380,,,
4398,4288,4381,2,65536,4380,,,
