link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7]
1933,572,3,1,1,1906,1918,,,,,,
1934,572,3,1,1,1909,1921,,,,,,
1935,572,3,1,1,1912,1924,,,,,,
1936,572,3,1,1,1907,1910,1913,1916,1919,1922,1925,1928
1937,572,3,1,1,1915,1927,,,,,,
1941,581,580,2,32768,5500,,,,,,,
1945,594,593,2,32768,5633,5634,,,,,,
1949,607,606,2,32768,5498,,,,,,,
1953,620,619,2,32768,5634,,,,,,,
1957,633,632,2,32768,5498,5499,5500,,,,,
1961,646,645,2,32768,5633,5634,,,,,,
1965,659,658,2,32768,5498,,,,,,,
1969,672,671,2,32768,5634,,,,,,,
1972,542,1905,2,32768,580,,,,,,,
1974,543,1906,1,16,1905,,,,,,,
1975,543,1906,1,16,1905,,,,,,,
1977,544,1907,2,32768,580,,,,,,,
1978,544,1907,2,32768,580,,,,,,,
1981,545,1908,2,32768,606,,,,,,,
1983,546,1909,1,16,1908,,,,,,,
1984,546,1909,1,16,1908,,,,,,,
1986,547,1910,2,32768,606,,,,,,,
1987,547,1910,2,32768,606,,,,,,,
1990,548,1911,2,32768,632,,,,,,,
1992,549,1912,1,16,1911,,,,,,,
1993,549,1912,1,16,1911,,,,,,,
1995,550,1913,2,32768,632,,,,,,,
1996,550,1913,2,32768,632,,,,,,,
1999,551,1914,2,32768,658,,,,,,,
2001,552,1915,1,16,1914,,,,,,,
2002,552,1915,1,16,1914,,,,,,,
2004,553,1916,2,32768,658,,,,,,,
2005,553,1916,2,32768,658,,,,,,,
2008,555,1917,2,32768,593,,,,,,,
2010,556,1918,1,16,1917,,,,,,,
2011,556,1918,1,16,1917,,,,,,,
2013,557,1919,2,32768,593,,,,,,,
2014,557,1919,2,32768,593,,,,,,,
2017,558,1920,2,32768,619,,,,,,,
2019,559,1921,1,16,1920,,,,,,,
2020,559,1921,1,16,1920,,,,,,,
2022,560,1922,2,32768,619,,,,,,,
2023,560,1922,2,32768,619,,,,,,,
2026,561,1923,2,32768,645,,,,,,,
2028,562,1924,1,16,1923,,,,,,,
2029,562,1924,1,16,1923,,,,,,,
2031,563,1925,2,32768,645,,,,,,,
2032,563,1925,2,32768,645,,,,,,,
2035,564,1926,2,32768,671,,,,,,,
2037,565,1927,1,16,1926,,,,,,,
2038,565,1927,1,16,1926,,,,,,,
2040,566,1928,2,32768,671,,,,,,,
2041,566,1928,2,32768,671,,,,,,,
2054,570,1931,1,1,3,,,,,,,
2046,5395,5498,2,16,1931,,,,,,,
5508,5396,5499,2,32768,5498,,,,,,,
5511,5397,5500,2,32768,5499,,,,,,,
5512,5397,5500,2,32768,5499,,,,,,,
2051,5513,5630,2,16,1931,,,,,,,
5639,5514,5631,2,32768,5630,,,,,,,
5643,5515,5632,2,32768,5631,,,,,,,
5647,5516,5633,2,32768,5632,,,,,,,
5648,5516,5633,2,32768,5632,,,,,,,
5653,5517,5634,2,32768,5632,,,,,,,
5654,5517,5634,2,32768,5633,,,,,,,
5655,5517,5634,2,32768,5631,,,,,,,
5656,5517,5634,2,32768,5631,,,,,,,
