link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15]
4100,1077,3,1,1,4047,4059,4071,4083,,,,,,,,,,,,
4101,1077,3,1,1,4053,4065,4077,4089,,,,,,,,,,,,
4102,1077,3,1,1,4048,4051,4054,4057,4060,4063,4066,4069,4072,4075,4078,4081,4084,4087,4090,4093
4103,1077,3,1,1,4056,4068,4080,4092,,,,,,,,,,,,
4104,1077,3,1,1,4050,4062,4074,4086,,,,,,,,,,,,
4108,1086,1085,2,16384,7839,,,,,,,,,,,,,,,
4112,1099,1098,2,16384,8014,,,,,,,,,,,,,,,
4116,1112,1111,2,16384,8194,,,,,,,,,,,,,,,
4120,1125,1124,2,16384,8371,,,,,,,,,,,,,,,
4124,1138,1137,2,16384,7839,,,,,,,,,,,,,,,
4128,1151,1150,2,16384,8015,,,,,,,,,,,,,,,
4132,1164,1163,2,16384,8194,,,,,,,,,,,,,,,
4136,1177,1176,2,16384,8369,,,,,,,,,,,,,,,
4140,1190,1189,2,16384,7836,7838,7839,,,,,,,,,,,,,
4144,1203,1202,2,16384,8013,8015,,,,,,,,,,,,,,
4148,1216,1215,2,16384,8191,8193,8194,,,,,,,,,,,,,
4152,1229,1228,2,16384,8369,8370,8371,,,,,,,,,,,,,
4156,1242,1241,2,16384,7836,,,,,,,,,,,,,,,
4160,1255,1254,2,16384,8015,,,,,,,,,,,,,,,
4164,1268,1267,2,16384,8191,,,,,,,,,,,,,,,
4168,1281,1280,2,16384,8371,,,,,,,,,,,,,,,
4171,1019,4046,2,16384,1085,,,,,,,,,,,,,,,
4173,1020,4047,1,8,4046,,,,,,,,,,,,,,,
4174,1020,4047,1,8,4046,,,,,,,,,,,,,,,
4176,1021,4048,2,16384,1085,,,,,,,,,,,,,,,
4177,1021,4048,2,16384,1085,,,,,,,,,,,,,,,
4180,1022,4049,2,16384,1137,,,,,,,,,,,,,,,
