link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
5315,1329,3,1,1,5255,5267,5279,5291,5303,,,,,,,,,,,,,,,
5316,1329,3,1,1,5250,5253,5256,5259,5262,5265,5268,5271,5274,5277,5280,5283,5286,5289,5292,5295,5298,5301,5304,5307
5317,1329,3,1,1,5249,5261,5273,5285,5297,,,,,,,,,,,,,,,
5318,1329,3,1,1,5258,5270,5282,5294,5306,,,,,,,,,,,,,,,
5319,1329,3,1,1,5252,5264,5276,5288,5300,,,,,,,,,,,,,,,
5323,1338,1337,2,14336,9076,9077,,,,,,,,,,,,,,,,,,
5327,1351,1350,2,14336,9221,,,,,,,,,,,,,,,,,,,
5331,1364,1363,2,14336,9362,,,,,,,,,,,,,,,,,,,
5335,1377,1376,2,14336,9502,,,,,,,,,,,,,,,,,,,
5339,1390,1389,2,14336,9642,,,,,,,,,,,,,,,,,,,
5343,1403,1402,2,14336,9075,,,,,,,,,,,,,,,,,,,
5347,1416,1415,2,14336,9219,,,,,,,,,,,,,,,,,,,
5351,1429,1428,2,14336,9360,,,,,,,,,,,,,,,,,,,
5355,1442,1441,2,14336,9502,,,,,,,,,,,,,,,,,,,
5359,1455,1454,2,14336,9640,,,,,,,,,,,,,,,,,,,
5363,1468,1467,2,14336,9077,,,,,,,,,,,,,,,,,,,
5367,1481,1480,2,14336,9220,9221,,,,,,,,,,,,,,,,,,
5371,1494,1493,2,14336,9360,9361,9362,,,,,,,,,,,,,,,,,
5375,1507,1506,2,14336,9500,9501,9502,,,,,,,,,,,,,,,,,
5379,1520,1519,2,14336,9640,9641,9642,,,,,,,,,,,,,,,,,
5383,1533,1532,2,14336,9077,,,,,,,,,,,,,,,,,,,
5387,1546,1545,2,14336,9221,,,,,,,,,,,,,,,,,,,
5391,1559,1558,2,14336,9360,,,,,,,,,,,,,,,,,,,
5395,1572,1571,2,14336,9502,,,,,,,,,,,,,,,,,,,
5399,1585,1584,2,14336,9640,,,,,,,,,,,,,,,,,,,
5402,1257,5248,2,14336,1337,,,,,,,,,,,,,,,,,,,
5404,1258,5249,1,7,5248,,,,,,,,,,,,,,,,,,,
5405,1258,5249,1,7,5248,,,,,,,,,,,,,,,,,,,
5407,1259,5250,2,14336,1337,,,,,,,,,,,,,,,,,,,
5408,1259,5250,2,14336,1337,,,,,,,,,,,,,,,,,,,
5411,1260,5251,2,14336,1402,,,,,,,,,,,,,,,,,,,
5413,1261,5252,1,7,5251,,,,,,,,,,,,,,,,,,,
5414,1261,5252,1,7,5251,,,,,,,,,,,,,,,,,,,
5416,1262,5253,2,14336,1402,,,,,,,,,,,,,,,,,,,
5417,1262,5253,2,14336,1402,,,,,,,,,,,,,,,,,,,
5420,1263,5254,2,14336,1467,,,,,,,,,,,,,,,,,,,
5422,1264,5255,1,7,5254,,,,,,,,,,,,,,,,,,,
5423,1264,5255,1,7,5254,,,,,,,,,,,,,,,,,,,
