link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6]
1622,677,3,1,1,1605,,,,,,
1623,677,3,1,1,1611,,,,,,
1624,677,3,1,1,1599,,,,,,
1625,677,3,1,1,1608,,,,,,
1626,677,3,1,1,1618,,,,,,
1627,677,3,1,1,1600,1603,1606,1609,1612,1615,1619
1628,677,3,1,1,1602,,,,,,
1629,677,3,1,1,1614,,,,,,
1633,682,681,2,65536,5719,,,,,,
1637,695,694,2,65536,5689,5718,,,,,
1641,708,707,2,65536,5698,5718,,,,,
1645,721,720,2,65536,5702,5716,,,,,
1649,734,733,2,65536,5711,5716,,,,,
1653,747,746,2,65536,5700,5701,5713,5714,5715,5716,
1657,760,759,2,65536,1617,,,,,,
1660,654,1598,2,65536,681,,,,,,
1662,655,1599,1,32,1598,,,,,,
1663,655,1599,1,32,1598,,,,,,
1665,656,1600,2,65536,681,,,,,,
1666,656,1600,2,65536,681,,,,,,
1669,657,1601,2,65536,694,,,,,,
1671,658,1602,1,32,1601,,,,,,
1672,658,1602,1,32,1601,,,,,,
1674,659,1603,2,65536,694,,,,,,
1675,659,1603,2,65536,694,,,,,,
1678,660,1604,2,65536,707,,,,,,
1680,661,1605,1,32,1604,,,,,,
1681,661,1605,1,32,1604,,,,,,
1683,662,1606,2,65536,707,,,,,,
1684,662,1606,2,65536,707,,,,,,
1687,663,1607,2,65536,720,,,,,,
1689,664,1608,1,32,1607,,,,,,
1690,664,1608,1,32,1607,,,,,,
1692,665,1609,2,65536,720,,,,,,
1693,665,1609,2,65536,720,,,,,,
1696,666,1610,2,65536,733,,,,,,
1698,667,1611,1,32,1610,,,,,,
1699,667,1611,1,32,1610,,,,,,
1701,668,1612,2,65536,733,,,,,,
1702,668,1612,2,65536,733,,,,,,
1705,669,1613,2,65536,746,,,,,,
1707,670,1614,1,32,1613,,,,,,
1708,670,1614,1,32,1613,,,,,,
1710,671,1615,2,65536,746,,,,,,
1711,671,1615,2,65536,746,,,,,,
1725,673,1617,1,32,1620,,,,,,
1727,674,1618,1,32,1617,,,,,,
1728,674,1618,1,32,1617,,,,,,
1730,675,1619,2,65536,1617,,,,,,
1732,676,1620,1,1,3,,,,,,
1718,5073,5688,2,65536,759,,,,,,
5728,5074,5689,2,65536,5688,,,,,,
5729,5074,5689,2,65536,5688,,,,,,
5733,5075,5690,2,65536,5689,,,,,,
5739,5076,5691,2,65536,5690,,,,,,
5741,5077,5692,2,65536,5691,,,,,,
5742,5077,5692,2,65536,5691,,,,,,
5743,5077,5692,2,65536,5691,,,,,,
5744,5077,5692,2,65536,5691,,,,,,
5745,5077,5692,2,65536,5691,,,,,,
5752,5078,5693,2,65536,5690,,,,,,
5753,5078,5693,2,65536,5692,,,,,,
5758,5079,5694,2,65536,5693,,,,,,
5763,5080,5695,2,65536,5694,,,,,,
5764,5080,5695,2,65536,5694,,,,,,
5765,5080,5695,2,65536,5694,,,,,,
5766,5080,5695,2,65536,5693,,,,,,
5768,5081,5696,2,65536,5694,5695,,,,,
5769,5081,5696,2,65536,5693,,,,,,
5770,5081,5696,2,65536,5693,,,,,,
5771,5081,5696,2,65536,5695,,,,,,
5775,5082,5697,2,65536,5693,,,,,,
5776,5082,5697,2,65536,5693,,,,,,
5777,5082,5697,2,65536,5689,,,,,,
5778,5082,5697,2,65536,5695,5696,,,,,
5779,5082,5697,2,65536,5695,,,,,,
5786,5083,5698,2,65536,5688,5697,,,,,
5792,5084,5699,2,65536,5698,,,,,,
5793,5084,5699,2,65536,5698,,,,,,
5799,5085,5700,2,65536,5699,,,,,,
5800,5085,5700,2,65536,5699,,,,,,
