link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
6866,1407,3,1,1,6796,6799,6802,6805,6808,6811,6814,6817,6820,6823,6826,6829,6832,6835,6838,6841,6844,6847,6850,6853
6867,1407,3,1,1,6795,6801,6807,6813,6819,6825,6831,6837,6843,6849,,,,,,,,,,
6868,1407,3,1,1,6798,6804,6810,6816,6822,6828,6834,6840,6846,6852,,,,,,,,,,
6872,1416,1415,2,8192,6854,,,,,,,,,,,,,,,,,,,
6876,1429,1428,2,8192,6855,,,,,,,,,,,,,,,,,,,
6880,1442,1441,2,8192,6856,,,,,,,,,,,,,,,,,,,
6884,1455,1454,2,8192,6857,,,,,,,,,,,,,,,,,,,
6888,1468,1467,2,8192,6858,,,,,,,,,,,,,,,,,,,
6892,1481,1480,2,8192,6859,,,,,,,,,,,,,,,,,,,
6896,1494,1493,2,8192,6860,,,,,,,,,,,,,,,,,,,
6900,1507,1506,2,8192,6861,,,,,,,,,,,,,,,,,,,
6904,1520,1519,2,8192,6862,,,,,,,,,,,,,,,,,,,
6908,1533,1532,2,8192,6863,,,,,,,,,,,,,,,,,,,
6912,1546,1545,2,8192,6854,,,,,,,,,,,,,,,,,,,
6916,1559,1558,2,8192,6855,,,,,,,,,,,,,,,,,,,
6920,1572,1571,2,8192,6856,,,,,,,,,,,,,,,,,,,
6924,1585,1584,2,8192,6857,,,,,,,,,,,,,,,,,,,
6928,1598,1597,2,8192,6858,,,,,,,,,,,,,,,,,,,
6932,1611,1610,2,8192,6859,,,,,,,,,,,,,,,,,,,
6936,1624,1623,2,8192,6860,,,,,,,,,,,,,,,,,,,
6940,1637,1636,2,8192,6861,,,,,,,,,,,,,,,,,,,
6944,1650,1649,2,8192,6862,,,,,,,,,,,,,,,,,,,
6948,1663,1662,2,8192,6863,,,,,,,,,,,,,,,,,,,
6951,1325,6794,2,8192,1415,,,,,,,,,,,,,,,,,,,
6953,1326,6795,1,4,6794,,,,,,,,,,,,,,,,,,,
6954,1326,6795,1,4,6794,,,,,,,,,,,,,,,,,,,
6956,1327,6796,2,8192,1415,,,,,,,,,,,,,,,,,,,
6957,1327,6796,2,8192,1415,,,,,,,,,,,,,,,,,,,
6960,1328,6797,2,8192,1545,,,,,,,,,,,,,,,,,,,
6962,1329,6798,1,4,6797,,,,,,,,,,,,,,,,,,,
6963,1329,6798,1,4,6797,,,,,,,,,,,,,,,,,,,
6965,1330,6799,2,8192,1545,,,,,,,,,,,,,,,,,,,
6966,1330,6799,2,8192,1545,,,,,,,,,,,,,,,,,,,
6969,1332,6800,2,8192,1428,,,,,,,,,,,,,,,,,,,
6971,1333,6801,1,4,6800,,,,,,,,,,,,,,,,,,,
6972,1333,6801,1,4,6800,,,,,,,,,,,,,,,,,,,
6974,1334,6802,2,8192,1428,,,,,,,,,,,,,,,,,,,
6975,1334,6802,2,8192,1428,,,,,,,,,,,,,,,,,,,
6978,1335,6803,2,8192,1558,,,,,,,,,,,,,,,,,,,
6980,1336,6804,1,4,6803,,,,,,,,,,,,,,,,,,,
6981,1336,6804,1,4,6803,,,,,,,,,,,,,,,,,,,
6983,1337,6805,2,8192,1558,,,,,,,,,,,,,,,,,,,
6984,1337,6805,2,8192,1558,,,,,,,,,,,,,,,,,,,
6987,1339,6806,2,8192,1441,,,,,,,,,,,,,,,,,,,
6989,1340,6807,1,4,6806,,,,,,,,,,,,,,,,,,,
6990,1340,6807,1,4,6806,,,,,,,,,,,,,,,,,,,
6992,1341,6808,2,8192,1441,,,,,,,,,,,,,,,,,,,
6993,1341,6808,2,8192,1441,,,,,,,,,,,,,,,,,,,
6996,1342,6809,2,8192,1571,,,,,,,,,,,,,,,,,,,
6998,1343,6810,1,4,6809,,,,,,,,,,,,,,,,,,,
6999,1343,6810,1,4,6809,,,,,,,,,,,,,,,,,,,
7001,1344,6811,2,8192,1571,,,,,,,,,,,,,,,,,,,
7002,1344,6811,2,8192,1571,,,,,,,,,,,,,,,,,,,
7005,1346,6812,2,8192,1454,,,,,,,,,,,,,,,,,,,
7007,1347,6813,1,4,6812,,,,,,,,,,,,,,,,,,,
7008,1347,6813,1,4,6812,,,,,,,,,,,,,,,,,,,
7010,1348,6814,2,8192,1454,,,,,,,,,,,,,,,,,,,
7011,1348,6814,2,8192,1454,,,,,,,,,,,,,,,,,,,
7014,1349,6815,2,8192,1584,,,,,,,,,,,,,,,,,,,
7016,1350,6816,1,4,6815,,,,,,,,,,,,,,,,,,,
7017,1350,6816,1,4,6815,,,,,,,,,,,,,,,,,,,
7019,1351,6817,2,8192,1584,,,,,,,,,,,,,,,,,,,
7020,1351,6817,2,8192,1584,,,,,,,,,,,,,,,,,,,
7023,1353,6818,2,8192,1467,,,,,,,,,,,,,,,,,,,
7025,1354,6819,1,4,6818,,,,,,,,,,,,,,,,,,,
7026,1354,6819,1,4,6818,,,,,,,,,,,,,,,,,,,
7028,1355,6820,2,8192,1467,,,,,,,,,,,,,,,,,,,
7029,1355,6820,2,8192,1467,,,,,,,,,,,,,,,,,,,
7032,1356,6821,2,8192,1597,,,,,,,,,,,,,,,,,,,
7034,1357,6822,1,4,6821,,,,,,,,,,,,,,,,,,,
7035,1357,6822,1,4,6821,,,,,,,,,,,,,,,,,,,
7037,1358,6823,2,8192,1597,,,,,,,,,,,,,,,,,,,
7038,1358,6823,2,8192,1597,,,,,,,,,,,,,,,,,,,
7041,1360,6824,2,8192,1480,,,,,,,,,,,,,,,,,,,
7043,1361,6825,1,4,6824,,,,,,,,,,,,,,,,,,,
7044,1361,6825,1,4,6824,,,,,,,,,,,,,,,,,,,
7046,1362,6826,2,8192,1480,,,,,,,,,,,,,,,,,,,
7047,1362,6826,2,8192,1480,,,,,,,,,,,,,,,,,,,
7050,1363,6827,2,8192,1610,,,,,,,,,,,,,,,,,,,
7052,1364,6828,1,4,6827,,,,,,,,,,,,,,,,,,,
7053,1364,6828,1,4,6827,,,,,,,,,,,,,,,,,,,
7055,1365,6829,2,8192,1610,,,,,,,,,,,,,,,,,,,
7056,1365,6829,2,8192,1610,,,,,,,,,,,,,,,,,,,
7059,1367,6830,2,8192,1493,,,,,,,,,,,,,,,,,,,
7061,1368,6831,1,4,6830,,,,,,,,,,,,,,,,,,,
7062,1368,6831,1,4,6830,,,,,,,,,,,,,,,,,,,
7064,1369,6832,2,8192,1493,,,,,,,,,,,,,,,,,,,
7065,1369,6832,2,8192,1493,,,,,,,,,,,,,,,,,,,
7068,1370,6833,2,8192,1623,,,,,,,,,,,,,,,,,,,
7070,1371,6834,1,4,6833,,,,,,,,,,,,,,,,,,,
7071,1371,6834,1,4,6833,,,,,,,,,,,,,,,,,,,
7073,1372,6835,2,8192,1623,,,,,,,,,,,,,,,,,,,
7074,1372,6835,2,8192,1623,,,,,,,,,,,,,,,,,,,
7077,1374,6836,2,8192,1506,,,,,,,,,,,,,,,,,,,
7079,1375,6837,1,4,6836,,,,,,,,,,,,,,,,,,,
7080,1375,6837,1,4,6836,,,,,,,,,,,,,,,,,,,
7082,1376,6838,2,8192,1506,,,,,,,,,,,,,,,,,,,
7083,1376,6838,2,8192,1506,,,,,,,,,,,,,,,,,,,
7086,1377,6839,2,8192,1636,,,,,,,,,,,,,,,,,,,
7088,1378,6840,1,4,6839,,,,,,,,,,,,,,,,,,,
7089,1378,6840,1,4,6839,,,,,,,,,,,,,,,,,,,
7091,1379,6841,2,8192,1636,,,,,,,,,,,,,,,,,,,
7092,1379,6841,2,8192,1636,,,,,,,,,,,,,,,,,,,
7095,1381,6842,2,8192,1519,,,,,,,,,,,,,,,,,,,
7097,1382,6843,1,4,6842,,,,,,,,,,,,,,,,,,,
7098,1382,6843,1,4,6842,,,,,,,,,,,,,,,,,,,
7100,1383,6844,2,8192,1519,,,,,,,,,,,,,,,,,,,
7101,1383,6844,2,8192,1519,,,,,,,,,,,,,,,,,,,
7104,1384,6845,2,8192,1649,,,,,,,,,,,,,,,,,,,
7106,1385,6846,1,4,6845,,,,,,,,,,,,,,,,,,,
7107,1385,6846,1,4,6845,,,,,,,,,,,,,,,,,,,
7109,1386,6847,2,8192,1649,,,,,,,,,,,,,,,,,,,
