link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6]
1722,478,3,1,1,1709,,,,,,
1723,478,3,1,1,1702,1703,1705,1706,1710,1713,1719
1724,478,3,1,1,1704,,,,,,
1725,478,3,1,1,1712,,,,,,
1726,478,3,1,1,1718,,,,,,
1727,478,3,1,1,1701,,,,,,
1731,483,482,2,8192,1715,,,,,,
1735,496,495,2,8192,1715,,,,,,
1739,527,526,2,1024,1717,,,,,,
1740,530,526,2,4096,1707,,,,,,
1744,547,546,2,8192,1715,,,,,,
1748,560,559,2,8192,1715,,,,,,
1752,591,590,2,1048576,1714,,,,,,
1756,604,603,2,4096,1707,,,,,,
1760,614,613,2,1048576,1716,,,,,,
1764,627,626,2,1048576,1716,,,,,,
1768,637,636,2,1048576,1714,,,,,,
1771,454,1701,2,8,482,,,,,,
1773,455,1702,1,1,1701,,,,,,
1775,456,1703,2,8,482,,,,,,
1776,456,1703,2,8,482,,,,,,
1779,457,1704,2,8,495,,,,,,
1781,458,1705,1,1,1704,,,,,,
1783,459,1706,2,8,495,,,,,,
1784,459,1706,2,8,495,,,,,,
1787,461,1707,2,4096,526,,,,,,
1788,461,1707,2,4096,526,,,,,,
1789,461,1707,2,4096,526,,,,,,
1792,463,1708,2,64,546,,,,,,
1794,464,1709,1,4,1708,,,,,,
1795,464,1709,1,4,1708,,,,,,
1797,465,1710,2,64,546,,,,,,
1798,465,1710,2,64,546,,,,,,
1801,466,1711,2,8192,559,,,,,,
1803,467,1712,1,1024,1711,,,,,,
1804,467,1712,1,1024,1711,,,,,,
1806,468,1713,2,8192,559,,,,,,
1807,468,1713,2,8192,559,,,,,,
1810,470,1714,2,1048576,590,603,,,,,
1811,470,1714,2,1048576,590,603,,,,,
1812,470,1714,2,1048576,590,603,,,,,
1817,471,1715,2,8192,613,626,,,,,
1818,471,1715,2,8192,613,626,,,,,
1819,471,1715,2,8192,613,626,,,,,
1822,473,1716,2,1048576,636,,,,,,
1823,473,1716,2,1048576,636,,,,,,
1824,473,1716,2,1048576,636,,,,,,
1829,474,1717,1,128,1720,,,,,,
1831,475,1718,1,128,1717,,,,,,
1832,475,1718,1,128,1717,,,,,,
1834,476,1719,2,1024,1717,,,,,,
1836,477,1720,1,1,3,,,,,,
