link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28]
4758,789,3,1,1,4707,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4759,789,3,1,1,4700,4701,4703,4704,4708,4711,4725,4728,4729,4731,4732,4734,4735,4737,4738,4740,4741,4742,4743,4744,4745,4746,4748,4749,4750,4751,4752,4753,4754
4760,789,3,1,1,4699,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4761,789,3,1,1,4702,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4762,789,3,1,1,4710,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4763,789,3,1,1,4724,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4769,801,793,2,4096,4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4770,801,793,2,512,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4776,834,826,2,4096,4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4777,834,826,2,512,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4781,878,877,2,1024,4723,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4782,881,877,2,4096,4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4788,905,897,2,4096,4713,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4789,905,897,2,512,4714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4800,988,987,2,524288,9820,9823,,,,,,,,,,,,,,,,,,,,,,,,,,,
4804,1001,1000,2,4096,4705,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4808,1011,1010,2,131072,9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4814,1046,1023,2,16384,10098,10222,10346,,,,,,,,,,,,,,,,,,,,,,,,,,
4815,1046,1023,2,131072,9973,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4819,1091,1090,2,131072,10471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4825,1126,1103,2,16384,10596,10720,10844,,,,,,,,,,,,,,,,,,,,,,,,,,
4826,1126,1103,2,131072,10471,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4837,752,4699,2,8,793,,,,,,,,,,,,,,,,,,,,,,,,,,,,
