link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26]
5335,833,3,1,1,5293,,,,,,,,,,,,,,,,,,,,,,,,,,
5336,833,3,1,1,5283,5284,5286,5287,5291,5294,5308,5311,5312,5313,5314,5315,5317,5318,5319,5320,5321,5323,5324,5325,5326,5327,5329,5330,5331,5332,5333
5337,833,3,1,1,5285,,,,,,,,,,,,,,,,,,,,,,,,,,
5338,833,3,1,1,5282,,,,,,,,,,,,,,,,,,,,,,,,,,
5339,833,3,1,1,5307,,,,,,,,,,,,,,,,,,,,,,,,,,
5340,833,3,1,1,5290,,,,,,,,,,,,,,,,,,,,,,,,,,
5346,854,837,2,208,10102,10225,10348,10471,,,,,,,,,,,,,,,,,,,,,,,
5347,854,837,2,1664,9979,,,,,,,,,,,,,,,,,,,,,,,,,,
5353,911,894,2,208,10102,10225,10348,10471,,,,,,,,,,,,,,,,,,,,,,,
5354,911,894,2,1664,9979,,,,,,,,,,,,,,,,,,,,,,,,,,
5358,970,969,2,1024,5306,,,,,,,,,,,,,,,,,,,,,,,,,,
5359,973,969,2,4096,5288,,,,,,,,,,,,,,,,,,,,,,,,,,
5365,1006,989,2,208,10102,10225,10348,10471,,,,,,,,,,,,,,,,,,,,,,,
5366,1006,989,2,1664,9979,,,,,,,,,,,,,,,,,,,,,,,,,,
5377,1122,1121,2,212992,9838,9843,,,,,,,,,,,,,,,,,,,,,,,,,
5381,1135,1134,2,4096,5288,,,,,,,,,,,,,,,,,,,,,,,,,,
5385,1145,1144,2,212992,5301,,,,,,,,,,,,,,,,,,,,,,,,,,
5389,1158,1157,2,212992,5301,,,,,,,,,,,,,,,,,,,,,,,,,,
5393,1168,1167,2,212992,5302,,,,,,,,,,,,,,,,,,,,,,,,,,
5397,1181,1180,2,212992,5302,,,,,,,,,,,,,,,,,,,,,,,,,,
5401,1191,1190,2,212992,5303,,,,,,,,,,,,,,,,,,,,,,,,,,
5405,1204,1203,2,212992,5303,,,,,,,,,,,,,,,,,,,,,,,,,,
5409,1214,1213,2,212992,5304,,,,,,,,,,,,,,,,,,,,,,,,,,
5413,1227,1226,2,212992,5304,,,,,,,,,,,,,,,,,,,,,,,,,,
5417,1237,1236,2,212992,5305,,,,,,,,,,,,,,,,,,,,,,,,,,
5421,1250,1249,2,212992,5305,,,,,,,,,,,,,,,,,,,,,,,,,,
5425,1260,1259,2,212992,9839,,,,,,,,,,,,,,,,,,,,,,,,,,
5429,1273,1272,2,212992,9839,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,1286,1285,2,212992,9840,,,,,,,,,,,,,,,,,,,,,,,,,,
5437,1299,1298,2,212992,9840,,,,,,,,,,,,,,,,,,,,,,,,,,
5441,1312,1311,2,212992,9838,,,,,,,,,,,,,,,,,,,,,,,,,,
5444,795,5282,2,8,837,,,,,,,,,,,,,,,,,,,,,,,,,,
5446,796,5283,1,1,5282,,,,,,,,,,,,,,,,,,,,,,,,,,
5448,797,5284,2,8,837,,,,,,,,,,,,,,,,,,,,,,,,,,
5449,797,5284,2,8,837,,,,,,,,,,,,,,,,,,,,,,,,,,
5452,798,5285,2,8,894,,,,,,,,,,,,,,,,,,,,,,,,,,
5454,799,5286,1,1,5285,,,,,,,,,,,,,,,,,,,,,,,,,,
5456,800,5287,2,8,894,,,,,,,,,,,,,,,,,,,,,,,,,,
5457,800,5287,2,8,894,,,,,,,,,,,,,,,,,,,,,,,,,,
5460,802,5288,2,4096,969,,,,,,,,,,,,,,,,,,,,,,,,,,
5461,802,5288,2,4096,969,,,,,,,,,,,,,,,,,,,,,,,,,,
5462,802,5288,2,4096,969,,,,,,,,,,,,,,,,,,,,,,,,,,
5465,804,5289,2,64,989,,,,,,,,,,,,,,,,,,,,,,,,,,
5467,805,5290,1,4,5289,,,,,,,,,,,,,,,,,,,,,,,,,,
5468,805,5290,1,4,5289,,,,,,,,,,,,,,,,,,,,,,,,,,
5470,806,5291,2,64,989,,,,,,,,,,,,,,,,,,,,,,,,,,
5471,806,5291,2,64,989,,,,,,,,,,,,,,,,,,,,,,,,,,
5474,807,5292,2,8192,9010,9106,9202,9298,9394,,,,,,,,,,,,,,,,,,,,,,
5476,808,5293,1,1024,5292,,,,,,,,,,,,,,,,,,,,,,,,,,
5477,808,5293,1,1024,5292,,,,,,,,,,,,,,,,,,,,,,,,,,
5479,809,5294,2,8192,9010,9106,9202,9298,9394,,,,,,,,,,,,,,,,,,,,,,
5480,809,5294,2,8192,9010,9106,9202,9298,9394,,,,,,,,,,,,,,,,,,,,,,
5527,824,5301,2,212992,1259,,,,,,,,,,,,,,,,,,,,,,,,,,
5528,824,5301,2,212992,1259,,,,,,,,,,,,,,,,,,,,,,,,,,
5529,824,5301,2,212992,1259,,,,,,,,,,,,,,,,,,,,,,,,,,
5532,825,5302,2,212992,1272,,,,,,,,,,,,,,,,,,,,,,,,,,
5533,825,5302,2,212992,1272,,,,,,,,,,,,,,,,,,,,,,,,,,
5534,825,5302,2,212992,1272,,,,,,,,,,,,,,,,,,,,,,,,,,
5537,826,5303,2,212992,1285,,,,,,,,,,,,,,,,,,,,,,,,,,
5538,826,5303,2,212992,1285,,,,,,,,,,,,,,,,,,,,,,,,,,
5539,826,5303,2,212992,1285,,,,,,,,,,,,,,,,,,,,,,,,,,
5542,827,5304,2,212992,1298,,,,,,,,,,,,,,,,,,,,,,,,,,
5543,827,5304,2,212992,1298,,,,,,,,,,,,,,,,,,,,,,,,,,
5544,827,5304,2,212992,1298,,,,,,,,,,,,,,,,,,,,,,,,,,
5547,828,5305,2,212992,1311,,,,,,,,,,,,,,,,,,,,,,,,,,
5548,828,5305,2,212992,1311,,,,,,,,,,,,,,,,,,,,,,,,,,
5549,828,5305,2,212992,1311,,,,,,,,,,,,,,,,,,,,,,,,,,
5554,829,5306,1,128,5309,,,,,,,,,,,,,,,,,,,,,,,,,,
5556,830,5307,1,128,5306,,,,,,,,,,,,,,,,,,,,,,,,,,
5557,830,5307,1,128,5306,,,,,,,,,,,,,,,,,,,,,,,,,,
5559,831,5308,2,1024,5306,,,,,,,,,,,,,,,,,,,,,,,,,,
5561,832,5309,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,
5575,839,5311,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5576,839,5311,2,1664,10595,,,,,,,,,,,,,,,,,,,,,,,,,,
5578,842,5312,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5579,842,5312,2,1664,10595,,,,,,,,,,,,,,,,,,,,,,,,,,
5581,845,5313,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5582,845,5313,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5584,848,5314,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5585,848,5314,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5587,851,5315,2,1664,10596,,,,,,,,,,,,,,,,,,,,,,,,,,
5588,851,5315,2,1664,10595,,,,,,,,,,,,,,,,,,,,,,,,,,
5602,896,5317,2,1664,10722,,,,,,,,,,,,,,,,,,,,,,,,,,
5603,896,5317,2,1664,10722,,,,,,,,,,,,,,,,,,,,,,,,,,
5605,899,5318,2,1664,10722,,,,,,,,,,,,,,,,,,,,,,,,,,
5606,899,5318,2,1664,10722,,,,,,,,,,,,,,,,,,,,,,,,,,
