link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
2602,586,3,1,1,2572,,,,,,,,,,,,,
2603,586,3,1,1,2569,,,,,,,,,,,,,
2604,586,3,1,1,2589,,,,,,,,,,,,,
2605,586,3,1,1,2577,,,,,,,,,,,,,
2606,586,3,1,1,2580,,,,,,,,,,,,,
2607,586,3,1,1,2570,2571,2573,2574,2578,2581,2590,2593,2594,2595,2596,2597,2598,2599
2611,591,590,2,8192,2583,,,,,,,,,,,,,
2615,604,603,2,8192,2583,,,,,,,,,,,,,
2619,638,634,2,4096,2575,,,,,,,,,,,,,
2620,635,634,2,1024,2588,,,,,,,,,,,,,
2624,655,654,2,8192,2583,,,,,,,,,,,,,
2628,668,667,2,8192,2583,,,,,,,,,,,,,
2632,699,698,2,1048576,6686,6687,,,,,,,,,,,,
2636,712,711,2,4096,2575,,,,,,,,,,,,,
2640,722,721,2,262144,6810,,,,,,,,,,,,,
2646,757,734,2,32768,6925,7039,7153,,,,,,,,,,,
2647,757,734,2,262144,6810,,,,,,,,,,,,,
2654,558,2569,2,8,590,,,,,,,,,,,,,
2656,559,2570,1,1,2569,,,,,,,,,,,,,
2658,560,2571,2,8,590,,,,,,,,,,,,,
2659,560,2571,2,8,590,,,,,,,,,,,,,
2662,561,2572,2,8,603,,,,,,,,,,,,,
2664,562,2573,1,1,2572,,,,,,,,,,,,,
2666,563,2574,2,8,603,,,,,,,,,,,,,
2667,563,2574,2,8,603,,,,,,,,,,,,,
2670,565,2575,2,4096,634,,,,,,,,,,,,,
2671,565,2575,2,4096,634,,,,,,,,,,,,,
2672,565,2575,2,4096,634,,,,,,,,,,,,,
2675,567,2576,2,64,654,,,,,,,,,,,,,
2677,568,2577,1,4,2576,,,,,,,,,,,,,
2678,568,2577,1,4,2576,,,,,,,,,,,,,
2680,569,2578,2,64,654,,,,,,,,,,,,,
2681,569,2578,2,64,654,,,,,,,,,,,,,
2684,570,2579,2,8192,667,,,,,,,,,,,,,
2686,571,2580,1,1024,2579,,,,,,,,,,,,,
2687,571,2580,1,1024,2579,,,,,,,,,,,,,
2689,572,2581,2,8192,667,,,,,,,,,,,,,
2690,572,2581,2,8192,667,,,,,,,,,,,,,
2700,575,2583,2,8192,721,734,,,,,,,,,,,,
2701,575,2583,2,8192,721,734,,,,,,,,,,,,
2702,575,2583,2,8192,721,734,,,,,,,,,,,,
2724,582,2588,1,128,2591,,,,,,,,,,,,,
2726,583,2589,1,128,2588,,,,,,,,,,,,,
2727,583,2589,1,128,2588,,,,,,,,,,,,,
2729,584,2590,2,1024,2588,,,,,,,,,,,,,
2731,585,2591,1,1,3,,,,,,,,,,,,,
2749,736,2593,2,262144,7339,,,,,,,,,,,,,
2750,736,2593,2,262144,7339,,,,,,,,,,,,,
2752,739,2594,2,262144,7339,,,,,,,,,,,,,
2753,739,2594,2,262144,7339,,,,,,,,,,,,,
2755,742,2595,2,262144,7339,,,,,,,,,,,,,
2756,742,2595,2,262144,7339,,,,,,,,,,,,,
2758,745,2596,2,262144,7339,,,,,,,,,,,,,
2759,745,2596,2,262144,7339,,,,,,,,,,,,,
2761,748,2597,2,262144,7338,,,,,,,,,,,,,
2762,748,2597,2,262144,7337,,,,,,,,,,,,,
2764,751,2598,2,262144,7338,,,,,,,,,,,,,
2765,751,2598,2,262144,7337,,,,,,,,,,,,,
2767,754,2599,2,262144,7337,,,,,,,,,,,,,
2768,754,2599,2,262144,7337,,,,,,,,,,,,,
6235,6126,6124,2,1048576,6686,,,,,,,,,,,,,
6592,6126,6124,2,1048576,6686,,,,,,,,,,,,,
6347,6238,6236,2,1048576,6686,,,,,,,,,,,,,
6593,6238,6236,2,1048576,6686,,,,,,,,,,,,,
6459,6350,6348,2,1048576,6686,,,,,,,,,,,,,
6594,6350,6348,2,1048576,6686,,,,,,,,,,,,,
6571,6462,6460,2,1048576,6686,,,,,,,,,,,,,
2695,6595,6686,2,1048576,698,711,,,,,,,,,,,,
2694,6596,6687,2,1048576,698,711,,,,,,,,,,,,
2693,6596,6687,2,1048576,698,711,,,,,,,,,,,,
6698,6596,6687,2,1048576,6686,,,,,,,,,,,,,
2707,6699,6809,2,262144,7493,,,,,,,,,,,,,
2705,6699,6809,2,262144,7492,,,,,,,,,,,,,
2706,6700,6810,2,262144,7493,,,,,,,,,,,,,
6814,6700,6810,2,262144,6809,,,,,,,,,,,,,
