link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
4601,688,3,1,1,4555,,,,,,,,,,,,,,,,,,,
4602,688,3,1,1,4578,,,,,,,,,,,,,,,,,,,
4603,688,3,1,1,4556,4557,4560,4579,4583,4584,4585,4586,4587,4588,4589,4590,4592,4593,4594,4595,4596,4597,4598,4599
4604,688,3,1,1,4559,,,,,,,,,,,,,,,,,,,
4608,693,692,2,4096,4577,,,,,,,,,,,,,,,,,,,
4612,706,705,2,8192,4553,,,,,,,,,,,,,,,,,,,
4616,716,715,2,8192,4553,,,,,,,,,,,,,,,,,,,
4629,915,889,2,16384,9972,10165,10358,10555,10748,10937,11130,,,,,,,,,,,,,
4630,915,889,2,131072,9775,,,,,,,,,,,,,,,,,,,
4633,656,4553,2,8192,692,705,,,,,,,,,,,,,,,,,,
4634,656,4553,2,8192,692,705,,,,,,,,,,,,,,,,,,
4635,656,4553,2,8192,692,705,,,,,,,,,,,,,,,,,,
4638,657,4554,2,8192,8176,8314,8452,8590,8728,8866,9004,9142,,,,,,,,,,,,
4640,658,4555,1,1024,4554,,,,,,,,,,,,,,,,,,,
4641,658,4555,1,1024,4554,,,,,,,,,,,,,,,,,,,
4643,659,4556,2,8192,8176,8314,8452,8590,8728,8866,9004,9142,,,,,,,,,,,,
4644,659,4556,2,8192,8176,8314,8452,8590,8728,8866,9004,9142,,,,,,,,,,,,
4646,661,4557,1,1024,4559,,,,,,,,,,,,,,,,,,,
4649,662,4558,2,8192,889,,,,,,,,,,,,,,,,,,,
4652,663,4559,1,1024,4558,,,,,,,,,,,,,,,,,,,
4653,663,4559,1,1024,4558,,,,,,,,,,,,,,,,,,,
4655,664,4560,2,8192,889,,,,,,,,,,,,,,,,,,,
4656,664,4560,2,8192,889,,,,,,,,,,,,,,,,,,,
4682,676,4569,1,16384,11484,,,,,,,,,,,,,,,,,,,
4683,676,4569,1,16384,11485,,,,,,,,,,,,,,,,,,,
4684,676,4569,1,16384,11486,,,,,,,,,,,,,,,,,,,
4686,677,4570,1,16384,11485,,,,,,,,,,,,,,,,,,,
4687,677,4570,1,16384,11486,,,,,,,,,,,,,,,,,,,
4688,677,4570,1,16384,11484,,,,,,,,,,,,,,,,,,,
4690,678,4571,1,16384,11485,,,,,,,,,,,,,,,,,,,
4691,678,4571,1,16384,11486,,,,,,,,,,,,,,,,,,,
4692,678,4571,1,16384,11483,,,,,,,,,,,,,,,,,,,
4694,679,4572,1,16384,11485,,,,,,,,,,,,,,,,,,,
4695,679,4572,1,16384,11486,,,,,,,,,,,,,,,,,,,
4696,679,4572,1,16384,11483,,,,,,,,,,,,,,,,,,,
4698,680,4573,1,16384,11483,,,,,,,,,,,,,,,,,,,
4699,680,4573,1,16384,11485,,,,,,,,,,,,,,,,,,,
4700,680,4573,1,16384,11486,,,,,,,,,,,,,,,,,,,
4702,681,4574,1,16384,11483,,,,,,,,,,,,,,,,,,,
4703,681,4574,1,16384,11485,,,,,,,,,,,,,,,,,,,
4704,681,4574,1,16384,11486,,,,,,,,,,,,,,,,,,,
4706,682,4575,1,16384,11484,,,,,,,,,,,,,,,,,,,
4707,682,4575,1,16384,11485,,,,,,,,,,,,,,,,,,,
4708,682,4575,1,16384,11486,,,,,,,,,,,,,,,,,,,
4710,683,4576,1,16384,11485,,,,,,,,,,,,,,,,,,,
4711,683,4576,1,16384,11484,,,,,,,,,,,,,,,,,,,
4712,683,4576,1,16384,11486,,,,,,,,,,,,,,,,,,,
4717,684,4577,1,512,4580,,,,,,,,,,,,,,,,,,,
4719,685,4578,1,512,4577,,,,,,,,,,,,,,,,,,,
4720,685,4578,1,512,4577,,,,,,,,,,,,,,,,,,,
4722,686,4579,2,4096,4577,,,,,,,,,,,,,,,,,,,
4724,687,4580,1,1,3,,,,,,,,,,,,,,,,,,,
4771,801,4583,2,131072,11803,,,,,,,,,,,,,,,,,,,
4772,801,4583,2,131072,11804,,,,,,,,,,,,,,,,,,,
4774,804,4584,2,131072,11803,,,,,,,,,,,,,,,,,,,
4775,804,4584,2,131072,11804,,,,,,,,,,,,,,,,,,,
4777,807,4585,2,131072,11805,,,,,,,,,,,,,,,,,,,
4778,807,4585,2,131072,11803,,,,,,,,,,,,,,,,,,,
4780,810,4586,2,131072,11805,,,,,,,,,,,,,,,,,,,
4781,810,4586,2,131072,11803,,,,,,,,,,,,,,,,,,,
4783,813,4587,2,131072,11805,,,,,,,,,,,,,,,,,,,
4784,813,4587,2,131072,11803,,,,,,,,,,,,,,,,,,,
4786,816,4588,2,131072,11803,,,,,,,,,,,,,,,,,,,
4787,816,4588,2,131072,11805,,,,,,,,,,,,,,,,,,,
4789,819,4589,2,131072,11805,,,,,,,,,,,,,,,,,,,
4790,819,4589,2,131072,11804,,,,,,,,,,,,,,,,,,,
4792,822,4590,2,131072,11804,,,,,,,,,,,,,,,,,,,
4793,822,4590,2,131072,11805,,,,,,,,,,,,,,,,,,,
4813,891,4592,2,131072,12094,,,,,,,,,,,,,,,,,,,
4814,891,4592,2,131072,12094,,,,,,,,,,,,,,,,,,,
4816,894,4593,2,131072,12094,,,,,,,,,,,,,,,,,,,
4817,894,4593,2,131072,12094,,,,,,,,,,,,,,,,,,,
4819,897,4594,2,131072,12093,,,,,,,,,,,,,,,,,,,
4820,897,4594,2,131072,12093,,,,,,,,,,,,,,,,,,,
4822,900,4595,2,131072,12093,,,,,,,,,,,,,,,,,,,
4823,900,4595,2,131072,12093,,,,,,,,,,,,,,,,,,,
4825,903,4596,2,131072,12094,,,,,,,,,,,,,,,,,,,
4826,903,4596,2,131072,12095,,,,,,,,,,,,,,,,,,,
4828,906,4597,2,131072,12094,,,,,,,,,,,,,,,,,,,
4829,906,4597,2,131072,12095,,,,,,,,,,,,,,,,,,,
4831,909,4598,2,131072,12095,,,,,,,,,,,,,,,,,,,
4832,909,4598,2,131072,12095,,,,,,,,,,,,,,,,,,,
4834,912,4599,2,131072,12095,,,,,,,,,,,,,,,,,,,
4835,912,4599,2,131072,12095,,,,,,,,,,,,,,,,,,,
8313,8178,8176,2,16384,9973,10166,10359,10556,10749,10938,11131,,,,,,,,,,,,,
8312,8178,8176,2,131072,9776,,,,,,,,,,,,,,,,,,,
