link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7]
3287,682,3,1,1,3264,3273,,,,,,
3288,682,3,1,1,3260,3269,,,,,,
3289,682,3,1,1,3261,3262,3265,3270,3271,3274,3280,3283
3290,682,3,1,1,3279,3282,,,,,,
3294,689,688,2,2048,3277,,,,,,,
3298,702,701,2,4096,3257,,,,,,,
3302,712,711,2,2048,3278,,,,,,,
3306,725,724,2,4096,3258,,,,,,,
3310,735,734,2,4096,3257,,,,,,,
3314,748,747,2,524288,3266,,,,,,,
3318,771,770,2,524288,3266,,,,,,,
3322,798,797,2,4096,3258,,,,,,,
3326,811,810,2,524288,3275,,,,,,,
3330,831,830,2,524288,3275,,,,,,,
3333,648,3257,2,4096,688,701,,,,,,
3334,648,3257,2,4096,688,701,,,,,,
3335,648,3257,2,4096,688,701,,,,,,
3338,649,3258,2,4096,711,724,,,,,,
3339,649,3258,2,4096,711,724,,,,,,
3340,649,3258,2,4096,711,724,,,,,,
3343,651,3259,2,4096,747,,,,,,,
3345,652,3260,1,512,3259,,,,,,,
3346,652,3260,1,512,3259,,,,,,,
3348,653,3261,2,4096,747,,,,,,,
3349,653,3261,2,4096,747,,,,,,,
3351,655,3262,1,512,3264,,,,,,,
3354,656,3263,2,4096,770,,,,,,,
3357,657,3264,1,512,3263,,,,,,,
3358,657,3264,1,512,3263,,,,,,,
3360,658,3265,2,4096,770,,,,,,,
3361,658,3265,2,4096,770,,,,,,,
3364,660,3266,2,65536,3267,,,,,,,
3366,661,3267,1,65536,734,,,,,,,
3367,661,3267,1,65536,734,,,,,,,
3368,661,3267,1,65536,734,,,,,,,
3371,662,3268,2,4096,810,,,,,,,
3373,663,3269,1,512,3268,,,,,,,
3374,663,3269,1,512,3268,,,,,,,
3376,664,3270,2,4096,810,,,,,,,
3377,664,3270,2,4096,810,,,,,,,
3379,666,3271,1,512,3273,,,,,,,
3382,667,3272,2,4096,830,,,,,,,
3385,668,3273,1,512,3272,,,,,,,
3386,668,3273,1,512,3272,,,,,,,
3388,669,3274,2,4096,830,,,,,,,
3389,669,3274,2,4096,830,,,,,,,
3392,671,3275,2,65536,3276,,,,,,,
3394,672,3276,1,65536,797,,,,,,,
3395,672,3276,1,65536,797,,,,,,,
3396,672,3276,1,65536,797,,,,,,,
3401,673,3277,1,256,3281,,,,,,,
3406,674,3278,1,256,3284,,,,,,,
3408,676,3279,1,256,3277,,,,,,,
3409,676,3279,1,256,3277,,,,,,,
3411,677,3280,2,2048,3277,,,,,,,
3413,678,3281,1,1,3,,,,,,,
3415,679,3282,1,256,3278,,,,,,,
3416,679,3282,1,256,3278,,,,,,,
3418,680,3283,2,2048,3278,,,,,,,
3420,681,3284,1,1,3,,,,,,,
