link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9]
2628,462,3,1,1,2603,2604,2607,2616,2620,2621,2622,2624,2625,2626
2629,462,3,1,1,2615,,,,,,,,,
2630,462,3,1,1,2606,,,,,,,,,
2631,462,3,1,1,2602,,,,,,,,,
2635,467,466,2,4096,2614,,,,,,,,,
2639,480,479,2,8192,2600,,,,,,,,,
2643,490,489,2,8192,2600,,,,,,,,,
2656,589,578,2,44032,2609,2610,,,,,,,,
2657,589,578,2,352256,2608,,,,,,,,,
2660,440,2600,2,8192,466,479,,,,,,,,
2661,440,2600,2,8192,466,479,,,,,,,,
2662,440,2600,2,8192,466,479,,,,,,,,
2665,441,2601,2,8192,6103,6231,6359,6487,,,,,,
2667,442,2602,1,1024,2601,,,,,,,,,
2668,442,2602,1,1024,2601,,,,,,,,,
2670,443,2603,2,8192,6103,6231,6359,6487,,,,,,
2671,443,2603,2,8192,6103,6231,6359,6487,,,,,,
2673,445,2604,1,1024,2606,,,,,,,,,
2676,446,2605,2,8192,578,,,,,,,,,
2679,447,2606,1,1024,2605,,,,,,,,,
2680,447,2606,1,1024,2605,,,,,,,,,
2682,448,2607,2,8192,578,,,,,,,,,
2683,448,2607,2,8192,578,,,,,,,,,
2686,450,2608,2,44032,2611,,,,,,,,,
2689,451,2609,2,44032,2612,,,,,,,,,
2692,452,2610,2,44032,2613,,,,,,,,,
2694,455,2611,1,44032,2618,,,,,,,,,
2695,455,2611,1,44032,2618,,,,,,,,,
2696,455,2611,1,44032,2618,,,,,,,,,
2698,456,2612,1,44032,2618,,,,,,,,,
2699,456,2612,1,44032,2618,,,,,,,,,
2700,456,2612,1,44032,2618,,,,,,,,,
2702,457,2613,1,44032,2618,,,,,,,,,
2703,457,2613,1,44032,2618,,,,,,,,,
2704,457,2613,1,44032,2618,,,,,,,,,
2709,458,2614,1,512,2617,,,,,,,,,
2711,459,2615,1,512,2614,,,,,,,,,
2712,459,2615,1,512,2614,,,,,,,,,
2714,460,2616,2,4096,2614,,,,,,,,,
2716,461,2617,1,1,3,,,,,,,,,
2726,493,2618,1,44032,489,,,,,,,,,
2727,493,2618,1,44032,489,,,,,,,,,
2728,493,2618,1,44032,489,,,,,,,,,
2735,529,2619,2,352256,6103,6231,6359,6487,,,,,,
2736,529,2619,2,352256,6103,6231,6359,6487,,,,,,
2738,530,2620,2,352256,2619,,,,,,,,,
2739,530,2620,2,352256,2619,,,,,,,,,
2741,533,2621,2,352256,2619,,,,,,,,,
2742,533,2621,2,352256,2619,,,,,,,,,
2744,536,2622,2,352256,2619,,,,,,,,,
2745,536,2622,2,352256,2619,,,,,,,,,
2752,579,2623,2,352256,578,,,,,,,,,
2753,579,2623,2,352256,578,,,,,,,,,
2755,580,2624,2,352256,2623,,,,,,,,,
2756,580,2624,2,352256,2623,,,,,,,,,
2758,583,2625,2,352256,2623,,,,,,,,,
2759,583,2625,2,352256,2623,,,,,,,,,
2761,586,2626,2,352256,2623,,,,,,,,,
2762,586,2626,2,352256,2623,,,,,,,,,
6230,6105,6103,2,44032,2610,2609,,,,,,,,
6229,6105,6103,2,352256,2608,,,,,,,,,
6672,6105,6103,2,44032,2610,2609,,,,,,,,
6673,6105,6103,2,352256,2608,,,,,,,,,
6358,6233,6231,2,44032,2610,2609,,,,,,,,
6357,6233,6231,2,352256,2608,,,,,,,,,
6674,6233,6231,2,44032,2610,2609,,,,,,,,
6675,6233,6231,2,352256,2608,,,,,,,,,
6486,6361,6359,2,44032,2610,2609,,,,,,,,
6485,6361,6359,2,352256,2608,,,,,,,,,
6676,6361,6359,2,44032,2610,2609,,,,,,,,
6677,6361,6359,2,352256,2608,,,,,,,,,
6614,6489,6487,2,44032,2610,2609,,,,,,,,
6613,6489,6487,2,352256,2608,,,,,,,,,
