link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22]
8492,1274,3,1,1,8457,,,,,,,,,,,,,,,,,,,,,,
8493,1274,3,1,1,8458,8461,8462,8463,8464,8465,8466,8467,8468,8470,8471,8472,8473,8475,8476,8477,8478,8479,8480,8481,8482,13900,14005
8494,1274,3,1,1,8419,8423,,,,,,,,,,,,,,,,,,,,,
8501,1279,1278,2,256,8456,,,,,,,,,,,,,,,,,,,,,,
8516,1424,1423,2,512,16276,16277,,,,,,,,,,,,,,,,,,,,,
8517,1427,1423,1,128,8454,,,,,,,,,,,,,,,,,,,,,,
8518,1430,1423,2,4096,8421,,,,,,,,,,,,,,,,,,,,,,
8537,1613,1612,2,1048576,14313,14318,,,,,,,,,,,,,,,,,,,,,
8541,1626,1625,2,4096,8421,,,,,,,,,,,,,,,,,,,,,,
8545,1636,1635,2,16384,8446,,,,,,,,,,,,,,,,,,,,,,
8549,1666,1665,2,16384,8442,,,,,,,,,,,,,,,,,,,,,,
8553,1696,1695,2,16384,8447,,,,,,,,,,,,,,,,,,,,,,
8557,1726,1725,2,16384,8443,,,,,,,,,,,,,,,,,,,,,,
8561,1756,1755,2,16384,8448,,,,,,,,,,,,,,,,,,,,,,
8565,1786,1785,2,16384,8444,,,,,,,,,,,,,,,,,,,,,,
8569,1816,1815,2,16384,8449,,,,,,,,,,,,,,,,,,,,,,
8573,1846,1845,2,16384,8445,,,,,,,,,,,,,,,,,,,,,,
8577,1908,1907,2,1048576,14316,,,,,,,,,,,,,,,,,,,,,,
8581,1921,1920,2,1048576,14316,,,,,,,,,,,,,,,,,,,,,,
8585,1934,1933,2,1048576,14314,14315,,,,,,,,,,,,,,,,,,,,,
8589,1947,1946,2,1048576,14315,,,,,,,,,,,,,,,,,,,,,,
8592,1212,8418,2,256,1278,12283,12433,,,,,,,,,,,,,,,,,,,,
8594,1213,8419,1,64,8418,,,,,,,,,,,,,,,,,,,,,,
8595,1213,8419,1,64,8418,,,,,,,,,,,,,,,,,,,,,,
8603,1217,8421,2,4096,1423,,,,,,,,,,,,,,,,,,,,,,
8604,1217,8421,2,4096,1423,,,,,,,,,,,,,,,,,,,,,,
8605,1217,8421,2,4096,1423,,,,,,,,,,,,,,,,,,,,,,
8608,1218,8422,2,65536,12645,12760,12875,12990,13185,13310,13435,13560,,,,,,,,,,,,,,,
8610,1219,8423,1,16384,8422,,,,,,,,,,,,,,,,,,,,,,
8611,1219,8423,1,16384,8422,,,,,,,,,,,,,,,,,,,,,,
8631,1232,8428,1,131072,8484,,,,,,,,,,,,,,,,,,,,,,
8632,1232,8428,1,131072,8483,,,,,,,,,,,,,,,,,,,,,,
8633,1232,8428,1,131072,8484,,,,,,,,,,,,,,,,,,,,,,
8634,1232,8428,1,131072,8483,,,,,,,,,,,,,,,,,,,,,,
8635,1232,8428,1,131072,8484,,,,,,,,,,,,,,,,,,,,,,
8636,1232,8428,1,131072,8483,,,,,,,,,,,,,,,,,,,,,,
8638,1233,8429,1,131072,8484,,,,,,,,,,,,,,,,,,,,,,
8639,1233,8429,1,131072,8484,,,,,,,,,,,,,,,,,,,,,,
8640,1233,8429,1,131072,8483,,,,,,,,,,,,,,,,,,,,,,
8641,1233,8429,1,131072,8483,,,,,,,,,,,,,,,,,,,,,,
8642,1233,8429,1,131072,8483,,,,,,,,,,,,,,,,,,,,,,
8643,1233,8429,1,131072,8484,,,,,,,,,,,,,,,,,,,,,,
8651,1238,8432,1,131072,8485,,,,,,,,,,,,,,,,,,,,,,
8652,1238,8432,1,131072,8485,,,,,,,,,,,,,,,,,,,,,,
8653,1238,8432,1,131072,8486,,,,,,,,,,,,,,,,,,,,,,
8654,1238,8432,1,131072,8486,,,,,,,,,,,,,,,,,,,,,,
8655,1238,8432,1,131072,8485,,,,,,,,,,,,,,,,,,,,,,
8656,1238,8432,1,131072,8486,,,,,,,,,,,,,,,,,,,,,,
8658,1239,8433,1,131072,8486,,,,,,,,,,,,,,,,,,,,,,
8659,1239,8433,1,131072,8486,,,,,,,,,,,,,,,,,,,,,,
8660,1239,8433,1,131072,8485,,,,,,,,,,,,,,,,,,,,,,
8661,1239,8433,1,131072,8485,,,,,,,,,,,,,,,,,,,,,,
8662,1239,8433,1,131072,8485,,,,,,,,,,,,,,,,,,,,,,
8663,1239,8433,1,131072,8486,,,,,,,,,,,,,,,,,,,,,,
8671,1244,8436,1,131072,8488,,,,,,,,,,,,,,,,,,,,,,
8672,1244,8436,1,131072,8487,,,,,,,,,,,,,,,,,,,,,,
8673,1244,8436,1,131072,8487,,,,,,,,,,,,,,,,,,,,,,
8674,1244,8436,1,131072,8487,,,,,,,,,,,,,,,,,,,,,,
8675,1244,8436,1,131072,8488,,,,,,,,,,,,,,,,,,,,,,
8676,1244,8436,1,131072,8488,,,,,,,,,,,,,,,,,,,,,,
8678,1245,8437,1,131072,8488,,,,,,,,,,,,,,,,,,,,,,
8679,1245,8437,1,131072,8487,,,,,,,,,,,,,,,,,,,,,,
8680,1245,8437,1,131072,8488,,,,,,,,,,,,,,,,,,,,,,
8681,1245,8437,1,131072,8487,,,,,,,,,,,,,,,,,,,,,,
8682,1245,8437,1,131072,8487,,,,,,,,,,,,,,,,,,,,,,
8683,1245,8437,1,131072,8488,,,,,,,,,,,,,,,,,,,,,,
8691,1250,8440,1,131072,8490,,,,,,,,,,,,,,,,,,,,,,
8692,1250,8440,1,131072,8489,,,,,,,,,,,,,,,,,,,,,,
8693,1250,8440,1,131072,8489,,,,,,,,,,,,,,,,,,,,,,
8694,1250,8440,1,131072,8489,,,,,,,,,,,,,,,,,,,,,,
8695,1250,8440,1,131072,8490,,,,,,,,,,,,,,,,,,,,,,
8696,1250,8440,1,131072,8490,,,,,,,,,,,,,,,,,,,,,,
8698,1251,8441,1,131072,8490,,,,,,,,,,,,,,,,,,,,,,
8699,1251,8441,1,131072,8489,,,,,,,,,,,,,,,,,,,,,,
8700,1251,8441,1,131072,8489,,,,,,,,,,,,,,,,,,,,,,
8701,1251,8441,1,131072,8489,,,,,,,,,,,,,,,,,,,,,,
8702,1251,8441,1,131072,8490,,,,,,,,,,,,,,,,,,,,,,
8703,1251,8441,1,131072,8490,,,,,,,,,,,,,,,,,,,,,,
8705,1252,8442,2,4096,8446,,,,,,,,,,,,,,,,,,,,,,
8707,1253,8443,2,4096,8447,,,,,,,,,,,,,,,,,,,,,,
8709,1254,8444,2,4096,8448,,,,,,,,,,,,,,,,,,,,,,
8711,1255,8445,2,4096,8449,,,,,,,,,,,,,,,,,,,,,,
8714,1257,8446,2,4096,15771,,,,,,,,,,,,,,,,,,,,,,
8717,1258,8447,2,4096,15909,,,,,,,,,,,,,,,,,,,,,,
8720,1259,8448,2,4096,16046,,,,,,,,,,,,,,,,,,,,,,
8723,1260,8449,2,4096,16184,,,,,,,,,,,,,,,,,,,,,,
8745,1268,8454,1,128,16276,,,,,,,,,,,,,,,,,,,,,,
8757,1270,8456,1,64,8459,,,,,,,,,,,,,,,,,,,,,,
8759,1271,8457,1,64,8456,,,,,,,,,,,,,,,,,,,,,,
8760,1271,8457,1,64,8456,,,,,,,,,,,,,,,,,,,,,,
8762,1272,8458,2,256,8456,,,,,,,,,,,,,,,,,,,,,,
8764,1273,8459,1,1,3,,,,,,,,,,,,,,,,,,,,,,
8784,1323,8461,2,524288,16507,,,,,,,,,,,,,,,,,,,,,,
8785,1323,8461,2,524288,16507,,,,,,,,,,,,,,,,,,,,,,
8787,1326,8462,2,524288,16507,,,,,,,,,,,,,,,,,,,,,,
8788,1326,8462,2,524288,16507,,,,,,,,,,,,,,,,,,,,,,
8790,1329,8463,2,524288,16508,,,,,,,,,,,,,,,,,,,,,,
8791,1329,8463,2,524288,16508,,,,,,,,,,,,,,,,,,,,,,
8793,1332,8464,2,524288,16508,,,,,,,,,,,,,,,,,,,,,,
8794,1332,8464,2,524288,16508,,,,,,,,,,,,,,,,,,,,,,
8796,1335,8465,2,524288,16509,,,,,,,,,,,,,,,,,,,,,,
8797,1335,8465,2,524288,16509,,,,,,,,,,,,,,,,,,,,,,
8799,1338,8466,2,524288,16509,,,,,,,,,,,,,,,,,,,,,,
8800,1338,8466,2,524288,16509,,,,,,,,,,,,,,,,,,,,,,
8802,1341,8467,2,524288,16508,,,,,,,,,,,,,,,,,,,,,,
8803,1341,8467,2,524288,16509,,,,,,,,,,,,,,,,,,,,,,
8805,1344,8468,2,524288,16508,,,,,,,,,,,,,,,,,,,,,,
8806,1344,8468,2,524288,16509,,,,,,,,,,,,,,,,,,,,,,
8815,1459,8469,2,1048576,12645,12760,12875,12990,,,,,,,,,,,,,,,,,,,
8816,1459,8469,2,1048576,12645,12760,12875,12990,,,,,,,,,,,,,,,,,,,
8818,1460,8470,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8819,1460,8470,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8821,1463,8471,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8822,1463,8471,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8824,1466,8472,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8825,1466,8472,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8827,1469,8473,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8828,1469,8473,2,1048576,8469,,,,,,,,,,,,,,,,,,,,,,
8848,1527,8475,2,524288,16772,,,,,,,,,,,,,,,,,,,,,,
8849,1527,8475,2,524288,16770,,,,,,,,,,,,,,,,,,,,,,
8851,1530,8476,2,524288,16770,,,,,,,,,,,,,,,,,,,,,,
8852,1530,8476,2,524288,16772,,,,,,,,,,,,,,,,,,,,,,
8854,1533,8477,2,524288,16771,,,,,,,,,,,,,,,,,,,,,,
8855,1533,8477,2,524288,16772,,,,,,,,,,,,,,,,,,,,,,
8857,1536,8478,2,524288,16772,,,,,,,,,,,,,,,,,,,,,,
8858,1536,8478,2,524288,16771,,,,,,,,,,,,,,,,,,,,,,
8860,1539,8479,2,524288,16770,,,,,,,,,,,,,,,,,,,,,,
8861,1539,8479,2,524288,16771,,,,,,,,,,,,,,,,,,,,,,
8863,1542,8480,2,524288,16771,,,,,,,,,,,,,,,,,,,,,,
8864,1542,8480,2,524288,16770,,,,,,,,,,,,,,,,,,,,,,
8866,1545,8481,2,524288,16772,,,,,,,,,,,,,,,,,,,,,,
8867,1545,8481,2,524288,16770,,,,,,,,,,,,,,,,,,,,,,
8869,1548,8482,2,524288,16770,,,,,,,,,,,,,,,,,,,,,,
8870,1548,8482,2,524288,16772,,,,,,,,,,,,,,,,,,,,,,
8877,1639,8483,1,131072,1635,,,,,,,,,,,,,,,,,,,,,,
8878,1639,8483,1,131072,1635,,,,,,,,,,,,,,,,,,,,,,
8879,1639,8483,1,131072,1635,,,,,,,,,,,,,,,,,,,,,,
8886,1669,8484,1,131072,1665,,,,,,,,,,,,,,,,,,,,,,
8887,1669,8484,1,131072,1665,,,,,,,,,,,,,,,,,,,,,,
8888,1669,8484,1,131072,1665,,,,,,,,,,,,,,,,,,,,,,
8895,1699,8485,1,131072,1695,,,,,,,,,,,,,,,,,,,,,,
8896,1699,8485,1,131072,1695,,,,,,,,,,,,,,,,,,,,,,
8897,1699,8485,1,131072,1695,,,,,,,,,,,,,,,,,,,,,,
8904,1729,8486,1,131072,1725,,,,,,,,,,,,,,,,,,,,,,
8905,1729,8486,1,131072,1725,,,,,,,,,,,,,,,,,,,,,,
8906,1729,8486,1,131072,1725,,,,,,,,,,,,,,,,,,,,,,
8913,1759,8487,1,131072,1755,,,,,,,,,,,,,,,,,,,,,,
8914,1759,8487,1,131072,1755,,,,,,,,,,,,,,,,,,,,,,
8915,1759,8487,1,131072,1755,,,,,,,,,,,,,,,,,,,,,,
8922,1789,8488,1,131072,1785,,,,,,,,,,,,,,,,,,,,,,
8923,1789,8488,1,131072,1785,,,,,,,,,,,,,,,,,,,,,,
8924,1789,8488,1,131072,1785,,,,,,,,,,,,,,,,,,,,,,
8931,1819,8489,1,131072,1815,,,,,,,,,,,,,,,,,,,,,,
8932,1819,8489,1,131072,1815,,,,,,,,,,,,,,,,,,,,,,
8933,1819,8489,1,131072,1815,,,,,,,,,,,,,,,,,,,,,,
8940,1849,8490,1,131072,1845,,,,,,,,,,,,,,,,,,,,,,
8941,1849,8490,1,131072,1845,,,,,,,,,,,,,,,,,,,,,,
8942,1849,8490,1,131072,1845,,,,,,,,,,,,,,,,,,,,,,
12432,12285,12283,2,524288,14494,,,,,,,,,,,,,,,,,,,,,,
12431,12285,12283,2,131072,14653,,,,,,,,,,,,,,,,,,,,,,
12430,12285,12283,2,4096,14812,14975,15138,15301,15464,15627,,,,,,,,,,,,,,,,,
12642,12285,12283,2,4096,14812,14975,15138,15301,15464,15627,,,,,,,,,,,,,,,,,
12643,12285,12283,2,524288,14494,,,,,,,,,,,,,,,,,,,,,,
12644,12285,12283,2,131072,14653,,,,,,,,,,,,,,,,,,,,,,
12582,12435,12433,2,524288,14494,,,,,,,,,,,,,,,,,,,,,,
12581,12435,12433,2,131072,14653,,,,,,,,,,,,,,,,,,,,,,
12580,12435,12433,2,4096,14812,14975,15138,15301,15464,15627,,,,,,,,,,,,,,,,,
12759,12647,12645,2,1048576,15770,,,,,,,,,,,,,,,,,,,,,,
12758,12647,12645,2,4096,15908,16046,16185,,,,,,,,,,,,,,,,,,,,
13179,12647,12645,2,1048576,15770,,,,,,,,,,,,,,,,,,,,,,
13180,12647,12645,2,4096,15908,16046,16185,,,,,,,,,,,,,,,,,,,,
