link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7]
1402,409,3,1,1,1392,,,,,,,
1403,409,3,1,1,1393,1396,1397,1398,1399,1400,,
1406,430,413,2,65536,456,460,464,468,472,476,5106,5107
1408,457,456,2,65536,5098,,,,,,,
1410,461,460,2,65536,5094,,,,,,,
1412,465,464,2,65536,5097,,,,,,,
1414,469,468,2,65536,5098,,,,,,,
1416,473,472,2,65536,5094,,,,,,,
1418,477,476,2,65536,5094,,,,,,,
1422,481,480,2,65536,1391,,,,,,,
1437,405,1391,1,32,1394,,,,,,,
1439,406,1392,1,32,1391,,,,,,,
1440,406,1392,1,32,1391,,,,,,,
1442,407,1393,2,65536,1391,,,,,,,
1444,408,1394,1,1,3,,,,,,,
1458,415,1396,2,65536,5289,,,,,,,
1459,415,1396,2,65536,5288,,,,,,,
1461,418,1397,2,65536,5289,,,,,,,
1462,418,1397,2,65536,5288,,,,,,,
1464,421,1398,2,65536,5289,,,,,,,
1465,421,1398,2,65536,5289,,,,,,,
1467,424,1399,2,65536,5289,,,,,,,
1468,424,1399,2,65536,5289,,,,,,,
1470,427,1400,2,65536,5289,,,,,,,
1471,427,1400,2,65536,5288,,,,,,,
1431,4812,5094,2,65536,480,,,,,,,
5120,4813,5095,2,65536,5094,,,,,,,
5121,4813,5095,2,65536,5094,,,,,,,
5122,4813,5095,2,65536,5094,,,,,,,
5128,4814,5096,2,65536,5095,,,,,,,
5129,4814,5096,2,65536,5095,,,,,,,
5130,4814,5096,2,65536,5095,,,,,,,
5131,4814,5096,2,65536,5095,,,,,,,
5138,4815,5097,2,65536,5094,,,,,,,
5139,4815,5097,2,65536,5095,5096,,,,,,
5148,4816,5098,2,65536,5097,,,,,,,
5149,4816,5098,2,65536,5096,,,,,,,
5150,4816,5098,2,65536,5097,,,,,,,
5154,4817,5099,2,65536,5098,,,,,,,
5155,4817,5099,2,65536,5098,,,,,,,
5156,4817,5099,2,65536,5098,,,,,,,
5163,4818,5100,2,65536,5096,,,,,,,
5164,4818,5100,2,65536,5096,,,,,,,
5165,4818,5100,2,65536,5098,5099,,,,,,
5166,4818,5100,2,65536,5096,,,,,,,
5171,4819,5101,2,65536,5097,,,,,,,
5172,4819,5101,2,65536,5097,,,,,,,
5173,4819,5101,2,65536,5098,5099,,,,,,
5180,4820,5102,2,65536,5100,,,,,,,
5181,4820,5102,2,65536,5100,,,,,,,
5182,4820,5102,2,65536,5100,,,,,,,
5183,4820,5102,2,65536,5097,5101,,,,,,
5188,4821,5103,2,65536,5100,,,,,,,
5189,4821,5103,2,65536,5099,,,,,,,
5190,4821,5103,2,65536,5100,,,,,,,
5191,4821,5103,2,65536,5098,,,,,,,
5197,4822,5104,2,65536,5102,,,,,,,
5198,4822,5104,2,65536,5101,5103,,,,,,
5199,4822,5104,2,65536,5102,,,,,,,
5200,4822,5104,2,65536,5101,5103,,,,,,
5205,4823,5105,2,65536,5102,,,,,,,
5206,4823,5105,2,65536,5101,5103,5104,,,,,
5207,4823,5105,2,65536,5102,,,,,,,
5208,4823,5105,2,65536,5102,5104,,,,,,
5213,4824,5106,2,65536,5105,,,,,,,
5214,4824,5106,2,65536,5102,5105,,,,,,
5215,4824,5106,2,65536,5105,,,,,,,
5216,4824,5106,2,65536,5105,,,,,,,
1430,4825,5107,2,65536,480,,,,,,,
1432,4825,5107,2,65536,480,,,,,,,
5218,4825,5107,2,65536,5104,5106,,,,,,
5219,4825,5107,2,65536,5100,5103,,,,,,
5220,4825,5107,2,65536,5104,5106,,,,,,
5221,4825,5107,2,65536,5104,5106,,,,,,
1455,5222,5288,2,65536,413,,,,,,,
1456,5222,5288,2,65536,413,,,,,,,
5305,5223,5289,2,65536,5288,,,,,,,
5306,5223,5289,2,65536,5288,,,,,,,
5307,5223,5289,2,65536,5288,,,,,,,
5308,5223,5289,2,65536,5288,,,,,,,
5309,5223,5289,2,65536,5288,,,,,,,
