link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17]
4769,1187,3,1,1,4734,4738,4742,,,,,,,,,,,,,,,
4770,1187,3,1,1,4735,4739,4743,4746,4747,4748,4749,4750,4752,4753,4754,4755,4756,4758,4759,4760,4761,4762
4773,1212,1195,2,22528,1356,1364,1372,1376,1380,1384,9334,9335,,,,,,,,,,
4776,1255,1238,2,22528,1332,1336,1340,1344,1368,1392,9827,9831,9832,,,,,,,,,
4779,1298,1281,2,22528,1324,1328,1348,1352,1360,1388,10329,10333,10334,,,,,,,,,
4781,1325,1324,2,22528,10322,,,,,,,,,,,,,,,,,
4783,1329,1328,2,22528,10322,,,,,,,,,,,,,,,,,
4785,1333,1332,2,22528,9820,,,,,,,,,,,,,,,,,
4787,1337,1336,2,22528,9822,,,,,,,,,,,,,,,,,
4789,1341,1340,2,22528,9820,,,,,,,,,,,,,,,,,
4791,1345,1344,2,22528,9824,,,,,,,,,,,,,,,,,
4793,1349,1348,2,22528,10322,,,,,,,,,,,,,,,,,
4795,1353,1352,2,22528,10324,,,,,,,,,,,,,,,,,
4797,1357,1356,2,22528,9326,,,,,,,,,,,,,,,,,
4799,1361,1360,2,22528,10326,,,,,,,,,,,,,,,,,
4801,1365,1364,2,22528,9326,,,,,,,,,,,,,,,,,
4803,1369,1368,2,22528,9820,,,,,,,,,,,,,,,,,
4805,1373,1372,2,22528,9327,,,,,,,,,,,,,,,,,
4807,1377,1376,2,22528,9323,,,,,,,,,,,,,,,,,
4809,1381,1380,2,22528,9323,,,,,,,,,,,,,,,,,
4811,1385,1384,2,22528,9323,,,,,,,,,,,,,,,,,
4813,1389,1388,2,22528,10326,,,,,,,,,,,,,,,,,
4815,1393,1392,2,22528,9824,,,,,,,,,,,,,,,,,
4880,1175,4733,1,11,4736,,,,,,,,,,,,,,,,,
4882,1176,4734,1,11,4733,,,,,,,,,,,,,,,,,
4883,1176,4734,1,11,4733,,,,,,,,,,,,,,,,,
4885,1177,4735,2,22528,4733,,,,,,,,,,,,,,,,,
4887,1178,4736,1,1,3,,,,,,,,,,,,,,,,,
4892,1179,4737,1,11,4740,,,,,,,,,,,,,,,,,
4894,1180,4738,1,11,4737,,,,,,,,,,,,,,,,,
4895,1180,4738,1,11,4737,,,,,,,,,,,,,,,,,
4897,1181,4739,2,22528,4737,,,,,,,,,,,,,,,,,
4899,1182,4740,1,1,3,,,,,,,,,,,,,,,,,
4904,1183,4741,1,11,4744,,,,,,,,,,,,,,,,,
4906,1184,4742,1,11,4741,,,,,,,,,,,,,,,,,
4907,1184,4742,1,11,4741,,,,,,,,,,,,,,,,,
4909,1185,4743,2,22528,4741,,,,,,,,,,,,,,,,,
4911,1186,4744,1,1,3,,,,,,,,,,,,,,,,,
4925,1197,4746,2,22528,10529,,,,,,,,,,,,,,,,,
4926,1197,4746,2,22528,10529,,,,,,,,,,,,,,,,,
4928,1200,4747,2,22528,10529,,,,,,,,,,,,,,,,,
4929,1200,4747,2,22528,10529,,,,,,,,,,,,,,,,,
4931,1203,4748,2,22528,10529,,,,,,,,,,,,,,,,,
4932,1203,4748,2,22528,10529,,,,,,,,,,,,,,,,,
4934,1206,4749,2,22528,10529,,,,,,,,,,,,,,,,,
4935,1206,4749,2,22528,10529,,,,,,,,,,,,,,,,,
