link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
6023,1439,3,1,1,6009,,,,,,,,,,,,,,,,,,
6024,1439,3,1,1,5986,,,,,,,,,,,,,,,,,,
6025,1439,3,1,1,5966,,,,,,,,,,,,,,,,,,
6026,1439,3,1,1,5970,,,,,,,,,,,,,,,,,,
6027,1439,3,1,1,5976,,,,,,,,,,,,,,,,,,
6028,1439,3,1,1,5979,,,,,,,,,,,,,,,,,,
6029,1439,3,1,1,9777,9778,,,,,,,,,,,,,,,,,
6030,1439,3,1,1,5972,,,,,,,,,,,,,,,,,,
6031,1439,3,1,1,6004,,,,,,,,,,,,,,,,,,
6032,1439,3,1,1,5963,,,,,,,,,,,,,,,,,,
6033,1439,3,1,1,5964,5965,5967,5968,5971,5973,5974,5977,5980,5987,6000,6005,6010,6013,6014,6020,6021,10056,10210
6037,1444,1443,2,23040,5983,,,,,,,,,,,,,,,,,,
6043,1473,1465,1,2048,5994,,,,,,,,,,,,,,,,,,
6044,1473,1465,1,128,5996,,,,,,,,,,,,,,,,,,
6048,1508,1507,1,2560,6002,,,,,,,,,,,,,,,,,,
6052,1530,1529,1,40,6007,,,,,,,,,,,,,,,,,,
6056,1552,1551,2,230400,5981,,,,,,,,,,,,,,,,,,
6062,1581,1573,2,819200,5990,,,,,,,,,,,,,,,,,,
6063,1581,1573,2,128,5992,,,,,,,,,,,,,,,,,,
6067,1607,1606,2,230400,5981,,,,,,,,,,,,,,,,,,
6071,1629,1628,2,23040,5983,,,,,,,,,,,,,,,,,,
6075,1646,1645,2,512000,9901,9902,,,,,,,,,,,,,,,,,
6081,1683,1675,2,128,5992,,,,,,,,,,,,,,,,,,
6082,1683,1675,2,819200,5990,,,,,,,,,,,,,,,,,,
6086,1718,1717,1,163840,5988,,,,,,,,,,,,,,,,,,
6090,1731,1730,1,2048,5994,,,,,,,,,,,,,,,,,,
6094,1742,1741,1,163840,5989,,,,,,,,,,,,,,,,,,
6098,1755,1754,1,2048,5996,,,,,,,,,,,,,,,,,,
6102,1766,1765,1,163840,5988,,,,,,,,,,,,,,,,,,
6106,1781,1780,1,163840,5989,,,,,,,,,,,,,,,,,,
6110,1800,1799,1,1600,6006,,,,,,,,,,,,,,,,,,
6114,1813,1812,2,512000,9901,,,,,,,,,,,,,,,,,,
6118,1837,1836,2,8,6008,,,,,,,,,,,,,,,,,,
6122,1850,1849,1,1600,6006,,,,,,,,,,,,,,,,,,
6125,1373,5963,2,2,1443,,,,,,,,,,,,,,,,,,
6127,1374,5964,1,1,5963,,,,,,,,,,,,,,,,,,
6129,1375,5965,2,2,1443,,,,,,,,,,,,,,,,,,
6130,1375,5965,2,2,1443,,,,,,,,,,,,,,,,,,
6133,1376,5966,2,4,1465,,,,,,,,,,,,,,,,,,
6135,1377,5967,1,1,5966,,,,,,,,,,,,,,,,,,
6137,1378,5968,2,4,1465,,,,,,,,,,,,,,,,,,
6138,1378,5968,2,4,1465,,,,,,,,,,,,,,,,,,
6141,1379,5969,2,40,1507,,,,,,,,,,,,,,,,,,
6143,1380,5970,1,5,5969,,,,,,,,,,,,,,,,,,
6144,1380,5970,1,5,5969,,,,,,,,,,,,,,,,,,
6146,1381,5971,2,40,1507,,,,,,,,,,,,,,,,,,
6147,1381,5971,2,40,1507,,,,,,,,,,,,,,,,,,
6150,1382,5972,2,2,1529,,,,,,,,,,,,,,,,,,
6152,1383,5973,1,1,5972,,,,,,,,,,,,,,,,,,
6154,1384,5974,2,2,1529,,,,,,,,,,,,,,,,,,
6155,1384,5974,2,2,1529,,,,,,,,,,,,,,,,,,
6158,1386,5975,2,224,1551,,,,,,,,,,,,,,,,,,
6160,1387,5976,1,112,5975,,,,,,,,,,,,,,,,,,
6161,1387,5976,1,112,5975,,,,,,,,,,,,,,,,,,
6163,1388,5977,2,224,1551,,,,,,,,,,,,,,,,,,
6164,1388,5977,2,224,1551,,,,,,,,,,,,,,,,,,
6167,1389,5978,2,400,1606,,,,,,,,,,,,,,,,,,
6169,1390,5979,1,400,5978,,,,,,,,,,,,,,,,,,
6170,1390,5979,1,400,5978,,,,,,,,,,,,,,,,,,
6172,1391,5980,2,400,1606,,,,,,,,,,,,,,,,,,
6173,1391,5980,2,400,1606,,,,,,,,,,,,,,,,,,
6176,1395,5981,2,46080,5982,,,,,,,,,,,,,,,,,,
6178,1396,5982,1,46080,1628,,,,,,,,,,,,,,,,,,
6179,1396,5982,1,46080,1628,,,,,,,,,,,,,,,,,,
6180,1396,5982,1,46080,1628,,,,,,,,,,,,,,,,,,
6183,1398,5983,2,11520,5984,,,,,,,,,,,,,,,,,,
6185,1399,5984,1,11520,1573,,,,,,,,,,,,,,,,,,
6186,1399,5984,1,11520,1573,,,,,,,,,,,,,,,,,,
6187,1399,5984,1,11520,1573,,,,,,,,,,,,,,,,,,
6190,1400,5985,2,1000,1675,,,,,,,,,,,,,,,,,,
6192,1401,5986,1,1000,5985,,,,,,,,,,,,,,,,,,
6193,1401,5986,1,1000,5985,,,,,,,,,,,,,,,,,,
6195,1402,5987,2,1000,1675,,,,,,,,,,,,,,,,,,
6196,1402,5987,2,1000,1675,,,,,,,,,,,,,,,,,,
6199,1406,5988,1,163840,1717,1730,,,,,,,,,,,,,,,,,
6200,1406,5988,1,163840,1717,1730,,,,,,,,,,,,,,,,,
6201,1406,5988,1,163840,1730,,,,,,,,,,,,,,,,,,
6202,1406,5988,1,163840,1717,,,,,,,,,,,,,,,,,,
6205,1407,5989,1,163840,1754,,,,,,,,,,,,,,,,,,
6206,1407,5989,1,163840,1741,,,,,,,,,,,,,,,,,,
6207,1407,5989,1,163840,1741,1754,,,,,,,,,,,,,,,,,
6208,1407,5989,1,163840,1741,1754,,,,,,,,,,,,,,,,,
6211,1410,5990,2,163840,5991,,,,,,,,,,,,,,,,,,
6213,1411,5991,1,163840,1765,,,,,,,,,,,,,,,,,,
6214,1411,5991,1,163840,1765,,,,,,,,,,,,,,,,,,
6215,1411,5991,1,163840,1765,,,,,,,,,,,,,,,,,,
6218,1413,5992,2,163840,5993,,,,,,,,,,,,,,,,,,
6220,1414,5993,1,163840,1780,,,,,,,,,,,,,,,,,,
