link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
8577,1834,3,1,1,8502,,,,,,,,,,,,,,,,,,,,,,,,,,,
8578,1834,3,1,1,12477,12478,12604,12605,,,,,,,,,,,,,,,,,,,,,,,,
8579,1834,3,1,1,8496,,,,,,,,,,,,,,,,,,,,,,,,,,,
8580,1834,3,1,1,8500,,,,,,,,,,,,,,,,,,,,,,,,,,,
8581,1834,3,1,1,8548,,,,,,,,,,,,,,,,,,,,,,,,,,,
8582,1834,3,1,1,8509,,,,,,,,,,,,,,,,,,,,,,,,,,,
8583,1834,3,1,1,8543,,,,,,,,,,,,,,,,,,,,,,,,,,,
8584,1834,3,1,1,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,
8585,1834,3,1,1,8506,,,,,,,,,,,,,,,,,,,,,,,,,,,
8586,1834,3,1,1,8520,,,,,,,,,,,,,,,,,,,,,,,,,,,
8587,1834,3,1,1,8494,8495,8497,8498,8501,8503,8504,8507,8510,8521,8535,8537,8544,8549,8552,8553,8555,8556,8558,8559,8568,8569,8573,8574,13045,13210,13362,13512
8593,1846,1838,2,11520,8515,,,,,,,,,,,,,,,,,,,,,,,,,,,
8594,1846,1838,2,40,8517,,,,,,,,,,,,,,,,,,,,,,,,,,,
8600,1888,1880,1,2048,8528,,,,,,,,,,,,,,,,,,,,,,,,,,,
8601,1888,1880,1,128,8530,,,,,,,,,,,,,,,,,,,,,,,,,,,
8607,1930,1922,1,256,8541,,,,,,,,,,,,,,,,,,,,,,,,,,,
8608,1930,1922,1,1280,8539,,,,,,,,,,,,,,,,,,,,,,,,,,,
8612,1965,1964,1,40,8546,,,,,,,,,,,,,,,,,,,,,,,,,,,
8618,1994,1986,2,115200,8511,,,,,,,,,,,,,,,,,,,,,,,,,,,
8619,1994,1986,2,40,8513,,,,,,,,,,,,,,,,,,,,,,,,,,,
8625,2036,2028,2,819200,8524,,,,,,,,,,,,,,,,,,,,,,,,,,,
8626,2036,2028,2,128,8526,,,,,,,,,,,,,,,,,,,,,,,,,,,
8632,2086,2078,2,40,8513,,,,,,,,,,,,,,,,,,,,,,,,,,,
8633,2086,2078,2,115200,8511,,,,,,,,,,,,,,,,,,,,,,,,,,,
8637,2121,2120,2,11520,8515,,,,,,,,,,,,,,,,,,,,,,,,,,,
8641,2134,2133,2,11520,8517,,,,,,,,,,,,,,,,,,,,,,,,,,,
8645,2155,2154,2,256000,12738,12739,,,,,,,,,,,,,,,,,,,,,,,,,,
8649,2185,2184,2,256000,12877,,,,,,,,,,,,,,,,,,,,,,,,,,,
8655,2222,2214,2,819200,8524,,,,,,,,,,,,,,,,,,,,,,,,,,,
8656,2222,2214,2,128,8526,,,,,,,,,,,,,,,,,,,,,,,,,,,
8660,2257,2256,1,163840,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,
8664,2270,2269,1,2048,8528,,,,,,,,,,,,,,,,,,,,,,,,,,,
8668,2281,2280,1,163840,8523,,,,,,,,,,,,,,,,,,,,,,,,,,,
8672,2294,2293,1,2048,8530,,,,,,,,,,,,,,,,,,,,,,,,,,,
8676,2305,2304,1,163840,8522,,,,,,,,,,,,,,,,,,,,,,,,,,,
8680,2320,2319,1,163840,8523,,,,,,,,,,,,,,,,,,,,,,,,,,,
8684,2339,2338,1,1600,8545,,,,,,,,,,,,,,,,,,,,,,,,,,,
8688,2369,2368,2,256000,12738,,,,,,,,,,,,,,,,,,,,,,,,,,,
8692,2382,2381,2,256000,12877,,,,,,,,,,,,,,,,,,,,,,,,,,,
8696,2416,2415,2,8,8547,,,,,,,,,,,,,,,,,,,,,,,,,,,
8700,2429,2428,1,1600,8545,,,,,,,,,,,,,,,,,,,,,,,,,,,
8703,1751,8493,2,2,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,
8705,1752,8494,1,1,8493,,,,,,,,,,,,,,,,,,,,,,,,,,,
8707,1753,8495,2,2,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,
8708,1753,8495,2,2,1838,,,,,,,,,,,,,,,,,,,,,,,,,,,
8711,1754,8496,2,4,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,
8713,1755,8497,1,1,8496,,,,,,,,,,,,,,,,,,,,,,,,,,,
8715,1756,8498,2,4,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,
8716,1756,8498,2,4,1880,,,,,,,,,,,,,,,,,,,,,,,,,,,
8719,1757,8499,2,40,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,
8721,1758,8500,1,5,8499,,,,,,,,,,,,,,,,,,,,,,,,,,,
8722,1758,8500,1,5,8499,,,,,,,,,,,,,,,,,,,,,,,,,,,
8724,1759,8501,2,40,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,
8725,1759,8501,2,40,1922,,,,,,,,,,,,,,,,,,,,,,,,,,,
8728,1760,8502,2,2,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,
8730,1761,8503,1,1,8502,,,,,,,,,,,,,,,,,,,,,,,,,,,
8732,1762,8504,2,2,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,
8733,1762,8504,2,2,1964,,,,,,,,,,,,,,,,,,,,,,,,,,,
8736,1764,8505,2,224,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
8738,1765,8506,1,112,8505,,,,,,,,,,,,,,,,,,,,,,,,,,,
8739,1765,8506,1,112,8505,,,,,,,,,,,,,,,,,,,,,,,,,,,
8741,1766,8507,2,224,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
8742,1766,8507,2,224,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,
8745,1767,8508,2,400,2078,,,,,,,,,,,,,,,,,,,,,,,,,,,
8747,1768,8509,1,400,8508,,,,,,,,,,,,,,,,,,,,,,,,,,,
8748,1768,8509,1,400,8508,,,,,,,,,,,,,,,,,,,,,,,,,,,
8750,1769,8510,2,400,2078,,,,,,,,,,,,,,,,,,,,,,,,,,,
8751,1769,8510,2,400,2078,,,,,,,,,,,,,,,,,,,,,,,,,,,
8754,1775,8511,2,23040,8512,,,,,,,,,,,,,,,,,,,,,,,,,,,
8756,1776,8512,1,23040,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,
8757,1776,8512,1,23040,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,
8758,1776,8512,1,23040,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,
8761,1778,8513,2,23040,8514,,,,,,,,,,,,,,,,,,,,,,,,,,,
8763,1779,8514,1,23040,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,
8764,1779,8514,1,23040,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,
8765,1779,8514,1,23040,2133,,,,,,,,,,,,,,,,,,,,,,,,,,,
8768,1783,8515,2,5760,8516,,,,,,,,,,,,,,,,,,,,,,,,,,,
8770,1784,8516,1,5760,8566,,,,,,,,,,,,,,,,,,,,,,,,,,,
8771,1784,8516,1,5760,8566,,,,,,,,,,,,,,,,,,,,,,,,,,,
8772,1784,8516,1,5760,8566,,,,,,,,,,,,,,,,,,,,,,,,,,,
