link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
2869,526,3,1,1,2839,,,,,,,,,,,,,
2870,526,3,1,1,2842,,,,,,,,,,,,,
2871,526,3,1,1,2835,2836,2843,2853,2854,2857,2858,2860,2861,2863,2864,2866,2867,6962
2872,526,3,1,1,2834,2852,,,,,,,,,,,,
2881,534,530,2,32,2851,,,,,,,,,,,,,
2882,531,530,2,8,2852,,,,,,,,,,,,,
2883,544,530,2,16384,2846,,,,,,,,,,,,,
2884,544,530,2,131072,2845,,,,,,,,,,,,,
2888,605,601,2,512,2837,,,,,,,,,,,,,
2889,602,601,2,32,2851,,,,,,,,,,,,,
2909,705,697,1,16384,2847,,,,,,,,,,,,,
2910,705,697,1,16384,2848,,,,,,,,,,,,,
2914,749,748,2,131072,7069,,,,,,,,,,,,,
2918,762,761,2,512,2837,,,,,,,,,,,,,
2922,780,779,2,131072,7069,7070,,,,,,,,,,,,
2926,793,792,2,131072,7070,,,,,,,,,,,,,
2929,497,2834,2,8,530,,,,,,,,,,,,,
2931,498,2835,1,1,2834,,,,,,,,,,,,,
2933,499,2836,2,8,530,,,,,,,,,,,,,
2934,499,2836,2,8,530,,,,,,,,,,,,,
2937,502,2837,2,512,601,,,,,,,,,,,,,
2938,502,2837,2,512,601,,,,,,,,,,,,,
2939,502,2837,2,512,601,,,,,,,,,,,,,
2942,504,2838,2,262144,6391,6499,6625,6733,,,,,,,,,,
2944,505,2839,1,32768,2838,,,,,,,,,,,,,
2945,505,2839,1,32768,2838,,,,,,,,,,,,,
2952,507,2841,2,2048,697,,,,,,,,,,,,,
2954,508,2842,1,64,2841,,,,,,,,,,,,,
2955,508,2842,1,64,2841,,,,,,,,,,,,,
2957,509,2843,2,2048,697,,,,,,,,,,,,,
2958,509,2843,2,2048,697,,,,,,,,,,,,,
2967,512,2845,2,16384,2847,,,,,,,,,,,,,
2970,513,2846,2,16384,2848,,,,,,,,,,,,,
2973,516,2847,1,16384,2849,,,,,,,,,,,,,
2976,517,2848,1,16384,2850,,,,,,,,,,,,,
2979,518,2849,2,131072,779,,,,,,,,,,,,,
2980,518,2849,2,131072,779,,,,,,,,,,,,,
2981,518,2849,2,131072,779,,,,,,,,,,,,,
2984,519,2850,2,131072,792,,,,,,,,,,,,,
2985,519,2850,2,131072,792,,,,,,,,,,,,,
2986,519,2850,2,131072,792,,,,,,,,,,,,,
2989,521,2851,2,32,530,,,,,,,,,,,,,
2990,521,2851,2,32,530,,,,,,,,,,,,,
2991,521,2851,2,32,530,,,,,,,,,,,,,
2996,522,2852,1,1,2855,,,,,,,,,,,,,
2998,523,2853,1,1,2852,,,,,,,,,,,,,
3000,524,2854,2,8,2852,,,,,,,,,,,,,
3002,525,2855,1,1,3,,,,,,,,,,,,,
3007,537,2856,2,131072,530,,,,,,,,,,,,,
3008,537,2856,2,131072,530,,,,,,,,,,,,,
3010,538,2857,2,131072,2856,,,,,,,,,,,,,
3011,538,2857,2,131072,2856,,,,,,,,,,,,,
3013,541,2858,2,131072,2856,,,,,,,,,,,,,
3014,541,2858,2,131072,2856,,,,,,,,,,,,,
3019,628,2859,2,131072,6391,6499,,,,,,,,,,,,
3020,628,2859,2,131072,6391,6499,,,,,,,,,,,,
3022,629,2860,2,131072,2859,,,,,,,,,,,,,
3023,629,2860,2,131072,2859,,,,,,,,,,,,,
3025,632,2861,2,131072,2859,,,,,,,,,,,,,
3026,632,2861,2,131072,2859,,,,,,,,,,,,,
3031,667,2862,2,131072,6625,6733,,,,,,,,,,,,
3032,667,2862,2,131072,6625,6733,,,,,,,,,,,,
3034,668,2863,2,131072,2862,,,,,,,,,,,,,
3035,668,2863,2,131072,2862,,,,,,,,,,,,,
3037,671,2864,2,131072,2862,,,,,,,,,,,,,
3038,671,2864,2,131072,2862,,,,,,,,,,,,,
3043,698,2865,1,16384,697,,,,,,,,,,,,,
3044,698,2865,1,16384,697,,,,,,,,,,,,,
3046,699,2866,1,16384,2865,,,,,,,,,,,,,
3047,699,2866,1,16384,2865,,,,,,,,,,,,,
3049,702,2867,1,16384,2865,,,,,,,,,,,,,
3050,702,2867,1,16384,2865,,,,,,,,,,,,,
6498,6393,6391,2,131072,2845,,,,,,,,,,,,,
6497,6393,6391,2,16384,2846,,,,,,,,,,,,,
6623,6393,6391,2,131072,2845,,,,,,,,,,,,,
6624,6393,6391,2,16384,2846,,,,,,,,,,,,,
6606,6501,6499,2,131072,2845,,,,,,,,,,,,,
6605,6501,6499,2,16384,2846,,,,,,,,,,,,,
6732,6627,6625,2,131072,2849,,,,,,,,,,,,,
6731,6627,6625,2,16384,2850,,,,,,,,,,,,,
6857,6627,6625,2,16384,2850,,,,,,,,,,,,,
6858,6627,6625,2,131072,2849,,,,,,,,,,,,,
6840,6735,6733,2,131072,2849,,,,,,,,,,,,,
6839,6735,6733,2,16384,2850,,,,,,,,,,,,,
2948,6859,6961,2,262144,6391,6499,,,,,,,,,,,,
2949,6859,6961,2,262144,6391,6499,6625,6733,,,,,,,,,,
2947,6860,6962,2,262144,6625,6733,,,,,,,,,,,,
6967,6860,6962,2,262144,6961,,,,,,,,,,,,,
6968,6860,6962,2,262144,6961,,,,,,,,,,,,,
6969,6860,6962,2,262144,6961,,,,,,,,,,,,,
2964,6970,7069,2,131072,748,761,,,,,,,,,,,,
2963,6971,7070,2,131072,748,761,,,,,,,,,,,,
2962,6971,7070,2,131072,748,761,,,,,,,,,,,,
7078,6971,7070,2,131072,7069,,,,,,,,,,,,,
7079,6971,7070,2,131072,7069,,,,,,,,,,,,,
7080,6971,7070,2,131072,7069,,,,,,,,,,,,,
