link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8]
1886,395,3,1,1,1863,1866,1876,1877,1880,1881,1883,1884,5659
1887,395,3,1,1,1865,,,,,,,,
1888,395,3,1,1,1875,,,,,,,,
1889,395,3,1,1,1868,,,,,,,,
1893,400,399,1,32768,1871,,,,,,,,
1900,419,412,2,131072,1870,,,,,,,,
1901,413,412,2,4,1875,,,,,,,,
1902,416,412,1,1048576,5757,,,,,,,,
1906,455,454,2,131072,1870,,,,,,,,
1919,531,523,2,16384,1874,,,,,,,,
1920,531,523,2,65536,1873,,,,,,,,
1924,559,558,1,1048576,5757,5758,,,,,,,
1928,572,571,1,1048576,5758,,,,,,,,
1930,375,1863,2,4,412,,,,,,,,
1931,375,1863,2,4,412,,,,,,,,
1932,375,1863,2,4,412,,,,,,,,
1935,377,1864,2,2048,399,,,,,,,,
1937,378,1865,1,32,1864,,,,,,,,
1938,378,1865,1,32,1864,,,,,,,,
1940,379,1866,2,2048,399,,,,,,,,
1941,379,1866,2,2048,399,,,,,,,,
1944,380,1867,2,131072,454,5352,5451,,,,,,
1946,381,1868,1,32768,1867,,,,,,,,
1947,381,1868,1,32768,1867,,,,,,,,
1955,384,1870,2,32768,1871,,,,,,,,
1958,385,1871,1,32768,523,,,,,,,,
1959,385,1871,1,32768,523,,,,,,,,
1960,385,1871,1,32768,523,,,,,,,,
1969,388,1873,2,65536,558,,,,,,,,
1970,388,1873,2,65536,558,,,,,,,,
1971,388,1873,2,65536,558,,,,,,,,
1974,389,1874,2,65536,571,,,,,,,,
1975,389,1874,2,65536,571,,,,,,,,
1976,389,1874,2,65536,571,,,,,,,,
1981,391,1875,1,1,1878,,,,,,,,
1983,392,1876,1,1,1875,,,,,,,,
1985,393,1877,2,4,1875,,,,,,,,
1987,394,1878,1,1,3,,,,,,,,
1992,474,1879,2,65536,5352,5451,,,,,,,
1993,474,1879,2,65536,5352,5451,,,,,,,
1995,475,1880,2,65536,1879,,,,,,,,
1996,475,1880,2,65536,1879,,,,,,,,
1998,478,1881,2,65536,1879,,,,,,,,
1999,478,1881,2,65536,1879,,,,,,,,
2004,524,1882,2,65536,523,,,,,,,,
2005,524,1882,2,65536,523,,,,,,,,
2007,525,1883,2,65536,1882,,,,,,,,
2008,525,1883,2,65536,1882,,,,,,,,
2010,528,1884,2,65536,1882,,,,,,,,
2011,528,1884,2,65536,1882,,,,,,,,
5450,5354,5352,2,16384,1874,,,,,,,,
5449,5354,5352,2,65536,1873,,,,,,,,
5566,5354,5352,2,65536,1873,,,,,,,,
5567,5354,5352,2,16384,1874,,,,,,,,
5549,5453,5451,2,16384,1874,,,,,,,,
5548,5453,5451,2,65536,1873,,,,,,,,
1951,5568,5658,2,131072,5352,5451,,,,,,,
1952,5568,5658,2,131072,454,,,,,,,,
1949,5568,5658,2,131072,454,,,,,,,,
1950,5569,5659,2,131072,5352,5451,,,,,,,
5664,5569,5659,2,131072,5658,,,,,,,,
5665,5569,5659,2,131072,5658,,,,,,,,
5666,5569,5659,2,131072,5658,,,,,,,,
1965,5667,5757,1,1048576,412,,,,,,,,
1964,5668,5758,1,1048576,412,,,,,,,,
1966,5668,5758,1,1048576,412,,,,,,,,
5765,5668,5758,1,1048576,5757,,,,,,,,
5766,5668,5758,1,1048576,5757,,,,,,,,
