link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19]
3236,557,3,1,1,3198,,,,,,,,,,,,,,,,,,,
3237,557,3,1,1,3193,3196,3199,3211,3212,3215,3216,3217,3219,3220,3221,3223,3224,3225,3227,3228,3229,3231,3232,3233
3238,557,3,1,1,3195,,,,,,,,,,,,,,,,,,,
3239,557,3,1,1,3210,,,,,,,,,,,,,,,,,,,
3245,572,561,1,10944,3204,3205,,,,,,,,,,,,,,,,,,
3246,572,561,1,10944,3203,,,,,,,,,,,,,,,,,,,
3255,603,602,2,4,3210,,,,,,,,,,,,,,,,,,,
3256,619,602,2,43776,3200,,,,,,,,,,,,,,,,,,,
3257,606,602,1,700416,7748,7750,,,,,,,,,,,,,,,,,,
3258,619,602,2,10944,3201,3202,,,,,,,,,,,,,,,,,,
3275,776,765,2,10944,7989,8104,,,,,,,,,,,,,,,,,,
3276,776,765,2,43776,7874,,,,,,,,,,,,,,,,,,,
3280,839,838,1,700416,7749,7751,,,,,,,,,,,,,,,,,,
3284,852,851,1,700416,7751,,,,,,,,,,,,,,,,,,,
3288,865,864,1,700416,7749,,,,,,,,,,,,,,,,,,,
3290,530,3193,2,4,602,,,,,,,,,,,,,,,,,,,
3291,530,3193,2,4,602,,,,,,,,,,,,,,,,,,,
3292,530,3193,2,4,602,,,,,,,,,,,,,,,,,,,
3295,532,3194,2,2048,561,,,,,,,,,,,,,,,,,,,
3297,533,3195,1,32,3194,,,,,,,,,,,,,,,,,,,
3298,533,3195,1,32,3194,,,,,,,,,,,,,,,,,,,
3300,534,3196,2,2048,561,,,,,,,,,,,,,,,,,,,
3301,534,3196,2,2048,561,,,,,,,,,,,,,,,,,,,
3304,535,3197,2,131072,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3306,536,3198,1,32768,3197,,,,,,,,,,,,,,,,,,,
3307,536,3198,1,32768,3197,,,,,,,,,,,,,,,,,,,
3309,537,3199,2,131072,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3310,537,3199,2,131072,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3313,539,3200,2,10944,3203,,,,,,,,,,,,,,,,,,,
3316,540,3201,2,10944,3204,,,,,,,,,,,,,,,,,,,
3319,541,3202,2,10944,3205,,,,,,,,,,,,,,,,,,,
3322,544,3203,1,10944,3234,,,,,,,,,,,,,,,,,,,
3323,544,3203,1,10944,3234,,,,,,,,,,,,,,,,,,,
3324,544,3203,1,10944,3234,,,,,,,,,,,,,,,,,,,
3327,545,3204,1,10944,3234,,,,,,,,,,,,,,,,,,,
3328,545,3204,1,10944,3234,,,,,,,,,,,,,,,,,,,
3329,545,3204,1,10944,3234,,,,,,,,,,,,,,,,,,,
3332,546,3205,1,10944,3234,,,,,,,,,,,,,,,,,,,
3333,546,3205,1,10944,3234,,,,,,,,,,,,,,,,,,,
3334,546,3205,1,10944,3234,,,,,,,,,,,,,,,,,,,
3361,553,3210,1,1,3213,,,,,,,,,,,,,,,,,,,
3363,554,3211,1,1,3210,,,,,,,,,,,,,,,,,,,
3365,555,3212,2,4,3210,,,,,,,,,,,,,,,,,,,
3367,556,3213,1,1,3,,,,,,,,,,,,,,,,,,,
3374,562,3214,1,10944,561,,,,,,,,,,,,,,,,,,,
3375,562,3214,1,10944,561,,,,,,,,,,,,,,,,,,,
3377,563,3215,1,10944,3214,,,,,,,,,,,,,,,,,,,
3378,563,3215,1,10944,3214,,,,,,,,,,,,,,,,,,,
3380,566,3216,1,10944,3214,,,,,,,,,,,,,,,,,,,
3381,566,3216,1,10944,3214,,,,,,,,,,,,,,,,,,,
3383,569,3217,1,10944,3214,,,,,,,,,,,,,,,,,,,
3384,569,3217,1,10944,3214,,,,,,,,,,,,,,,,,,,
3391,609,3218,2,43776,602,,,,,,,,,,,,,,,,,,,
3392,609,3218,2,43776,602,,,,,,,,,,,,,,,,,,,
3394,610,3219,2,43776,3218,,,,,,,,,,,,,,,,,,,
3395,610,3219,2,43776,3218,,,,,,,,,,,,,,,,,,,
3397,613,3220,2,43776,3218,,,,,,,,,,,,,,,,,,,
3398,613,3220,2,43776,3218,,,,,,,,,,,,,,,,,,,
3400,616,3221,2,43776,3218,,,,,,,,,,,,,,,,,,,
3401,616,3221,2,43776,3218,,,,,,,,,,,,,,,,,,,
3408,673,3222,2,43776,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3409,673,3222,2,43776,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3411,674,3223,2,43776,3222,,,,,,,,,,,,,,,,,,,
3412,674,3223,2,43776,3222,,,,,,,,,,,,,,,,,,,
3414,677,3224,2,43776,3222,,,,,,,,,,,,,,,,,,,
3415,677,3224,2,43776,3222,,,,,,,,,,,,,,,,,,,
3417,680,3225,2,43776,3222,,,,,,,,,,,,,,,,,,,
3418,680,3225,2,43776,3222,,,,,,,,,,,,,,,,,,,
3425,704,3226,2,43776,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3426,704,3226,2,43776,6805,6962,7119,7276,,,,,,,,,,,,,,,,
3428,705,3227,2,43776,3226,,,,,,,,,,,,,,,,,,,
3429,705,3227,2,43776,3226,,,,,,,,,,,,,,,,,,,
3431,708,3228,2,43776,3226,,,,,,,,,,,,,,,,,,,
3432,708,3228,2,43776,3226,,,,,,,,,,,,,,,,,,,
3434,711,3229,2,43776,3226,,,,,,,,,,,,,,,,,,,
3435,711,3229,2,43776,3226,,,,,,,,,,,,,,,,,,,
3442,766,3230,2,43776,765,,,,,,,,,,,,,,,,,,,
3443,766,3230,2,43776,765,,,,,,,,,,,,,,,,,,,
3445,767,3231,2,43776,3230,,,,,,,,,,,,,,,,,,,
3446,767,3231,2,43776,3230,,,,,,,,,,,,,,,,,,,
3448,770,3232,2,43776,3230,,,,,,,,,,,,,,,,,,,
3449,770,3232,2,43776,3230,,,,,,,,,,,,,,,,,,,
3451,773,3233,2,43776,3230,,,,,,,,,,,,,,,,,,,
3452,773,3233,2,43776,3230,,,,,,,,,,,,,,,,,,,
3462,797,3234,1,10944,765,,,,,,,,,,,,,,,,,,,
3463,797,3234,1,10944,765,,,,,,,,,,,,,,,,,,,
3464,797,3234,1,10944,765,,,,,,,,,,,,,,,,,,,
6961,6807,6805,2,10944,7990,8104,,,,,,,,,,,,,,,,,,
6960,6858,6805,2,43776,3200,,,,,,,,,,,,,,,,,,,
6959,6807,6805,2,43776,7875,,,,,,,,,,,,,,,,,,,
6958,6858,6805,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
7547,6807,6805,2,43776,7875,,,,,,,,,,,,,,,,,,,
7548,6807,6805,2,10944,7990,8104,,,,,,,,,,,,,,,,,,
7549,6858,6805,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
7550,6858,6805,2,43776,3200,,,,,,,,,,,,,,,,,,,
7118,6964,6962,2,10944,7990,8104,,,,,,,,,,,,,,,,,,
7117,7015,6962,2,43776,3200,,,,,,,,,,,,,,,,,,,
7116,6964,6962,2,43776,7875,,,,,,,,,,,,,,,,,,,
7115,7015,6962,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
7551,6964,6962,2,43776,7874,,,,,,,,,,,,,,,,,,,
7552,7015,6962,2,43776,3200,,,,,,,,,,,,,,,,,,,
7553,7015,6962,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
7554,6964,6962,2,10944,7989,8104,,,,,,,,,,,,,,,,,,
7275,7121,7119,2,10944,7989,8105,,,,,,,,,,,,,,,,,,
7274,7172,7119,2,43776,3200,,,,,,,,,,,,,,,,,,,
7273,7121,7119,2,43776,7874,,,,,,,,,,,,,,,,,,,
7272,7172,7119,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
7555,7172,7119,2,43776,3200,,,,,,,,,,,,,,,,,,,
7556,7172,7119,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
7557,7121,7119,2,43776,7874,,,,,,,,,,,,,,,,,,,
7558,7121,7119,2,10944,7989,8105,,,,,,,,,,,,,,,,,,
7432,7278,7276,2,10944,7989,8105,,,,,,,,,,,,,,,,,,
7431,7329,7276,2,43776,3200,,,,,,,,,,,,,,,,,,,
7430,7278,7276,2,43776,7874,,,,,,,,,,,,,,,,,,,
7429,7329,7276,2,10944,3202,3201,,,,,,,,,,,,,,,,,,
3340,7559,7748,1,700416,602,,,,,,,,,,,,,,,,,,,
7762,7560,7749,1,700416,7748,,,,,,,,,,,,,,,,,,,
7763,7560,7749,1,700416,7748,,,,,,,,,,,,,,,,,,,
7764,7560,7749,1,700416,7748,,,,,,,,,,,,,,,,,,,
7766,7561,7750,1,700416,7749,,,,,,,,,,,,,,,,,,,
7767,7561,7750,1,700416,7748,7749,,,,,,,,,,,,,,,,,,
3341,7562,7751,1,700416,602,,,,,,,,,,,,,,,,,,,
3339,7562,7751,1,700416,602,,,,,,,,,,,,,,,,,,,
7770,7562,7751,1,700416,7749,,,,,,,,,,,,,,,,,,,
3346,7771,7874,2,43776,838,,,,,,,,,,,,,,,,,,,
3345,7772,7875,2,43776,838,,,,,,,,,,,,,,,,,,,
3344,7772,7875,2,43776,838,,,,,,,,,,,,,,,,,,,
7885,7772,7875,2,43776,7874,,,,,,,,,,,,,,,,,,,
3350,7886,7989,2,43776,851,,,,,,,,,,,,,,,,,,,
3351,7887,7990,2,43776,851,,,,,,,,,,,,,,,,,,,
3349,7887,7990,2,43776,851,,,,,,,,,,,,,,,,,,,
8000,7887,7990,2,43776,7989,,,,,,,,,,,,,,,,,,,
3356,8001,8104,2,43776,864,,,,,,,,,,,,,,,,,,,
3355,8002,8105,2,43776,864,,,,,,,,,,,,,,,,,,,
3354,8002,8105,2,43776,864,,,,,,,,,,,,,,,,,,,
8115,8002,8105,2,43776,8104,,,,,,,,,,,,,,,,,,,
