link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20]
3338,568,3,1,1,3311,,,,,,,,,,,,,,,,,,,,
3339,568,3,1,1,3293,3296,3312,3313,3316,3317,3318,3319,3321,3322,3323,3324,3326,3327,3328,3329,3331,3332,3334,3335,7720
3340,568,3,1,1,3295,,,,,,,,,,,,,,,,,,,,
3341,568,3,1,1,3298,,,,,,,,,,,,,,,,,,,,
3347,586,572,1,8192,3305,3306,3307,,,,,,,,,,,,,,,,,,
3348,586,572,1,8192,3304,,,,,,,,,,,,,,,,,,,,
3357,641,621,2,32768,3300,,,,,,,,,,,,,,,,,,,,
3358,625,621,1,1048576,7818,7819,,,,,,,,,,,,,,,,,,,
3359,622,621,2,4,3311,,,,,,,,,,,,,,,,,,,,
3360,641,621,2,8192,3301,3302,3303,,,,,,,,,,,,,,,,,,
3380,822,814,2,65536,3309,,,,,,,,,,,,,,,,,,,,
3381,822,814,2,16384,3310,,,,,,,,,,,,,,,,,,,,
3385,891,890,1,1048576,7818,,,,,,,,,,,,,,,,,,,,
3389,904,903,1,1048576,7818,,,,,,,,,,,,,,,,,,,,
3391,540,3293,2,4,621,,,,,,,,,,,,,,,,,,,,
3392,540,3293,2,4,621,,,,,,,,,,,,,,,,,,,,
3393,540,3293,2,4,621,,,,,,,,,,,,,,,,,,,,
3396,542,3294,2,2048,572,,,,,,,,,,,,,,,,,,,,
3398,543,3295,1,32,3294,,,,,,,,,,,,,,,,,,,,
3399,543,3295,1,32,3294,,,,,,,,,,,,,,,,,,,,
3401,544,3296,2,2048,572,,,,,,,,,,,,,,,,,,,,
3402,544,3296,2,2048,572,,,,,,,,,,,,,,,,,,,,
3405,545,3297,2,131072,6918,7021,7124,7227,7410,7509,,,,,,,,,,,,,,,
3407,546,3298,1,32768,3297,,,,,,,,,,,,,,,,,,,,
3408,546,3298,1,32768,3297,,,,,,,,,,,,,,,,,,,,
3416,549,3300,2,8192,3304,,,,,,,,,,,,,,,,,,,,
3419,550,3301,2,8192,3305,,,,,,,,,,,,,,,,,,,,
3422,551,3302,2,8192,3306,,,,,,,,,,,,,,,,,,,,
3425,552,3303,2,8192,3307,,,,,,,,,,,,,,,,,,,,
3428,555,3304,1,8192,7932,,,,,,,,,,,,,,,,,,,,
3429,555,3304,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3430,555,3304,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3433,556,3305,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3434,556,3305,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3435,556,3305,1,8192,7932,,,,,,,,,,,,,,,,,,,,
3438,557,3306,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3439,557,3306,1,8192,7932,,,,,,,,,,,,,,,,,,,,
3440,557,3306,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3443,558,3307,1,8192,7933,,,,,,,,,,,,,,,,,,,,
3444,558,3307,1,8192,7932,,,,,,,,,,,,,,,,,,,,
