link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3]
882,310,3,1,1,871,,,
883,310,3,1,1,868,,,
884,310,3,1,1,869,872,875,878
885,310,3,1,1,877,,,
886,310,3,1,1,874,,,
890,319,318,2,65536,4379,4380,,
894,332,331,2,65536,4378,,,
898,345,344,2,65536,4378,4380,,
902,358,357,2,65536,4380,,,
905,295,867,2,65536,318,,,
907,296,868,1,32,867,,,
908,296,868,1,32,867,,,
910,297,869,2,65536,318,,,
911,297,869,2,65536,318,,,
914,298,870,2,65536,331,,,
916,299,871,1,32,870,,,
917,299,871,1,32,870,,,
919,300,872,2,65536,331,,,
920,300,872,2,65536,331,,,
923,301,873,2,65536,344,,,
925,302,874,1,32,873,,,
926,302,874,1,32,873,,,
928,303,875,2,65536,344,,,
929,303,875,2,65536,344,,,
932,304,876,2,65536,357,,,
934,305,877,1,32,876,,,
935,305,877,1,32,876,,,
937,306,878,2,65536,357,,,
938,306,878,2,65536,357,,,
945,308,880,1,1,3,,,
943,4286,4378,2,32,880,,,
4389,4287,4379,2,65536,4378,,,
4393,4288,4380,2,65536,4378,,,
4394,4288,4380,2,65536,4379,,,
4395,4288,4380,2,65536,4378,,,
4396,4288,4380,2,65536,4379,,,
