link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
2972,824,3,1,1,2933,2936,2939,2942,2945,2948,2951,2954,2957,2960,2963,2966
2973,824,3,1,1,2932,2944,2956,,,,,,,,,
2974,824,3,1,1,2938,2950,2962,,,,,,,,,
2975,824,3,1,1,2935,2947,2959,,,,,,,,,
2976,824,3,1,1,2941,2953,2965,,,,,,,,,
2980,833,832,2,22528,6607,,,,,,,,,,,
2984,846,845,2,22528,6738,6739,,,,,,,,,,
2988,859,858,2,22528,6871,,,,,,,,,,,
2992,872,871,2,22528,6607,,,,,,,,,,,
2996,885,884,2,22528,6739,,,,,,,,,,,
3000,898,897,2,22528,6869,,,,,,,,,,,
3004,911,910,2,22528,6605,6606,6607,,,,,,,,,
3008,924,923,2,22528,6737,6739,,,,,,,,,,
3012,937,936,2,22528,6869,6870,6871,,,,,,,,,
3016,950,949,2,22528,6607,,,,,,,,,,,
3020,963,962,2,22528,6737,,,,,,,,,,,
3024,976,975,2,22528,6869,,,,,,,,,,,
3027,780,2931,2,22528,832,,,,,,,,,,,
3029,781,2932,1,11,2931,,,,,,,,,,,
3030,781,2932,1,11,2931,,,,,,,,,,,
3032,782,2933,2,22528,832,,,,,,,,,,,
3033,782,2933,2,22528,832,,,,,,,,,,,
3036,783,2934,2,22528,871,,,,,,,,,,,
3038,784,2935,1,11,2934,,,,,,,,,,,
3039,784,2935,1,11,2934,,,,,,,,,,,
3041,785,2936,2,22528,871,,,,,,,,,,,
3042,785,2936,2,22528,871,,,,,,,,,,,
3045,786,2937,2,22528,910,,,,,,,,,,,
3047,787,2938,1,11,2937,,,,,,,,,,,
3048,787,2938,1,11,2937,,,,,,,,,,,
3050,788,2939,2,22528,910,,,,,,,,,,,
3051,788,2939,2,22528,910,,,,,,,,,,,
3054,789,2940,2,22528,949,,,,,,,,,,,
3056,790,2941,1,11,2940,,,,,,,,,,,
3057,790,2941,1,11,2940,,,,,,,,,,,
3059,791,2942,2,22528,949,,,,,,,,,,,
3060,791,2942,2,22528,949,,,,,,,,,,,
3063,793,2943,2,22528,845,,,,,,,,,,,
3065,794,2944,1,11,2943,,,,,,,,,,,
3066,794,2944,1,11,2943,,,,,,,,,,,
3068,795,2945,2,22528,845,,,,,,,,,,,
3069,795,2945,2,22528,845,,,,,,,,,,,
3072,796,2946,2,22528,884,,,,,,,,,,,
3074,797,2947,1,11,2946,,,,,,,,,,,
3075,797,2947,1,11,2946,,,,,,,,,,,
3077,798,2948,2,22528,884,,,,,,,,,,,
3078,798,2948,2,22528,884,,,,,,,,,,,
3081,799,2949,2,22528,923,,,,,,,,,,,
3083,800,2950,1,11,2949,,,,,,,,,,,
3084,800,2950,1,11,2949,,,,,,,,,,,
3086,801,2951,2,22528,923,,,,,,,,,,,
3087,801,2951,2,22528,923,,,,,,,,,,,
3090,802,2952,2,22528,962,,,,,,,,,,,
3092,803,2953,1,11,2952,,,,,,,,,,,
3093,803,2953,1,11,2952,,,,,,,,,,,
3095,804,2954,2,22528,962,,,,,,,,,,,
3096,804,2954,2,22528,962,,,,,,,,,,,
3099,806,2955,2,22528,858,,,,,,,,,,,
3101,807,2956,1,11,2955,,,,,,,,,,,
3102,807,2956,1,11,2955,,,,,,,,,,,
3104,808,2957,2,22528,858,,,,,,,,,,,
3105,808,2957,2,22528,858,,,,,,,,,,,
3108,809,2958,2,22528,897,,,,,,,,,,,
3110,810,2959,1,11,2958,,,,,,,,,,,
3111,810,2959,1,11,2958,,,,,,,,,,,
3113,811,2960,2,22528,897,,,,,,,,,,,
3114,811,2960,2,22528,897,,,,,,,,,,,
3117,812,2961,2,22528,936,,,,,,,,,,,
3119,813,2962,1,11,2961,,,,,,,,,,,
3120,813,2962,1,11,2961,,,,,,,,,,,
3122,814,2963,2,22528,936,,,,,,,,,,,
3123,814,2963,2,22528,936,,,,,,,,,,,
3126,815,2964,2,22528,975,,,,,,,,,,,
3128,816,2965,1,11,2964,,,,,,,,,,,
3129,816,2965,1,11,2964,,,,,,,,,,,
3131,817,2966,2,22528,975,,,,,,,,,,,
3132,817,2966,2,22528,975,,,,,,,,,,,
3137,6492,6605,2,11,6940,,,,,,,,,,,
6615,6493,6606,2,22528,6605,,,,,,,,,,,
6620,6494,6607,2,22528,6606,,,,,,,,,,,
6621,6494,6607,2,22528,6606,,,,,,,,,,,
6622,6494,6607,2,22528,6605,,,,,,,,,,,
6623,6494,6607,2,22528,6605,,,,,,,,,,,
3142,6624,6737,2,11,6940,,,,,,,,,,,
6748,6625,6738,2,22528,6737,,,,,,,,,,,
6752,6626,6739,2,22528,6737,,,,,,,,,,,
6753,6626,6739,2,22528,6738,,,,,,,,,,,
6754,6626,6739,2,22528,6738,,,,,,,,,,,
6755,6626,6739,2,22528,6737,,,,,,,,,,,
3147,6756,6869,2,11,6940,,,,,,,,,,,
6881,6757,6870,2,22528,6869,,,,,,,,,,,
6884,6758,6871,2,22528,6869,,,,,,,,,,,
6885,6758,6871,2,22528,6870,,,,,,,,,,,
6886,6758,6871,2,22528,6869,,,,,,,,,,,
6887,6758,6871,2,22528,6870,,,,,,,,,,,
3151,6888,6939,1,1,3,,,,,,,,,,,
6946,6889,6940,1,11,6939,,,,,,,,,,,
6947,6889,6940,1,11,6939,,,,,,,,,,,
