link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27]
8011,1835,3,1,1,7925,7937,7949,7961,7973,7985,7997,,,,,,,,,,,,,,,,,,,,,
8012,1835,3,1,1,7919,7931,7943,7955,7967,7979,7991,,,,,,,,,,,,,,,,,,,,,
8013,1835,3,1,1,7928,7940,7952,7964,7976,7988,8000,,,,,,,,,,,,,,,,,,,,,
8014,1835,3,1,1,7920,7923,7926,7929,7932,7935,7938,7941,7944,7947,7950,7953,7956,7959,7962,7965,7968,7971,7974,7977,7980,7983,7986,7989,7992,7995,7998,8001
8015,1835,3,1,1,7922,7934,7946,7958,7970,7982,7994,,,,,,,,,,,,,,,,,,,,,
8019,1844,1843,2,10240,11904,,,,,,,,,,,,,,,,,,,,,,,,,,,
8023,1857,1856,2,10240,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,
8027,1870,1869,2,10240,12211,,,,,,,,,,,,,,,,,,,,,,,,,,,
8031,1883,1882,2,10240,12365,12366,,,,,,,,,,,,,,,,,,,,,,,,,,
8035,1896,1895,2,10240,12520,12521,,,,,,,,,,,,,,,,,,,,,,,,,,
8039,1909,1908,2,10240,12672,,,,,,,,,,,,,,,,,,,,,,,,,,,
8043,1922,1921,2,10240,12825,,,,,,,,,,,,,,,,,,,,,,,,,,,
8047,1935,1934,2,10240,11905,,,,,,,,,,,,,,,,,,,,,,,,,,,
8051,1948,1947,2,10240,12061,,,,,,,,,,,,,,,,,,,,,,,,,,,
8055,1961,1960,2,10240,12212,,,,,,,,,,,,,,,,,,,,,,,,,,,
8059,1974,1973,2,10240,12366,,,,,,,,,,,,,,,,,,,,,,,,,,,
8063,1987,1986,2,10240,12519,,,,,,,,,,,,,,,,,,,,,,,,,,,
8067,2000,1999,2,10240,12670,,,,,,,,,,,,,,,,,,,,,,,,,,,
8071,2013,2012,2,10240,12823,,,,,,,,,,,,,,,,,,,,,,,,,,,
8075,2026,2025,2,10240,11904,11905,,,,,,,,,,,,,,,,,,,,,,,,,,
8079,2039,2038,2,10240,12059,12060,,,,,,,,,,,,,,,,,,,,,,,,,,
8083,2052,2051,2,10240,12212,,,,,,,,,,,,,,,,,,,,,,,,,,,
8087,2065,2064,2,10240,12364,12366,,,,,,,,,,,,,,,,,,,,,,,,,,
8091,2078,2077,2,10240,12521,,,,,,,,,,,,,,,,,,,,,,,,,,,
8095,2091,2090,2,10240,12670,12671,12672,,,,,,,,,,,,,,,,,,,,,,,,,
8099,2104,2103,2,10240,12824,12825,,,,,,,,,,,,,,,,,,,,,,,,,,
8103,2117,2116,2,10240,11905,,,,,,,,,,,,,,,,,,,,,,,,,,,
8107,2130,2129,2,10240,12059,,,,,,,,,,,,,,,,,,,,,,,,,,,
8111,2143,2142,2,10240,12212,,,,,,,,,,,,,,,,,,,,,,,,,,,
8115,2156,2155,2,10240,12364,,,,,,,,,,,,,,,,,,,,,,,,,,,
8119,2169,2168,2,10240,12521,,,,,,,,,,,,,,,,,,,,,,,,,,,
8123,2182,2181,2,10240,12670,,,,,,,,,,,,,,,,,,,,,,,,,,,
8127,2195,2194,2,10240,12825,,,,,,,,,,,,,,,,,,,,,,,,,,,
8130,1735,7918,2,10240,1843,,,,,,,,,,,,,,,,,,,,,,,,,,,
8132,1736,7919,1,5,7918,,,,,,,,,,,,,,,,,,,,,,,,,,,
