link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3]
1077,330,3,1,1,1065,1071,,
1078,330,3,1,1,1063,1066,1069,1072
1079,330,3,1,1,1062,1068,,
1083,339,338,2,32768,1073,,,
1087,352,351,2,32768,1074,,,
1091,365,364,2,32768,1073,,,
1095,378,377,2,32768,1074,,,
1098,312,1061,2,32768,338,,,
1100,313,1062,1,16,1061,,,
1101,313,1062,1,16,1061,,,
1103,314,1063,2,32768,338,,,
1104,314,1063,2,32768,338,,,
1107,315,1064,2,32768,364,,,
1109,316,1065,1,16,1064,,,
1110,316,1065,1,16,1064,,,
1112,317,1066,2,32768,364,,,
1113,317,1066,2,32768,364,,,
1116,319,1067,2,32768,351,,,
1118,320,1068,1,16,1067,,,
1119,320,1068,1,16,1067,,,
1121,321,1069,2,32768,351,,,
1122,321,1069,2,32768,351,,,
1125,322,1070,2,32768,377,,,
1127,323,1071,1,16,1070,,,
1128,323,1071,1,16,1070,,,
1130,324,1072,2,32768,377,,,
1131,324,1072,2,32768,377,,,
1134,325,1073,2,16,1075,,,
1137,326,1074,2,16,1075,,,
1140,328,1075,1,1,3,,,
