link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11]
3587,868,3,1,1,3547,3553,3559,3565,3571,3577,,,,,,
3588,868,3,1,1,3545,3548,3551,3554,3557,3560,3563,3566,3569,3572,3575,3578
3589,868,3,1,1,3544,3550,3556,3562,3568,3574,,,,,,
3593,877,876,2,12288,3579,,,,,,,,,,,
3597,890,889,2,12288,3580,,,,,,,,,,,
3601,903,902,2,12288,3581,,,,,,,,,,,
3605,916,915,2,12288,3582,,,,,,,,,,,
3609,929,928,2,12288,3583,,,,,,,,,,,
3613,942,941,2,12288,3584,,,,,,,,,,,
3617,955,954,2,12288,3579,,,,,,,,,,,
3621,968,967,2,12288,3580,,,,,,,,,,,
3625,981,980,2,12288,3581,,,,,,,,,,,
3629,994,993,2,12288,3582,,,,,,,,,,,
3633,1007,1006,2,12288,3583,,,,,,,,,,,
3637,1020,1019,2,12288,3584,,,,,,,,,,,
3640,818,3543,2,12288,876,,,,,,,,,,,
3642,819,3544,1,6,3543,,,,,,,,,,,
3643,819,3544,1,6,3543,,,,,,,,,,,
3645,820,3545,2,12288,876,,,,,,,,,,,
3646,820,3545,2,12288,876,,,,,,,,,,,
3649,821,3546,2,12288,954,,,,,,,,,,,
3651,822,3547,1,6,3546,,,,,,,,,,,
3652,822,3547,1,6,3546,,,,,,,,,,,
3654,823,3548,2,12288,954,,,,,,,,,,,
3655,823,3548,2,12288,954,,,,,,,,,,,
3658,825,3549,2,12288,889,,,,,,,,,,,
3660,826,3550,1,6,3549,,,,,,,,,,,
3661,826,3550,1,6,3549,,,,,,,,,,,
3663,827,3551,2,12288,889,,,,,,,,,,,
3664,827,3551,2,12288,889,,,,,,,,,,,
3667,828,3552,2,12288,967,,,,,,,,,,,
3669,829,3553,1,6,3552,,,,,,,,,,,
3670,829,3553,1,6,3552,,,,,,,,,,,
3672,830,3554,2,12288,967,,,,,,,,,,,
3673,830,3554,2,12288,967,,,,,,,,,,,
3676,832,3555,2,12288,902,,,,,,,,,,,
3678,833,3556,1,6,3555,,,,,,,,,,,
3679,833,3556,1,6,3555,,,,,,,,,,,
3681,834,3557,2,12288,902,,,,,,,,,,,
3682,834,3557,2,12288,902,,,,,,,,,,,
3685,835,3558,2,12288,980,,,,,,,,,,,
3687,836,3559,1,6,3558,,,,,,,,,,,
3688,836,3559,1,6,3558,,,,,,,,,,,
3690,837,3560,2,12288,980,,,,,,,,,,,
3691,837,3560,2,12288,980,,,,,,,,,,,
3694,839,3561,2,12288,915,,,,,,,,,,,
3696,840,3562,1,6,3561,,,,,,,,,,,
3697,840,3562,1,6,3561,,,,,,,,,,,
3699,841,3563,2,12288,915,,,,,,,,,,,
3700,841,3563,2,12288,915,,,,,,,,,,,
3703,842,3564,2,12288,993,,,,,,,,,,,
3705,843,3565,1,6,3564,,,,,,,,,,,
3706,843,3565,1,6,3564,,,,,,,,,,,
3708,844,3566,2,12288,993,,,,,,,,,,,
3709,844,3566,2,12288,993,,,,,,,,,,,
3712,846,3567,2,12288,928,,,,,,,,,,,
3714,847,3568,1,6,3567,,,,,,,,,,,
3715,847,3568,1,6,3567,,,,,,,,,,,
3717,848,3569,2,12288,928,,,,,,,,,,,
3718,848,3569,2,12288,928,,,,,,,,,,,
3721,849,3570,2,12288,1006,,,,,,,,,,,
3723,850,3571,1,6,3570,,,,,,,,,,,
3724,850,3571,1,6,3570,,,,,,,,,,,
3726,851,3572,2,12288,1006,,,,,,,,,,,
3727,851,3572,2,12288,1006,,,,,,,,,,,
3730,853,3573,2,12288,941,,,,,,,,,,,
3732,854,3574,1,6,3573,,,,,,,,,,,
3733,854,3574,1,6,3573,,,,,,,,,,,
3735,855,3575,2,12288,941,,,,,,,,,,,
3736,855,3575,2,12288,941,,,,,,,,,,,
3739,856,3576,2,12288,1019,,,,,,,,,,,
3741,857,3577,1,6,3576,,,,,,,,,,,
3742,857,3577,1,6,3576,,,,,,,,,,,
3744,858,3578,2,12288,1019,,,,,,,,,,,
3745,858,3578,2,12288,1019,,,,,,,,,,,
3748,859,3579,2,6,7213,,,,,,,,,,,
3751,860,3580,2,6,7213,,,,,,,,,,,
3754,861,3581,2,6,7214,,,,,,,,,,,
3757,862,3582,2,6,7214,,,,,,,,,,,
3760,863,3583,2,6,7214,,,,,,,,,,,
3763,864,3584,2,6,7214,,,,,,,,,,,
3770,7111,7212,1,1,3,,,,,,,,,,,
7223,7112,7213,1,6,7212,,,,,,,,,,,
7224,7112,7213,1,6,7212,,,,,,,,,,,
7225,7112,7213,1,6,7212,,,,,,,,,,,
7230,7113,7214,1,6,7213,,,,,,,,,,,
7231,7113,7214,1,6,7212,,,,,,,,,,,
7232,7113,7214,1,6,7212,,,,,,,,,,,
