link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23]
8794,1677,3,1,1,8712,8718,8724,8730,8736,8742,8748,8754,8760,8766,8772,8778,,,,,,,,,,,,
8795,1677,3,1,1,8710,8713,8716,8719,8722,8725,8728,8731,8734,8737,8740,8743,8746,8749,8752,8755,8758,8761,8764,8767,8770,8773,8776,8779
8796,1677,3,1,1,8709,8715,8721,8727,8733,8739,8745,8751,8757,8763,8769,8775,,,,,,,,,,,,
8800,1686,1685,2,6144,8780,,,,,,,,,,,,,,,,,,,,,,,
8804,1699,1698,2,6144,8781,,,,,,,,,,,,,,,,,,,,,,,
8808,1712,1711,2,6144,8782,,,,,,,,,,,,,,,,,,,,,,,
8812,1725,1724,2,6144,8783,,,,,,,,,,,,,,,,,,,,,,,
8816,1738,1737,2,6144,8784,,,,,,,,,,,,,,,,,,,,,,,
8820,1751,1750,2,6144,8785,,,,,,,,,,,,,,,,,,,,,,,
8824,1764,1763,2,6144,8786,,,,,,,,,,,,,,,,,,,,,,,
8828,1777,1776,2,6144,8787,,,,,,,,,,,,,,,,,,,,,,,
8832,1790,1789,2,6144,8788,,,,,,,,,,,,,,,,,,,,,,,
8836,1803,1802,2,6144,8789,,,,,,,,,,,,,,,,,,,,,,,
8840,1816,1815,2,6144,8790,,,,,,,,,,,,,,,,,,,,,,,
8844,1829,1828,2,6144,8791,,,,,,,,,,,,,,,,,,,,,,,
8848,1842,1841,2,6144,8780,,,,,,,,,,,,,,,,,,,,,,,
8852,1855,1854,2,6144,8781,,,,,,,,,,,,,,,,,,,,,,,
8856,1868,1867,2,6144,8782,,,,,,,,,,,,,,,,,,,,,,,
8860,1881,1880,2,6144,8783,,,,,,,,,,,,,,,,,,,,,,,
8864,1894,1893,2,6144,8784,,,,,,,,,,,,,,,,,,,,,,,
8868,1907,1906,2,6144,8785,,,,,,,,,,,,,,,,,,,,,,,
8872,1920,1919,2,6144,8786,,,,,,,,,,,,,,,,,,,,,,,
8876,1933,1932,2,6144,8787,,,,,,,,,,,,,,,,,,,,,,,
8880,1946,1945,2,6144,8788,,,,,,,,,,,,,,,,,,,,,,,
8884,1959,1958,2,6144,8789,,,,,,,,,,,,,,,,,,,,,,,
