link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3]
1508,356,3,1,1,1499,,,
1509,356,3,1,1,1495,,,
1510,356,3,1,1,1504,,,
1511,356,3,1,1,1496,1497,1500,1505
1515,361,360,2,4096,1503,,,
1519,374,373,2,8192,1493,,,
1523,384,383,2,8192,1493,,,
1527,397,396,2,1048576,1501,,,
1531,419,418,2,1048576,1501,,,
1534,340,1493,2,8192,360,373,,
1535,340,1493,2,8192,360,373,,
1536,340,1493,2,8192,360,373,,
1539,341,1494,2,8192,396,,,
1541,342,1495,1,1024,1494,,,
1542,342,1495,1,1024,1494,,,
1544,343,1496,2,8192,396,,,
1545,343,1496,2,8192,396,,,
1547,345,1497,1,1024,1499,,,
1550,346,1498,2,8192,418,,,
1553,347,1499,1,1024,1498,,,
1554,347,1499,1,1024,1498,,,
1556,348,1500,2,8192,418,,,
1557,348,1500,2,8192,418,,,
1560,350,1501,2,131072,1502,,,
1562,351,1502,1,131072,383,,,
1563,351,1502,1,131072,383,,,
1564,351,1502,1,131072,383,,,
1569,352,1503,1,512,1506,,,
1571,353,1504,1,512,1503,,,
1572,353,1504,1,512,1503,,,
1574,354,1505,2,4096,1503,,,
1576,355,1506,1,1,3,,,
