link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25]
6745,971,3,1,1,6716,,,,,,,,,,,,,,,,,,,,,,,,,
6746,971,3,1,1,6689,6692,6695,,,,,,,,,,,,,,,,,,,,,,,
6747,971,3,1,1,6684,6685,6686,6687,6690,6693,6696,6717,6721,6722,6723,6725,6726,6727,6729,6730,6731,6733,6734,6735,6737,6738,6739,6741,6742,6743
6748,971,3,1,1,6683,,,,,,,,,,,,,,,,,,,,,,,,,
6752,976,975,2,4096,6715,,,,,,,,,,,,,,,,,,,,,,,,,
6756,989,988,2,8192,12854,,,,,,,,,,,,,,,,,,,,,,,,,
6787,1228,1217,2,14792,6698,6699,,,,,,,,,,,,,,,,,,,,,,,,
6788,1228,1217,2,118336,6697,,,,,,,,,,,,,,,,,,,,,,,,,
6794,1269,1258,2,118336,6703,,,,,,,,,,,,,,,,,,,,,,,,,
6795,1269,1258,2,14792,6704,6705,,,,,,,,,,,,,,,,,,,,,,,,
6801,1310,1299,2,14792,6710,6711,,,,,,,,,,,,,,,,,,,,,,,,
6802,1310,1299,2,118336,6709,,,,,,,,,,,,,,,,,,,,,,,,,
6810,921,6682,2,8192,10943,11078,11213,11348,11546,11681,11816,11951,12149,12284,12419,12554,,,,,,,,,,,,,,
6812,922,6683,1,1024,6682,,,,,,,,,,,,,,,,,,,,,,,,,
6813,922,6683,1,1024,6682,,,,,,,,,,,,,,,,,,,,,,,,,
6815,923,6684,2,8192,10943,11078,11213,11348,11546,11681,11816,11951,12149,12284,12419,12554,,,,,,,,,,,,,,
6816,923,6684,2,8192,10943,11078,11213,11348,11546,11681,11816,11951,12149,12284,12419,12554,,,,,,,,,,,,,,
6818,926,6685,1,344,6689,,,,,,,,,,,,,,,,,,,,,,,,,
6820,927,6686,1,344,6692,,,,,,,,,,,,,,,,,,,,,,,,,
6822,928,6687,1,344,6695,,,,,,,,,,,,,,,,,,,,,,,,,
6825,930,6688,2,2752,1217,,,,,,,,,,,,,,,,,,,,,,,,,
6828,931,6689,1,344,6688,,,,,,,,,,,,,,,,,,,,,,,,,
6829,931,6689,1,344,6688,,,,,,,,,,,,,,,,,,,,,,,,,
6831,932,6690,2,2752,1217,,,,,,,,,,,,,,,,,,,,,,,,,
6832,932,6690,2,2752,1217,,,,,,,,,,,,,,,,,,,,,,,,,
6835,933,6691,2,2752,1258,,,,,,,,,,,,,,,,,,,,,,,,,
6838,934,6692,1,344,6691,,,,,,,,,,,,,,,,,,,,,,,,,
6839,934,6692,1,344,6691,,,,,,,,,,,,,,,,,,,,,,,,,
6841,935,6693,2,2752,1258,,,,,,,,,,,,,,,,,,,,,,,,,
6842,935,6693,2,2752,1258,,,,,,,,,,,,,,,,,,,,,,,,,
6845,936,6694,2,2752,1299,,,,,,,,,,,,,,,,,,,,,,,,,
6848,937,6695,1,344,6694,,,,,,,,,,,,,,,,,,,,,,,,,
6849,937,6695,1,344,6694,,,,,,,,,,,,,,,,,,,,,,,,,
6851,938,6696,2,2752,1299,,,,,,,,,,,,,,,,,,,,,,,,,
6852,938,6696,2,2752,1299,,,,,,,,,,,,,,,,,,,,,,,,,
6855,943,6697,2,14792,6700,,,,,,,,,,,,,,,,,,,,,,,,,
6858,944,6698,2,14792,6701,,,,,,,,,,,,,,,,,,,,,,,,,
6861,945,6699,2,14792,6702,,,,,,,,,,,,,,,,,,,,,,,,,
6863,948,6700,1,14792,13323,,,,,,,,,,,,,,,,,,,,,,,,,
6864,948,6700,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6865,948,6700,1,14792,13323,,,,,,,,,,,,,,,,,,,,,,,,,
6867,949,6701,1,14792,13318,,,,,,,,,,,,,,,,,,,,,,,,,
6868,949,6701,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6869,949,6701,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6871,950,6702,1,14792,13320,,,,,,,,,,,,,,,,,,,,,,,,,
6872,950,6702,1,14792,13322,,,,,,,,,,,,,,,,,,,,,,,,,
6873,950,6702,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6876,951,6703,2,14792,6706,,,,,,,,,,,,,,,,,,,,,,,,,
6879,952,6704,2,14792,6707,,,,,,,,,,,,,,,,,,,,,,,,,
6882,953,6705,2,14792,6708,,,,,,,,,,,,,,,,,,,,,,,,,
6884,956,6706,1,14792,13322,,,,,,,,,,,,,,,,,,,,,,,,,
6885,956,6706,1,14792,13318,,,,,,,,,,,,,,,,,,,,,,,,,
6886,956,6706,1,14792,13323,,,,,,,,,,,,,,,,,,,,,,,,,
6888,957,6707,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6889,957,6707,1,14792,13321,,,,,,,,,,,,,,,,,,,,,,,,,
6890,957,6707,1,14792,13321,,,,,,,,,,,,,,,,,,,,,,,,,
6892,958,6708,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6893,958,6708,1,14792,13323,,,,,,,,,,,,,,,,,,,,,,,,,
6894,958,6708,1,14792,13323,,,,,,,,,,,,,,,,,,,,,,,,,
6897,959,6709,2,14792,6712,,,,,,,,,,,,,,,,,,,,,,,,,
6900,960,6710,2,14792,6713,,,,,,,,,,,,,,,,,,,,,,,,,
6903,961,6711,2,14792,6714,,,,,,,,,,,,,,,,,,,,,,,,,
6905,964,6712,1,14792,13322,,,,,,,,,,,,,,,,,,,,,,,,,
6906,964,6712,1,14792,13318,,,,,,,,,,,,,,,,,,,,,,,,,
6907,964,6712,1,14792,13323,,,,,,,,,,,,,,,,,,,,,,,,,
6909,965,6713,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6910,965,6713,1,14792,13322,,,,,,,,,,,,,,,,,,,,,,,,,
6911,965,6713,1,14792,13320,,,,,,,,,,,,,,,,,,,,,,,,,
6913,966,6714,1,14792,13319,,,,,,,,,,,,,,,,,,,,,,,,,
6914,966,6714,1,14792,13321,,,,,,,,,,,,,,,,,,,,,,,,,
6915,966,6714,1,14792,13321,,,,,,,,,,,,,,,,,,,,,,,,,
6920,967,6715,1,512,6718,,,,,,,,,,,,,,,,,,,,,,,,,
6922,968,6716,1,512,6715,,,,,,,,,,,,,,,,,,,,,,,,,
6923,968,6716,1,512,6715,,,,,,,,,,,,,,,,,,,,,,,,,
6925,969,6717,2,4096,6715,,,,,,,,,,,,,,,,,,,,,,,,,
6927,970,6718,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,
6964,1092,6720,2,118336,10943,11078,11213,11348,,,,,,,,,,,,,,,,,,,,,,
6965,1092,6720,2,118336,10943,11078,11213,11348,,,,,,,,,,,,,,,,,,,,,,
6967,1093,6721,2,118336,6720,,,,,,,,,,,,,,,,,,,,,,,,,
6968,1093,6721,2,118336,6720,,,,,,,,,,,,,,,,,,,,,,,,,
6970,1096,6722,2,118336,6720,,,,,,,,,,,,,,,,,,,,,,,,,
6971,1096,6722,2,118336,6720,,,,,,,,,,,,,,,,,,,,,,,,,
6973,1099,6723,2,118336,6720,,,,,,,,,,,,,,,,,,,,,,,,,
6974,1099,6723,2,118336,6720,,,,,,,,,,,,,,,,,,,,,,,,,
6981,1133,6724,2,118336,11546,11681,11816,11951,,,,,,,,,,,,,,,,,,,,,,
6982,1133,6724,2,118336,11546,11681,11816,11951,,,,,,,,,,,,,,,,,,,,,,
6984,1134,6725,2,118336,6724,,,,,,,,,,,,,,,,,,,,,,,,,
6985,1134,6725,2,118336,6724,,,,,,,,,,,,,,,,,,,,,,,,,
6987,1137,6726,2,118336,6724,,,,,,,,,,,,,,,,,,,,,,,,,
6988,1137,6726,2,118336,6724,,,,,,,,,,,,,,,,,,,,,,,,,
6990,1140,6727,2,118336,6724,,,,,,,,,,,,,,,,,,,,,,,,,
6991,1140,6727,2,118336,6724,,,,,,,,,,,,,,,,,,,,,,,,,
6998,1171,6728,2,118336,12149,12284,12419,12554,,,,,,,,,,,,,,,,,,,,,,
6999,1171,6728,2,118336,12149,12284,12419,12554,,,,,,,,,,,,,,,,,,,,,,
7001,1172,6729,2,118336,6728,,,,,,,,,,,,,,,,,,,,,,,,,
7002,1172,6729,2,118336,6728,,,,,,,,,,,,,,,,,,,,,,,,,
7004,1175,6730,2,118336,6728,,,,,,,,,,,,,,,,,,,,,,,,,
7005,1175,6730,2,118336,6728,,,,,,,,,,,,,,,,,,,,,,,,,
7007,1178,6731,2,118336,6728,,,,,,,,,,,,,,,,,,,,,,,,,
7008,1178,6731,2,118336,6728,,,,,,,,,,,,,,,,,,,,,,,,,
7015,1218,6732,2,118336,1217,,,,,,,,,,,,,,,,,,,,,,,,,
7016,1218,6732,2,118336,1217,,,,,,,,,,,,,,,,,,,,,,,,,
7018,1219,6733,2,118336,6732,,,,,,,,,,,,,,,,,,,,,,,,,
7019,1219,6733,2,118336,6732,,,,,,,,,,,,,,,,,,,,,,,,,
