link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18],dst[19],dst[20],dst[21],dst[22],dst[23],dst[24],dst[25],dst[26],dst[27],dst[28],dst[29],dst[30],dst[31],dst[32],dst[33],dst[34],dst[35],dst[36],dst[37],dst[38],dst[39],dst[40],dst[41]
10481,1410,3,1,1,10386,10387,10388,10389,10390,10393,10396,10399,10402,10437,10441,10442,10443,10444,10446,10447,10448,10449,10451,10452,10453,10454,10456,10457,10458,10459,10461,10462,10463,10464,10466,10467,10468,10469,10471,10472,10473,10474,10476,10477,10478,10479
10482,1410,3,1,1,10436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10483,1410,3,1,1,10392,10395,10398,10401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10484,1410,3,1,1,10385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10488,1415,1414,2,4096,10435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10492,1428,1427,2,8192,17520,17521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10530,1837,1823,2,8192,10404,10405,10406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10531,1837,1823,2,65536,10403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10537,1886,1872,2,8192,10412,10413,10414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10538,1886,1872,2,65536,10411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10544,1935,1921,2,65536,10419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10545,1935,1921,2,8192,10420,10421,10422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10551,1984,1970,2,65536,10427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10552,1984,1970,2,8192,10428,10429,10430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10560,1339,10384,2,8192,14873,15012,15151,15290,15509,15648,15787,15926,16145,16284,16423,16562,16781,16920,17059,17198,,,,,,,,,,,,,,,,,,,,,,,,,,
10562,1340,10385,1,1024,10384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10563,1340,10385,1,1024,10384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10565,1341,10386,2,8192,14873,15012,15151,15290,15509,15648,15787,15926,16145,16284,16423,16562,16781,16920,17059,17198,,,,,,,,,,,,,,,,,,,,,,,,,,
10566,1341,10386,2,8192,14873,15012,15151,15290,15509,15648,15787,15926,16145,16284,16423,16562,16781,16920,17059,17198,,,,,,,,,,,,,,,,,,,,,,,,,,
10568,1344,10387,1,256,10392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10570,1345,10388,1,256,10395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10572,1346,10389,1,256,10398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10574,1347,10390,1,256,10401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10577,1349,10391,2,2048,1823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10580,1350,10392,1,256,10391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10581,1350,10392,1,256,10391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
