link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
4017,630,3,1,1,4000,,,,,,,,,,,,,
4018,630,3,1,1,3982,3983,3984,3987,3990,4001,4005,4006,4008,4009,4011,4012,4014,4015
4019,630,3,1,1,3986,3989,,,,,,,,,,,,
4020,630,3,1,1,3981,,,,,,,,,,,,,
4024,635,634,2,4096,3999,,,,,,,,,,,,,
4028,648,647,2,8192,8462,8463,,,,,,,,,,,,
4052,795,787,2,32768,3992,,,,,,,,,,,,,
4053,795,787,2,262144,3991,,,,,,,,,,,,,
4059,828,820,2,32768,3996,,,,,,,,,,,,,
4060,828,820,2,262144,3995,,,,,,,,,,,,,
4068,597,3980,2,8192,7807,7938,8087,8218,,,,,,,,,,
4070,598,3981,1,1024,3980,,,,,,,,,,,,,
4071,598,3981,1,1024,3980,,,,,,,,,,,,,
4073,599,3982,2,8192,7807,7938,8087,8218,,,,,,,,,,
4074,599,3982,2,8192,7807,7938,8087,8218,,,,,,,,,,
4076,602,3983,1,512,3986,,,,,,,,,,,,,
4078,603,3984,1,512,3989,,,,,,,,,,,,,
4081,605,3985,2,4096,787,,,,,,,,,,,,,
4084,606,3986,1,512,3985,,,,,,,,,,,,,
4085,606,3986,1,512,3985,,,,,,,,,,,,,
4087,607,3987,2,4096,787,,,,,,,,,,,,,
4088,607,3987,2,4096,787,,,,,,,,,,,,,
4091,608,3988,2,4096,820,,,,,,,,,,,,,
4094,609,3989,1,512,3988,,,,,,,,,,,,,
4095,609,3989,1,512,3988,,,,,,,,,,,,,
4097,610,3990,2,4096,820,,,,,,,,,,,,,
4098,610,3990,2,4096,820,,,,,,,,,,,,,
4101,614,3991,2,32768,3993,,,,,,,,,,,,,
4104,615,3992,2,32768,3994,,,,,,,,,,,,,
4106,618,3993,1,32768,8611,,,,,,,,,,,,,
4107,618,3993,1,32768,8612,,,,,,,,,,,,,
4108,618,3993,1,32768,8612,,,,,,,,,,,,,
4110,619,3994,1,32768,8612,,,,,,,,,,,,,
4111,619,3994,1,32768,8612,,,,,,,,,,,,,
4112,619,3994,1,32768,8611,,,,,,,,,,,,,
4115,620,3995,2,32768,3997,,,,,,,,,,,,,
