link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13],dst[14],dst[15],dst[16],dst[17],dst[18]
5310,871,3,1,1,5257,5261,,,,,,,,,,,,,,,,,
5311,871,3,1,1,5286,,,,,,,,,,,,,,,,,,
5312,871,3,1,1,5262,5287,5290,5291,5292,5293,5294,5295,5296,5297,5299,5300,5301,5302,5303,5304,5305,5306,11112
5319,876,875,2,256,5285,,,,,,,,,,,,,,,,,,
5333,1026,1019,2,4096,5259,,,,,,,,,,,,,,,,,,
5334,1020,1019,2,512,13256,13257,,,,,,,,,,,,,,,,,
5335,1023,1019,1,128,5283,,,,,,,,,,,,,,,,,,
5350,1143,1142,2,4194304,5263,,,,,,,,,,,,,,,,,,
5354,1156,1155,2,4096,5259,,,,,,,,,,,,,,,,,,
5358,1166,1165,2,65536,5281,,,,,,,,,,,,,,,,,,
5362,1250,1249,2,65536,5280,,,,,,,,,,,,,,,,,,
5366,1354,1353,2,4194304,5263,,,,,,,,,,,,,,,,,,
5369,831,5256,2,256,875,8986,9137,9288,9439,9590,9741,9892,10043,,,,,,,,,,
5371,832,5257,1,64,5256,,,,,,,,,,,,,,,,,,
5372,832,5257,1,64,5256,,,,,,,,,,,,,,,,,,
5380,836,5259,2,4096,1019,,,,,,,,,,,,,,,,,,
5381,836,5259,2,4096,1019,,,,,,,,,,,,,,,,,,
5382,836,5259,2,4096,1019,,,,,,,,,,,,,,,,,,
5385,837,5260,2,65536,10518,10624,10739,10865,,,,,,,,,,,,,,,
5387,838,5261,1,16384,5260,,,,,,,,,,,,,,,,,,
5388,838,5261,1,16384,5260,,,,,,,,,,,,,,,,,,
5390,839,5262,2,65536,10518,10624,10739,10865,,,,,,,,,,,,,,,
5391,839,5262,2,65536,10518,10624,10739,10865,,,,,,,,,,,,,,,
5394,841,5263,2,4194304,1142,1155,,,,,,,,,,,,,,,,,
5395,841,5263,2,4194304,1142,1155,,,,,,,,,,,,,,,,,
5396,841,5263,2,4194304,1142,1155,,,,,,,,,,,,,,,,,
5422,853,5272,1,131072,14111,,,,,,,,,,,,,,,,,,
5423,853,5272,1,131072,14108,,,,,,,,,,,,,,,,,,
5424,853,5272,1,131072,14460,,,,,,,,,,,,,,,,,,
5425,853,5272,1,131072,14460,,,,,,,,,,,,,,,,,,
5426,853,5272,1,131072,14111,,,,,,,,,,,,,,,,,,
5427,853,5272,1,131072,14459,,,,,,,,,,,,,,,,,,
5429,854,5273,1,131072,14461,,,,,,,,,,,,,,,,,,
5430,854,5273,1,131072,14110,,,,,,,,,,,,,,,,,,
5431,854,5273,1,131072,14458,,,,,,,,,,,,,,,,,,
5432,854,5273,1,131072,14110,,,,,,,,,,,,,,,,,,
5433,854,5273,1,131072,14109,,,,,,,,,,,,,,,,,,
5434,854,5273,1,131072,14461,,,,,,,,,,,,,,,,,,
5436,855,5274,1,131072,14461,,,,,,,,,,,,,,,,,,
5437,855,5274,1,131072,14109,,,,,,,,,,,,,,,,,,
5438,855,5274,1,131072,14110,,,,,,,,,,,,,,,,,,
5439,855,5274,1,131072,14458,,,,,,,,,,,,,,,,,,
5440,855,5274,1,131072,14461,,,,,,,,,,,,,,,,,,
5441,855,5274,1,131072,14110,,,,,,,,,,,,,,,,,,
5443,856,5275,1,131072,14460,,,,,,,,,,,,,,,,,,
5444,856,5275,1,131072,14459,,,,,,,,,,,,,,,,,,
5445,856,5275,1,131072,14111,,,,,,,,,,,,,,,,,,
5446,856,5275,1,131072,14111,,,,,,,,,,,,,,,,,,
5447,856,5275,1,131072,14108,,,,,,,,,,,,,,,,,,
5448,856,5275,1,131072,14460,,,,,,,,,,,,,,,,,,
5450,857,5276,1,131072,14109,,,,,,,,,,,,,,,,,,
5451,857,5276,1,131072,14110,,,,,,,,,,,,,,,,,,
5452,857,5276,1,131072,14460,,,,,,,,,,,,,,,,,,
5453,857,5276,1,131072,14459,,,,,,,,,,,,,,,,,,
5454,857,5276,1,131072,14110,,,,,,,,,,,,,,,,,,
5455,857,5276,1,131072,14460,,,,,,,,,,,,,,,,,,
5457,858,5277,1,131072,14111,,,,,,,,,,,,,,,,,,
5458,858,5277,1,131072,14458,,,,,,,,,,,,,,,,,,
5459,858,5277,1,131072,14461,,,,,,,,,,,,,,,,,,
5460,858,5277,1,131072,14461,,,,,,,,,,,,,,,,,,
5461,858,5277,1,131072,14111,,,,,,,,,,,,,,,,,,
5462,858,5277,1,131072,14108,,,,,,,,,,,,,,,,,,
5464,859,5278,1,131072,14459,,,,,,,,,,,,,,,,,,
5465,859,5278,1,131072,14460,,,,,,,,,,,,,,,,,,
5466,859,5278,1,131072,14460,,,,,,,,,,,,,,,,,,
5467,859,5278,1,131072,14108,,,,,,,,,,,,,,,,,,
5468,859,5278,1,131072,14111,,,,,,,,,,,,,,,,,,
5469,859,5278,1,131072,14111,,,,,,,,,,,,,,,,,,
5471,860,5279,1,131072,14110,,,,,,,,,,,,,,,,,,
5472,860,5279,1,131072,14461,,,,,,,,,,,,,,,,,,
5473,860,5279,1,131072,14109,,,,,,,,,,,,,,,,,,
5474,860,5279,1,131072,14458,,,,,,,,,,,,,,,,,,
5475,860,5279,1,131072,14461,,,,,,,,,,,,,,,,,,
5476,860,5279,1,131072,14110,,,,,,,,,,,,,,,,,,
5478,861,5280,2,16384,5281,,,,,,,,,,,,,,,,,,
