link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12]
4983,843,3,1,1,4938,4942,,,,,,,,,,,
4984,843,3,1,1,4963,4966,4967,4968,4969,4971,4972,4974,4975,4976,4977,9505,9610
4985,843,3,1,1,4962,,,,,,,,,,,,
4992,848,847,2,256,4961,,,,,,,,,,,,
5007,956,952,1,128,4959,,,,,,,,,,,,
5008,959,952,2,4096,4940,,,,,,,,,,,,
5009,953,952,2,512,9880,9881,,,,,,,,,,,
5028,1082,1081,2,2097152,9783,9786,,,,,,,,,,,
5032,1095,1094,2,4096,4940,,,,,,,,,,,,
5036,1105,1104,2,32768,4955,,,,,,,,,,,,
5040,1135,1134,2,32768,4953,,,,,,,,,,,,
5044,1165,1164,2,32768,4956,,,,,,,,,,,,
5048,1195,1194,2,32768,4954,,,,,,,,,,,,
5052,1241,1240,2,2097152,9783,9785,,,,,,,,,,,
5056,1254,1253,2,2097152,9785,,,,,,,,,,,,
5059,801,4937,2,256,847,8602,8748,,,,,,,,,,
5061,802,4938,1,64,4937,,,,,,,,,,,,
5062,802,4938,1,64,4937,,,,,,,,,,,,
5070,806,4940,2,4096,952,,,,,,,,,,,,
5071,806,4940,2,4096,952,,,,,,,,,,,,
5072,806,4940,2,4096,952,,,,,,,,,,,,
5075,807,4941,2,65536,8928,9039,9168,9289,,,,,,,,,
5077,808,4942,1,16384,4941,,,,,,,,,,,,
5078,808,4942,1,16384,4941,,,,,,,,,,,,
5091,815,4945,2,262144,4947,,,,,,,,,,,,
5094,816,4946,2,262144,4948,,,,,,,,,,,,
5096,819,4947,1,262144,4978,,,,,,,,,,,,
5097,819,4947,1,262144,4979,,,,,,,,,,,,
5098,819,4947,1,262144,4978,,,,,,,,,,,,
5099,819,4947,1,262144,4978,,,,,,,,,,,,
5100,819,4947,1,262144,4979,,,,,,,,,,,,
5101,819,4947,1,262144,4979,,,,,,,,,,,,
5103,820,4948,1,262144,4979,,,,,,,,,,,,
5104,820,4948,1,262144,4978,,,,,,,,,,,,
5105,820,4948,1,262144,4979,,,,,,,,,,,,
5106,820,4948,1,262144,4978,,,,,,,,,,,,
5107,820,4948,1,262144,4979,,,,,,,,,,,,
5108,820,4948,1,262144,4978,,,,,,,,,,,,
5111,821,4949,2,262144,4951,,,,,,,,,,,,
5114,822,4950,2,262144,4952,,,,,,,,,,,,
5116,825,4951,1,262144,4981,,,,,,,,,,,,
5117,825,4951,1,262144,4981,,,,,,,,,,,,
5118,825,4951,1,262144,4980,,,,,,,,,,,,
5119,825,4951,1,262144,4981,,,,,,,,,,,,
5120,825,4951,1,262144,4980,,,,,,,,,,,,
5121,825,4951,1,262144,4980,,,,,,,,,,,,
5123,826,4952,1,262144,4981,,,,,,,,,,,,
5124,826,4952,1,262144,4980,,,,,,,,,,,,
5125,826,4952,1,262144,4980,,,,,,,,,,,,
5126,826,4952,1,262144,4981,,,,,,,,,,,,
5127,826,4952,1,262144,4981,,,,,,,,,,,,
5128,826,4952,1,262144,4980,,,,,,,,,,,,
5130,827,4953,2,8192,4955,,,,,,,,,,,,
5132,828,4954,2,8192,4956,,,,,,,,,,,,
5135,830,4955,2,8192,4957,,,,,,,,,,,,
5138,831,4956,2,8192,4958,,,,,,,,,,,,
5141,833,4957,2,2097152,1240,,,,,,,,,,,,
5142,833,4957,2,2097152,1240,,,,,,,,,,,,
5143,833,4957,2,2097152,1240,,,,,,,,,,,,
5146,834,4958,2,2097152,1253,,,,,,,,,,,,
5147,834,4958,2,2097152,1253,,,,,,,,,,,,
5148,834,4958,2,2097152,1253,,,,,,,,,,,,
5150,837,4959,1,128,9880,,,,,,,,,,,,
5162,839,4961,1,64,4964,,,,,,,,,,,,
5164,840,4962,1,64,4961,,,,,,,,,,,,
5165,840,4962,1,64,4961,,,,,,,,,,,,
5167,841,4963,2,256,4961,,,,,,,,,,,,
5169,842,4964,1,1,3,,,,,,,,,,,,
5178,883,4965,2,1048576,8602,8748,,,,,,,,,,,
5179,883,4965,2,1048576,8602,8748,,,,,,,,,,,
5181,884,4966,2,1048576,4965,,,,,,,,,,,,
5182,884,4966,2,1048576,4965,,,,,,,,,,,,
5184,887,4967,2,1048576,4965,,,,,,,,,,,,
5185,887,4967,2,1048576,4965,,,,,,,,,,,,
5187,890,4968,2,1048576,4965,,,,,,,,,,,,
5188,890,4968,2,1048576,4965,,,,,,,,,,,,
5190,893,4969,2,1048576,4965,,,,,,,,,,,,
5191,893,4969,2,1048576,4965,,,,,,,,,,,,
5196,984,4970,2,2097152,8928,9039,,,,,,,,,,,
5197,984,4970,2,2097152,8928,9039,,,,,,,,,,,
5199,985,4971,2,2097152,4970,,,,,,,,,,,,
5200,985,4971,2,2097152,4970,,,,,,,,,,,,
5202,988,4972,2,2097152,4970,,,,,,,,,,,,
5203,988,4972,2,2097152,4970,,,,,,,,,,,,
5212,1027,4973,2,1048576,9168,9289,,,,,,,,,,,
5213,1027,4973,2,1048576,9168,9289,,,,,,,,,,,
5215,1028,4974,2,1048576,4973,,,,,,,,,,,,
5216,1028,4974,2,1048576,4973,,,,,,,,,,,,
5218,1031,4975,2,1048576,4973,,,,,,,,,,,,
5219,1031,4975,2,1048576,4973,,,,,,,,,,,,
5221,1034,4976,2,1048576,4973,,,,,,,,,,,,
5222,1034,4976,2,1048576,4973,,,,,,,,,,,,
5224,1037,4977,2,1048576,4973,,,,,,,,,,,,
5225,1037,4977,2,1048576,4973,,,,,,,,,,,,
5232,1108,4978,1,262144,1104,,,,,,,,,,,,
5233,1108,4978,1,262144,1104,,,,,,,,,,,,
5234,1108,4978,1,262144,1104,,,,,,,,,,,,
5241,1138,4979,1,262144,1134,,,,,,,,,,,,
5242,1138,4979,1,262144,1134,,,,,,,,,,,,
5243,1138,4979,1,262144,1134,,,,,,,,,,,,
5250,1168,4980,1,262144,1164,,,,,,,,,,,,
5251,1168,4980,1,262144,1164,,,,,,,,,,,,
5252,1168,4980,1,262144,1164,,,,,,,,,,,,
5259,1198,4981,1,262144,1194,,,,,,,,,,,,
5260,1198,4981,1,262144,1194,,,,,,,,,,,,
5261,1198,4981,1,262144,1194,,,,,,,,,,,,
8747,8604,8602,2,262144,4946,,,,,,,,,,,,
8746,8604,8602,2,1048576,4945,,,,,,,,,,,,
8745,8604,8602,2,8192,4950,4949,,,,,,,,,,,
8925,8604,8602,2,8192,4950,4949,,,,,,,,,,,
8926,8604,8602,2,1048576,4945,,,,,,,,,,,,
8927,8604,8602,2,262144,4946,,,,,,,,,,,,
8893,8750,8748,2,262144,4946,,,,,,,,,,,,
8892,8750,8748,2,1048576,4945,,,,,,,,,,,,
8891,8750,8748,2,8192,4950,4949,,,,,,,,,,,
9038,8930,8928,2,8192,4958,,,,,,,,,,,,
9037,8930,8928,2,2097152,4957,,,,,,,,,,,,
9166,8930,8928,2,8192,4958,,,,,,,,,,,,
9167,8930,8928,2,2097152,4957,,,,,,,,,,,,
9149,9041,9039,2,8192,4958,,,,,,,,,,,,
9148,9041,9039,2,2097152,4957,,,,,,,,,,,,
9288,9170,9168,2,1048576,4945,,,,,,,,,,,,
9287,9170,9168,2,262144,4946,,,,,,,,,,,,
9286,9170,9168,2,8192,4950,4949,,,,,,,,,,,
9441,9170,9168,2,262144,4946,,,,,,,,,,,,
9442,9170,9168,2,8192,4950,4949,,,,,,,,,,,
9443,9170,9168,2,1048576,4945,,,,,,,,,,,,
9409,9291,9289,2,1048576,4945,,,,,,,,,,,,
9408,9291,9289,2,262144,4946,,,,,,,,,,,,
9407,9291,9289,2,8192,4950,4949,,,,,,,,,,,
5065,9444,9504,2,256,847,,,,,,,,,,,,
5066,9444,9504,2,256,847,,,,,,,,,,,,
5067,9444,9504,2,256,8602,8748,,,,,,,,,,,
5064,9445,9505,2,256,8602,8748,,,,,,,,,,,
9510,9445,9505,2,256,9504,,,,,,,,,,,,
9511,9445,9505,2,256,9504,,,,,,,,,,,,
9512,9445,9505,2,256,9504,,,,,,,,,,,,
5081,9513,9609,2,65536,8928,9039,,,,,,,,,,,
5082,9513,9609,2,65536,8928,9039,9168,9289,,,,,,,,,
5080,9514,9610,2,65536,9168,9289,,,,,,,,,,,
9615,9514,9610,2,65536,9609,,,,,,,,,,,,
9616,9514,9610,2,65536,9609,,,,,,,,,,,,
9617,9514,9610,2,65536,9609,,,,,,,,,,,,
5088,9618,9783,2,2097152,1081,1094,,,,,,,,,,,
9793,9619,9784,2,2097152,9783,,,,,,,,,,,,
9796,9620,9785,2,2097152,9783,,,,,,,,,,,,
9797,9620,9785,2,2097152,9784,,,,,,,,,,,,
9798,9620,9785,2,2097152,9783,,,,,,,,,,,,
5086,9621,9786,2,2097152,1081,1094,,,,,,,,,,,
5087,9621,9786,2,2097152,1081,1094,,,,,,,,,,,
5155,9800,9880,2,512,847,,,,,,,,,,,,
5154,9800,9880,2,512,847,,,,,,,,,,,,
5153,9800,9880,2,512,847,8602,8748,,,,,,,,,,
5157,9801,9881,2,512,8602,8748,,,,,,,,,,,
5156,9801,9881,2,512,8602,8748,,,,,,,,,,,
9887,9801,9881,2,512,9880,,,,,,,,,,,,
9888,9801,9881,2,512,9880,,,,,,,,,,,,
