link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8],dst[9],dst[10],dst[11],dst[12],dst[13]
1166,355,3,1,1,361,367,373,379,385,389,393,397,401,405,409,413,417,1154
1168,364,361,2,131072,1155,,,,,,,,,,,,,
1170,370,367,2,131072,1156,,,,,,,,,,,,,
1172,376,373,2,131072,1157,,,,,,,,,,,,,
1174,382,379,2,131072,1158,,,,,,,,,,,,,
1176,386,385,1,1024,1159,,,,,,,,,,,,,
1178,390,389,1,1024,1159,,,,,,,,,,,,,
1180,394,393,1,1024,1159,,,,,,,,,,,,,
1182,398,397,1,1024,1159,,,,,,,,,,,,,
1184,402,401,2,131072,1158,,,,,,,,,,,,,
1186,406,405,2,131072,1155,,,,,,,,,,,,,
1188,410,409,2,131072,1156,,,,,,,,,,,,,
1190,414,413,2,131072,1157,,,,,,,,,,,,,
1192,418,417,2,1024,4732,,,,,,,,,,,,,
1196,422,421,1,1,1163,,,,,,,,,,,,,
1200,435,434,1,1,1163,,,,,,,,,,,,,
1202,447,446,2,1024,4732,,,,,,,,,,,,,
1204,451,450,2,1024,1162,,,,,,,,,,,,,
1206,455,454,2,1024,4732,,,,,,,,,,,,,
1208,337,1154,1,1024,421,434,,,,,,,,,,,,
1211,339,1155,2,1024,1159,,,,,,,,,,,,,
1214,342,1156,2,1024,1159,,,,,,,,,,,,,
1217,345,1157,2,1024,1159,,,,,,,,,,,,,
1220,348,1158,2,1024,1159,,,,,,,,,,,,,
1229,350,1159,1,1024,4656,,,,,,,,,,,,,
1230,350,1159,1,1024,4656,,,,,,,,,,,,,
1231,350,1159,1,1024,4656,,,,,,,,,,,,,
1232,350,1159,1,1024,4656,,,,,,,,,,,,,
1247,353,1162,2,1024,434,,,,,,,,,,,,,
1248,353,1162,2,1024,434,,,,,,,,,,,,,
1251,354,1163,1,1,3,,,,,,,,,,,,,
1252,354,1163,1,1,3,,,,,,,,,,,,,
1237,4593,4655,2,1024,446,454,,,,,,,,,,,,
4662,4594,4656,2,1024,4655,,,,,,,,,,,,,
1241,4663,4730,2,1024,421,,,,,,,,,,,,,
1243,4663,4730,2,1024,1162,,,,,,,,,,,,,
1242,4663,4730,2,1024,421,,,,,,,,,,,,,
1244,4663,4730,2,1024,450,,,,,,,,,,,,,
4737,4664,4731,2,1024,4730,,,,,,,,,,,,,
4741,4665,4732,2,1024,4730,4731,,,,,,,,,,,,
4742,4665,4732,2,1024,4730,,,,,,,,,,,,,
