link,ctx,src,tp,count,dst[0],dst[1],dst[2],dst[3],dst[4],dst[5],dst[6],dst[7],dst[8]
3339,760,3,1,1,3304,3307,3310,3313,,,,,
3340,760,3,1,1,3301,,,,,,,,
3341,760,3,1,1,3323,3326,3329,3332,,,,,
3342,760,3,1,1,3302,3305,3308,3311,3314,3324,3327,3330,3333
3346,771,770,2,16384,3315,,,,,,,,
3350,784,783,2,16384,3316,,,,,,,,
3354,794,793,2,16384,3317,,,,,,,,
3358,804,803,2,16384,3318,,,,,,,,
3362,823,822,2,16384,3315,,,,,,,,
3366,836,835,2,16384,3316,,,,,,,,
3370,849,848,2,16384,3317,,,,,,,,
3374,862,861,2,16384,3318,,,,,,,,
3378,908,907,2,16384,3319,,,,,,,,
3382,921,920,2,16384,3320,,,,,,,,
3386,934,933,2,16384,3321,,,,,,,,
3390,947,946,2,16384,3322,,,,,,,,
3393,721,3300,2,64,770,783,793,803,,,,,
3395,722,3301,1,8,3300,,,,,,,,
3396,722,3301,1,8,3300,,,,,,,,
3398,723,3302,2,64,770,783,793,803,,,,,
3399,723,3302,2,64,770,783,793,803,,,,,
3402,726,3303,2,128,822,,,,,,,,
3404,727,3304,1,16,3303,,,,,,,,
3405,727,3304,1,16,3303,,,,,,,,
3407,728,3305,2,128,822,,,,,,,,
3408,728,3305,2,128,822,,,,,,,,
3411,729,3306,2,128,835,,,,,,,,
3413,730,3307,1,16,3306,,,,,,,,
3414,730,3307,1,16,3306,,,,,,,,
3416,731,3308,2,128,835,,,,,,,,
3417,731,3308,2,128,835,,,,,,,,
3420,732,3309,2,128,848,,,,,,,,
3422,733,3310,1,16,3309,,,,,,,,
3423,733,3310,1,16,3309,,,,,,,,
3425,734,3311,2,128,848,,,,,,,,
3426,734,3311,2,128,848,,,,,,,,
3429,735,3312,2,128,861,,,,,,,,
3431,736,3313,1,16,3312,,,,,,,,
3432,736,3313,1,16,3312,,,,,,,,
3434,737,3314,2,128,861,,,,,,,,
3435,737,3314,2,128,861,,,,,,,,
3438,738,3315,2,16384,907,,,,,,,,
3439,738,3315,2,16384,907,,,,,,,,
3440,738,3315,2,16384,907,,,,,,,,
3443,739,3316,2,16384,920,,,,,,,,
3444,739,3316,2,16384,920,,,,,,,,
3445,739,3316,2,16384,920,,,,,,,,
3448,740,3317,2,16384,933,,,,,,,,
3449,740,3317,2,16384,933,,,,,,,,
3450,740,3317,2,16384,933,,,,,,,,
3453,741,3318,2,16384,946,,,,,,,,
3454,741,3318,2,16384,946,,,,,,,,
3455,741,3318,2,16384,946,,,,,,,,
3460,743,3319,1,2048,3325,,,,,,,,
3465,744,3320,1,2048,3328,,,,,,,,
3470,745,3321,1,2048,3331,,,,,,,,
3475,746,3322,1,2048,3334,,,,,,,,
3477,748,3323,1,2048,3319,,,,,,,,
3478,748,3323,1,2048,3319,,,,,,,,
3480,749,3324,2,16384,3319,,,,,,,,
3482,750,3325,1,1,3,,,,,,,,
3484,751,3326,1,2048,3320,,,,,,,,
3485,751,3326,1,2048,3320,,,,,,,,
3487,752,3327,2,16384,3320,,,,,,,,
3489,753,3328,1,1,3,,,,,,,,
3491,754,3329,1,2048,3321,,,,,,,,
3492,754,3329,1,2048,3321,,,,,,,,
3494,755,3330,2,16384,3321,,,,,,,,
3496,756,3331,1,1,3,,,,,,,,
3498,757,3332,1,2048,3322,,,,,,,,
3499,757,3332,1,2048,3322,,,,,,,,
3501,758,3333,2,16384,3322,,,,,,,,
3503,759,3334,1,1,3,,,,,,,,
